trade_date,market_type,underlying,commodity,exchange,contract_month,underlying_price,call_wall,put_wall,call_oi_wall,put_oi_wall,max_gamma_strike,gex_flip,price_wall,net_gex,total_abs_gex,total_oi,total_volume,total_amount,call_gex_total,put_gex_abs_total,gex_ratio,call_gex_share,put_gex_share,call_wall_distance,put_wall_distance,price_wall_distance,gamma_regime
2026-07-10,ETF,上证50ETF华夏,,,12月,3.057,3.0,2.8,3.5,2.8,3.0,3.1,3.2,14388465.797316812,56167369.80651818,71970.0,9917.0,,35277917.8019175,20889452.00460069,1.688790964652778,0.6280856291373559,0.37191437086264423,-0.018645731108930308,-0.08406934903500163,0.04677788681714112,Positive Gamma
2026-07-10,ETF,上证50ETF华夏,,,7月,3.057,3.1,3.0,3.1,3.0,3.1,3.1,3.1,638420219.0136224,1885650913.3018246,971168.0,953573.0,,1262035566.1577237,623615347.1441011,2.023740390510467,0.6692837774240334,0.3307162225759667,0.014066077854105297,-0.018645731108930308,0.014066077854105297,Positive Gamma
2026-07-10,ETF,上证50ETF华夏,,,8月,3.057,3.1,3.0,3.1,2.85,3.1,3.2,3.1,67096790.37231444,348675912.253785,264820.0,163682.0,,207886351.31304973,140789560.94073528,1.476575038120607,0.5962165552799612,0.40378344472003874,0.014066077854105297,-0.018645731108930308,0.014066077854105297,Positive Gamma
2026-07-10,ETF,上证50ETF华夏,,,9月,3.057,3.1,2.65,3.6,2.65,3.1,3.2,3.1,93980103.0400646,345828769.5356846,420382.0,281416.0,,219904436.2878746,125924333.24780998,1.746322022250605,0.6358766408680282,0.36412335913197175,0.014066077854105297,-0.13313706247955515,0.014066077854105297,Positive Gamma
2026-07-10,ETF,中证500ETF南方,,,12月,8.698,8.5,10.0,10.0,7.25,8.5,8.5,8.5,31502077.959080406,115827005.19250122,73293.0,9763.0,,73664541.57579082,42162463.61671041,1.7471593274401327,0.6359876218275905,0.36401237817240967,-0.022763853759484975,0.14968958381237063,-0.022763853759484975,Positive Gamma
2026-07-10,ETF,中证500ETF南方,,,7月,8.698,8.75,8.75,9.0,8.25,8.75,9.0,8.75,689362971.8360089,3340282471.048756,772331.0,1478623.0,,2014822721.4423819,1325459749.6063733,1.5200934785388476,0.6031893227310753,0.3968106772689244,0.005978385835824218,0.005978385835824218,0.005978385835824218,Positive Gamma
2026-07-10,ETF,中证500ETF南方,,,8月,8.698,9.0,8.75,9.25,8.75,8.75,9.0,8.75,99063527.0895759,420842150.27972484,143274.0,136162.0,,259952838.68465036,160889311.59507453,1.6157247247032696,0.6176967742225089,0.3823032257774912,0.034720625431133634,0.005978385835824218,0.005978385835824218,Positive Gamma
2026-07-10,ETF,中证500ETF南方,,,9月,8.698,9.0,6.75,9.75,6.5,8.5,10.0,8.5,29018212.451026835,550363906.4339514,400913.0,312519.0,,289691059.44248915,260672846.9914623,1.1113204262965575,0.526362750274676,0.473637249725324,0.034720625431133634,-0.22395953092664989,-0.022763853759484975,Positive Gamma
2026-07-10,ETF,中证500ETF嘉实,,,12月,3.455,3.5,3.2,4.0,3.2,3.5,3.2,3.6,6089396.006659251,15097362.276480751,21766.0,3788.0,,10593379.141570002,4503983.13491075,2.352002399711454,0.7016708579665452,0.2983291420334549,0.013024602026049159,-0.07380607814761209,0.04196816208393628,Positive Gamma
2026-07-10,ETF,中证500ETF嘉实,,,7月,3.455,3.5,3.4,3.6,3.3,3.5,3.5,3.6,134012229.81338225,333344770.14743984,214657.0,228486.0,,233678499.98041102,99666270.16702877,2.344609661711969,0.7010114479283837,0.2989885520716163,0.013024602026049159,-0.01591895803183796,0.04196816208393628,Positive Gamma
2026-07-10,ETF,中证500ETF嘉实,,,8月,3.455,3.5,3.5,3.5,3.5,3.5,3.4,3.5,12194679.477372,41123468.68213451,35560.0,24483.0,,26659074.079753246,14464394.60238125,1.843082604740637,0.6482691011746996,0.35173089882530006,0.013024602026049159,0.013024602026049159,0.013024602026049159,Positive Gamma
2026-07-10,ETF,中证500ETF嘉实,,,9月,3.455,3.9,2.8,3.9,2.8,3.9,3.7,3.6,14017280.677759748,54579723.50932425,80449.0,25370.0,,34298502.093541995,20281221.41578225,1.6911457840922692,0.6284110634544078,0.3715889365455921,0.12879884225759763,-0.18958031837916067,0.04196816208393628,Positive Gamma
2026-07-10,ETF,创业板ETF易方达,,,12月,3.862,4.5,3.2,4.5,3.2,4.5,4.3,3.9,7859589.078364601,37833318.79601364,71431.0,19719.0,,22846453.93718912,14986864.858824521,1.5244318376392605,0.6038712612121242,0.39612873878787586,0.1651993785603314,-0.17141377524598655,0.009839461418953865,Positive Gamma
