trade_date,market_type,underlying,contract_month,underlying_price,call_wall,put_wall,price_wall,gex_flip,net_gex,total_abs_gex,total_oi,total_volume,call_wall_distance,put_wall_distance,price_wall_distance,gamma_regime,gex_ratio,call_gex_share,put_gex_share,market_bias_label
2026-08-28,ETF,上证50ETF华夏,10月,3.037,3.2,3.0,3.0,3.2,12722346.171606306,69769606.73320329,45688.0,27538.0,0.05367138623641754,-0.012183075403358501,-0.012183075403358501,Positive Gamma,1.446028294658227,0.5911739851154397,0.40882601488456033,
2026-08-28,ETF,上证50ETF华夏,12月,3.037,3.0,2.7,3.0,3.0,68450240.6912293,181267089.27414423,179956.0,42443.0,-0.012183075403358501,-0.11096476786302267,-0.012183075403358501,Positive Gamma,2.213475496807938,0.6888104480667936,0.31118955193320635,
2026-08-28,ETF,上证50ETF华夏,3月,3.037,3.1,2.8,3.1,3.1,7429564.01694249,19759674.33921041,22070.0,943.0,0.02074415541652952,-0.07803753704313465,0.02074415541652952,Positive Gamma,2.2051090903095742,0.6879981392759982,0.3120018607240019,
2026-08-28,ETF,上证50ETF华夏,9月,3.037,3.1,3.0,3.0,3.1,336706224.3248397,1449337612.2943358,867530.0,273305.0,0.02074415541652952,-0.012183075403358501,-0.012183075403358501,Positive Gamma,1.6052430804407085,0.6161586580892721,0.3838413419107279,
2026-08-28,ETF,中证500ETF南方,10月,7.923,8.0,7.75,8.0,8.75,2392043.8785560112,40291561.20494007,25662.0,23830.0,0.00971854095670821,-0.02183516344818881,0.00971854095670821,Positive Gamma,1.1262308360265458,0.5296841796026351,0.47031582039736497,
2026-08-28,ETF,中证500ETF南方,12月,7.923,8.25,7.25,8.0,8.25,99646123.9855096,320535656.8564353,214687.0,125844.0,0.04127224536160545,-0.08494257225798307,0.00971854095670821,Positive Gamma,1.9022258564305687,0.6554368786342859,0.3445631213657143,
2026-08-28,ETF,中证500ETF南方,3月,7.923,8.0,7.75,8.0,6.5,28771907.45032143,76881781.35103527,56179.0,2663.0,0.00971854095670821,-0.02183516344818881,0.00971854095670821,Positive Gamma,2.1960915761159168,0.6871178512302641,0.3128821487697359,
2026-08-28,ETF,中证500ETF南方,9月,7.923,8.0,7.75,8.0,8.25,290748236.0967629,2272574614.0725203,926224.0,751439.0,0.00971854095670821,-0.02183516344818881,0.00971854095670821,Positive Gamma,1.2934144376398233,0.5639689087206103,0.43603109127938977,
2026-08-28,ETF,中证500ETF嘉实,10月,3.214,3.3,3.2,3.2,3.3,2042064.6257866803,6132538.231467321,5715.0,4170.0,0.026757934038581066,-0.00435594275046669,-0.00435594275046669,Positive Gamma,1.998448992777152,0.6664942433875441,0.33350575661245574,
2026-08-28,ETF,中证500ETF嘉实,12月,3.214,3.1,2.85,3.2,3.1,16235035.23102616,46623674.11143785,78363.0,57375.0,-0.03546981953951456,-0.11325451151213439,-0.00435594275046669,Positive Gamma,2.0684937416852294,0.6741072056249995,0.32589279437500035,
2026-08-28,ETF,中证500ETF嘉实,3月,3.214,3.1,2.85,3.1,3.1,4219199.598110161,13425845.142866958,22167.0,2010.0,-0.03546981953951456,-0.11325451151213439,-0.03546981953951456,Positive Gamma,1.916555237757144,0.6571297580604001,0.34287024193960025,
2026-08-28,ETF,中证500ETF嘉实,9月,3.214,3.3,3.2,3.3,3.3,48574398.34247821,184516467.27349773,211043.0,93028.0,0.026757934038581066,-0.00435594275046669,0.026757934038581066,Positive Gamma,1.7146337954754258,0.6316261877875629,0.36837381221243715,
2026-08-28,ETF,创业板ETF易方达,10月,3.443,3.8,3.5,3.5,3.8,8118030.11936972,44974517.84875742,52014.0,66500.0,0.10368864362474572,0.01655532965437123,0.01655532965437123,Positive Gamma,1.4405210924586702,0.5902514413458466,0.4097485586541534,
2026-08-28,ETF,创业板ETF易方达,12月,3.443,4.0,2.95,3.5,4.1,23998869.84447733,113296148.73731804,236132.0,86199.0,0.16177751960499553,-0.14318907929131564,0.01655532965437123,Positive Gamma,1.5375050649253632,0.6059121166603805,0.39408788333961936,
