underlying,contract_month,iv_surface_bias,delta_bias,normalized_net_gex,assumed_dealer_gamma_ratio,vega_risk_ratio,theta_burn_rate,rho_risk_ratio,atm_iv,call_25_delta_iv,put_25_delta_iv,option_market_value,total_time_value,trade_date,front_month,primary_month,expiring_month,next_month,far_month,primary_selection_reason,primary_selection_note,primary_selection_confidence,primary_selection_dte,is_primary_analysis_month,is_expiring_microstructure,analysis_month_role
上证50ETF华夏,10月,0.2816131722290235,0.12474334159466832,0.18234797023087926,0.18234797023087926,0.09382979807478371,0.01600503104720199,0.0029698409819538026,0.176128125,0.1192,0.16879999999999998,17604983.0,12360051.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,next_month
上证50ETF华夏,12月,0.4140791225500529,0.24277014073904502,0.3776208961335871,0.3776208961335871,0.06021491627816944,0.008499983075854022,0.006268179539234828,0.2040672794117647,0.11900000000000001,0.20350000000000001,147863346.0,75336150.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,other_month
上证50ETF华夏,3月,0.4513979356648963,0.2816755802496959,0.37599627855199624,0.37599627855199624,0.07579698559704397,0.004775266616950064,0.012351550270742306,0.2193186813186813,0.1166,0.21559999999999999,21546688.0,15852518.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,far_month
上证50ETF华夏,9月,0.30734279530807207,0.2696326150886637,0.2323173161785443,0.2323173161785443,0.05056405092650506,0.041877643766247384,0.004267734636419209,0.14055966386554622,0.11710000000000001,0.1603,303334933.0,101964858.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,True,False,primary_analysis
中证500ETF南方,10月,0.0,0.21572862577782317,0.05936835920527016,0.05936835920527016,0.05832705054323644,0.02553308948087633,0.002165474993462114,0.0001,0.0001,0.0001,51614542.0,42089932.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,next_month
中证500ETF南方,12月,0.4375625582516039,0.13115132653749773,0.31087375726857147,0.31087375726857147,0.034051078120643306,0.008374512533576874,-0.000439619175442183,0.31126977715877435,0.1953,0.33149999999999996,766231363.0,357141265.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,other_month
中证500ETF南方,3月,0.5059537150395218,0.3381460011247505,0.37423570246052834,0.37423570246052834,0.029939606119498252,0.0039035151875027887,0.0038121109690061944,0.3358014675052411,0.17559999999999998,0.3455,368217770.0,154558128.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,far_month
中证500ETF南方,9月,0.31476410404575167,0.04884699232283168,0.12793781744122076,0.12793781744122076,0.03430231786342145,0.03578119967814174,-0.00016823261457353742,0.27607976539589446,0.21239999999999998,0.2993,1258614452.0,598127877.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,True,False,primary_analysis
中证500ETF嘉实,10月,0.429609388964316,0.26522431883639563,0.3329884867750885,0.3329884867750885,0.04492130007898557,0.014011199227747715,0.0040981815181009365,0.2516239234449761,0.20170000000000002,0.3098,5513665.0,3822585.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,next_month
中证500ETF嘉实,12月,0.433086430119835,0.2556309136283152,0.34821441124999936,0.34821441124999936,0.045452466058133315,0.00990365702726043,0.0032342692997234536,0.31102336769759453,0.1934,0.3281,87940729.0,48281155.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,other_month
中证500ETF嘉实,3月,0.48172207743244333,0.2698560814936346,0.3142595161207997,0.3142595161207997,0.05531790436803146,0.0039423502639774,0.00493184923150927,0.34542739018087854,0.17149999999999999,0.3379,33332933.0,29793649.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,far_month
中证500ETF嘉实,9月,0.32123448662196724,0.13193778112716656,0.26325237557512565,0.26325237557512565,0.028004204201897396,0.040154143204150686,0.000450361378388371,0.25464264705882356,0.2167,0.2985,127055744.0,45083791.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,True,False,primary_analysis
创业板ETF易方达,10月,0.17662453422401067,0.04312698436454969,0.18050288269169312,0.18050288269169312,0.037313317910542265,0.013293654428244511,-0.0010440026332634018,0.3510271111111112,0.3025,0.36450000000000005,66948107.0,49731547.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,next_month
创业板ETF易方达,12月,0.2789804211304027,-0.03418875435623399,0.21182423332076128,0.21182423332076128,0.0366346429256131,0.007971918152619826,-0.004028653835885232,0.33837500000000004,0.294,0.3884,336480883.0,218992715.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,other_month
创业板ETF易方达,3月,0.32345645126207956,0.13050507342405304,0.17209782100674248,0.17209782100674248,0.03523678023225121,0.003553623829872523,-0.0019106890551879867,0.3722293975903615,0.2754,0.3958,65312040.0,49813376.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,far_month
创业板ETF易方达,9月,0.13416034684971267,-0.08090066682970046,0.06902859763117988,0.06902859763117988,0.026212769887063066,0.03452324758890549,-0.0013427552440487748,0.3346741496598639,0.3239,0.3688,993178024.0,475249930.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,True,False,primary_analysis
沪深300ETF华泰柏瑞,10月,-4.431411807533353,0.22199433040097444,0.46195210394293534,0.46195210394293534,0.08870887866909988,0.018336936713004036,0.006236032287943913,0.03062229508196721,0.1358,0.0001,24443427.0,19503912.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,next_month
沪深300ETF华泰柏瑞,12月,0.41123299244628947,0.1098993528754171,0.3782165256660079,0.3782165256660079,0.05188454825751501,0.00842829184130323,0.0001681202284058034,0.22323111638954865,0.1392,0.231,262002975.0,135886016.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,other_month
沪深300ETF华泰柏瑞,3月,0.4573716262498632,0.31519871928229537,0.4572143365659265,0.4572143365659265,0.059589382488863384,0.003932284407872629,0.0113635172487512,0.2370063943161634,0.1353,0.2437,63727628.0,44263838.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,far_month
沪深300ETF华泰柏瑞,9月,0.31110981716548264,0.04342293079136627,0.1743202040203538,0.1743202040203538,0.04154442624876295,0.03600438296621654,-3.921219609401904e-05,0.17614358974358973,0.1388,0.1936,514788816.0,193908864.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,True,False,primary_analysis
沪深300ETF嘉实,10月,0.3485968428965173,0.09537629331021237,0.11649685758189056,0.11649685758189056,0.07500960298122403,0.015858458181595946,0.001420094596531461,0.17068427672955974,0.14529999999999998,0.2048,3488500.0,2421673.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,next_month
沪深300ETF嘉实,12月,0.48663400319517774,0.12258088670465922,0.4102279119155206,0.4102279119155206,0.04827344742521185,0.00952679624850778,-5.621693167708605e-05,0.1835054669703872,0.1406,0.2299,50305129.0,22375203.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,other_month
沪深300ETF嘉实,3月,0.46984939619213106,0.24162020187091188,0.4205030923031383,0.4205030923031383,0.05700374562077582,0.00482888146433938,0.0054133982141622615,0.23198923076923078,0.1377,0.24670000000000003,20062629.0,11360809.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,far_month
沪深300ETF嘉实,9月,0.3111248106999744,0.2579403167167022,0.3910375214031375,0.3910375214031375,0.03126797673476932,0.04104140622242864,0.002172888909462492,0.18288480392156864,0.1421,0.19899999999999998,97125536.0,26380407.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,True,False,primary_analysis
深证100ETF易方达,10月,0.3729894198655281,0.05825548310684298,0.11810600986372104,0.11810600986372104,0.05563972985592227,0.015807848789341543,-0.00037246573647783097,0.2520178723404255,0.20579999999999998,0.2998,1503494.0,1080982.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,next_month
深证100ETF易方达,12月,0.3253004220831294,0.1439516935415043,0.44733876928683636,0.44733876928683636,0.035681687883217954,0.008383035969986496,-0.00019641155541155688,0.302182208588957,0.2164,0.3147,18277947.0,8680626.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,other_month
深证100ETF易方达,3月,0.3708451334028916,0.06332902808173783,0.16708110100954632,0.16708110100954632,0.0462539851652275,0.003515586052205647,-0.004048879296246943,0.33544999999999997,0.2079,0.3323,3088015.0,2667834.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,far_month
深证100ETF易方达,9月,0.32552261255620996,0.15916440232865303,0.25465399754949786,0.25465399754949786,0.042712348737127016,0.03763633426625294,0.0009638879351389943,0.25159542483660136,0.2127,0.29460000000000003,22248437.0,12306884.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,True,False,primary_analysis
科创50ETF华夏,10月,0.0,0.14997554419420334,0.01745650218726823,0.01745650218726823,0.03530791867024172,0.02735421406320123,-0.001445124224322832,0.0001,0.0001,0.0001,39016715.0,31518215.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,next_month
科创50ETF华夏,12月,0.23228237380174002,0.04369349512571073,0.17406815827222472,0.17406815827222472,0.02532780337309297,0.008816976685202066,-0.0026344603745956864,0.45117500000000005,0.35729999999999995,0.4621,455632209.0,227822991.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,other_month
科创50ETF华夏,3月,0.2663392308980297,0.08642990494323684,0.21303408598667392,0.21303408598667392,0.02910952888110718,0.0038207894722605378,-0.003778856377809149,0.447925,0.3289,0.4482,91935222.0,66174282.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,far_month
科创50ETF华夏,9月,0.16524755597603294,0.007381791055847366,0.08410232917046326,0.08410232917046326,0.020180460490665613,0.03250820101088626,-0.000645091092160636,0.39637500000000003,0.3697,0.43520000000000003,851800632.0,390947841.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,True,False,primary_analysis
科创50ETF易方达,10月,0.0,0.14553645905828286,-0.05438824778808555,-0.05438824778808555,0.03528310112656895,0.030972550095117055,-0.0015589773515705975,0.0001,0.0001,0.0001,5305401.0,3726461.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,next_month
科创50ETF易方达,12月,0.21650206961388963,-0.015175733300948303,0.17400065017131303,0.17400065017131303,0.021503357907918075,0.008920243364165484,-0.003500749771050677,0.4475707792207793,0.3675,0.4644,107615518.0,44210453.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,other_month
科创50ETF易方达,3月,0.2768200669564783,0.07795030884146016,0.18871822952239917,0.18871822952239917,0.029758979017891075,0.0037212928708816335,-0.0039269517125556045,0.500325,0.32439999999999997,0.4629,22102640.0,16891710.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,False,False,far_month
科创50ETF易方达,9月,0.1662683939127154,0.05350129257027208,0.15748033364262173,0.15748033364262173,0.01961778850488113,0.03374225668924371,-0.00038943494561605245,0.39754999999999996,0.3735,0.4396,160283510.0,72329365.0,2026-08-28,9月,9月,,10月,3月,front_month_default,9月 DTE=26，默认使用前月,medium,26.0,True,False,primary_analysis
