trade_date,underlying,contract_month,underlying_price,call_gex_total,put_gex_abs_total,gex_ratio,call_gex_share,put_gex_share,net_gex,total_abs_gex,gamma_regime
2026-09-22,上证50ETF华夏,10月,3.015,560843085.2908747,359378912.7016606,1.5605898550771682,0.6094649840085916,0.39053501599140844,201464172.58921424,920221997.9925352,Positive Gamma
2026-09-22,上证50ETF华夏,12月,3.015,166337611.42549953,91043373.0160575,1.8270150359671122,0.646270010142375,0.353729989857625,75294238.409442,257380984.44155705,Positive Gamma
2026-09-22,上证50ETF华夏,3月,3.015,20240711.862718504,9347483.003514754,2.165364928195941,0.6840806596761225,0.3159193403238777,10893228.85920375,29588194.866233252,Positive Gamma
2026-09-22,上证50ETF华夏,9月,3.015,532143360.28952557,505270623.7060425,1.053184838624454,0.5129517902197459,0.487048209780254,26872736.583483066,1037413983.9955682,Positive Gamma
2026-09-22,中证500ETF南方,10月,7.85,591650264.9721001,471219220.69355,1.2555732851926058,0.5566537311978277,0.44334626880217237,120431044.27855003,1062869485.66565,Positive Gamma
2026-09-22,中证500ETF南方,12月,7.85,293860385.34505,175533355.0575,1.6740999751801544,0.6260424033201564,0.37395759667984363,118327030.28754997,469393740.40255,Positive Gamma
2026-09-22,中证500ETF南方,3月,7.85,67993944.83055,34841596.89795,1.9515163162498619,0.6611910987940667,0.33880890120593343,33152347.93259999,102835541.7285,Positive Gamma
2026-09-22,中证500ETF南方,9月,7.85,1162461095.7491498,1033584549.194975,1.1246889252113457,0.5293428660854299,0.47065713391456976,128876546.55417506,2196045644.9441257,Positive Gamma
2026-09-22,中证500ETF嘉实,10月,3.184,52276615.41147137,34479289.65825024,1.5161743739393587,0.6025712643935778,0.397428735606422,17797325.753221124,86755905.06972162,Positive Gamma
2026-09-22,中证500ETF嘉实,12月,3.184,60231083.29094401,20694647.848936964,2.9104666931569914,0.7442760472170953,0.2557239527829047,39536435.44200705,80925731.13988097,Positive Gamma
2026-09-22,中证500ETF嘉实,3月,3.184,12598084.231518721,7094479.130813442,1.775758868160099,0.6397381590055602,0.3602618409944399,5503605.10070528,19692563.36233216,Positive Gamma
2026-09-22,中证500ETF嘉实,9月,3.184,118349706.04467201,119270030.04055807,0.9922836944404801,0.4980634521125048,0.5019365478874953,-920323.995886066,237619736.08523005,Negative Gamma
2026-09-22,创业板ETF易方达,10月,3.42,377022889.577592,269346201.48561597,1.3997705833535816,0.5832935002467857,0.4167064997532141,107676688.09197599,646369091.0632081,Positive Gamma
2026-09-22,创业板ETF易方达,12月,3.42,107975329.699968,82414024.274772,1.310157229308127,0.567129030304361,0.4328709696956393,25561305.425196,190389353.97473994,Positive Gamma
2026-09-22,创业板ETF易方达,3月,3.42,13769547.834024,9274266.562211996,1.484704773327093,0.5975376991524951,0.40246230084750484,4495281.271812,23043814.396236,Positive Gamma
2026-09-22,创业板ETF易方达,9月,3.42,671998567.435272,612288133.609248,1.0975201552152407,0.5232465359087892,0.47675346409121067,59710433.82602391,1284286701.0445201,Positive Gamma
2026-09-22,沪深300ETF华泰柏瑞,10月,4.613,653936564.0278505,571141188.3695978,1.1449648131569774,0.5337918860644656,0.46620811393553413,82795375.65825264,1225077752.3974485,Positive Gamma
2026-09-22,沪深300ETF华泰柏瑞,12月,4.613,235502200.60748708,140398527.39889383,1.6773836946194534,0.6265010495097776,0.3734989504902224,95103673.20859323,375900728.0063809,Positive Gamma
2026-09-22,沪深300ETF华泰柏瑞,3月,4.613,45743328.72673867,18566632.925725784,2.463738520049969,0.7112946043093421,0.28870539569065784,27176695.801012877,64309961.65246446,Positive Gamma
2026-09-22,沪深300ETF华泰柏瑞,9月,4.613,607282311.5911356,495697555.6045753,1.2251065286179725,0.5505833149385857,0.44941668506141413,111584755.98656045,1102979867.1957111,Positive Gamma
2026-09-22,沪深300ETF嘉实,10月,4.821,105725488.1169104,42091955.41897224,2.5117742111181753,0.7152436518173553,0.28475634818264484,63633532.69793817,147817443.53588262,Positive Gamma
2026-09-22,沪深300ETF嘉实,12月,4.821,41068728.5150942,21149228.152424518,1.9418547201395686,0.6600783875715801,0.33992161242841984,19919500.362669688,62217956.66751872,Positive Gamma
2026-09-22,沪深300ETF嘉实,3月,4.821,12150920.441167202,5605071.525396899,2.1678439581209066,0.6843278857102618,0.31567211428973846,6545848.9157703,17755991.966564097,Positive Gamma
2026-09-22,沪深300ETF嘉实,9月,4.821,172612041.7185029,117427932.22672531,1.469940230108372,0.5951319032703378,0.40486809672966195,55184109.491777666,290039973.9452283,Positive Gamma
2026-09-22,深证100ETF易方达,10月,3.52,17010059.162624,8358074.7909119995,2.035164746446105,0.6705285928314414,0.32947140716855877,8651984.371712001,25368133.953535996,Positive Gamma
