market_type,underlying,commodity,exchange,contract_month,expiry,expiry_month,expiry_source,expiry_confidence,days_to_expiry,business_days_to_expiry_estimate,underlying_price,call_wall,put_wall,call_oi_wall,put_oi_wall,max_gamma_strike,net_gamma_strike,gex_flip,price_wall,net_gex,total_abs_gex,call_gex_total,put_gex_abs_total,gex_ratio,call_gex_share,put_gex_share,total_oi,total_volume,total_amount,gamma_regime,adjusted_call_wall,adjusted_put_wall,adjusted_price_wall,adjusted_max_gamma_strike,adjusted_net_gex,adjusted_total_abs_gex,avg_liquidity_score,avg_pricing_quality_score,adjusted_call_wall_shift,adjusted_put_wall_shift,adjusted_price_wall_shift,adjusted_wall_available,zero_gamma,zero_gamma_status,zero_gamma_confidence,zero_gamma_reason,zero_gamma_total_contracts,zero_gamma_valid_contracts,zero_gamma_coverage,zero_gamma_bracket_low,zero_gamma_bracket_high,zero_gamma_residual_ratio,zero_gamma_method,month_total_abs_gex,month_net_gex,month_total_oi,month_total_volume,month_rank,month_count,expiry_role,expiry_gex_share,near_gex_ratio,next_gex_ratio,front_month_concentration,next_month_concentration,days_to_near_expiry,roll_progress,roll_shift_score,expiry_pressure,expiry_structure_state,roll_state,expiry_date_quality,asset_class,option_product,futures_code,futures_price,futures_volume,futures_open_interest,futures_oi_change,futures_amount,futures_pct_change,volume_wall,amount_wall,price_wall_distance,call_oi_wall_distance,put_oi_wall_distance,volume_wall_distance,amount_wall_distance,call_oi_total,put_oi_total,oi_bias,oi_wall_width,oi_wall_width_ratio,nearest_wall_type,nearest_wall,nearest_wall_distance,commodity_price_state
ETF,上证50ETF华夏,,,12月,2026-12-23,202612,rule_fourth_wednesday,medium,131.0,93.0,3.021,3.0,2.7,3.5,2.7,3.0,3.0,3.1,3.0,45143217.592372805,136534768.0419438,90838992.81715828,45695775.2247855,1.987907905496852,0.665317663184899,0.33468233681510084,143181.0,175454.0,,Positive Gamma,3.0,2.8,3.0,3.0,17034720.33247412,59186029.35635709,0.4691739750267721,0.3431964502475357,0.0,0.09999999999999964,0.0,True,2.868459783523545,available,medium,,24.0,19.0,0.7916666666666666,2.8577475000000003,2.869155,5.75232162349209e-16,bs_spot_repricing_constant_iv,136534768.0419438,45143217.59237279,143181.0,175454.0,3.0,4.0,deferred,0.05513156636101472,0.6437960600481681,0.2962598208638571,0.6437960600481681,0.2962598208638571,12.0,0.31515128715160123,-0.34753623918431104,0.02756578318050736,low_expiry_influence,front_month_dominant,rule_estimate,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,上证50ETF华夏,,,3月,2027-03-24,202703,rule_fourth_wednesday,medium,222.0,158.0,3.021,3.1,2.8,3.5,2.8,3.1,3.1,3.2,3.1,2694422.81391219,11918412.873713609,7306417.8438129,4611995.029900709,1.5842206672911783,0.6130361417439572,0.38696385825604285,14537.0,3131.0,,Positive Gamma,3.1,2.8,3.1,3.1,704729.1362872643,4284832.191366946,0.32000322378078333,0.37030233284128644,0.0,0.0,0.0,True,2.8688874490178833,available,medium,,20.0,17.0,0.85,2.8583675,2.8693583333333335,5.251429006699946e-15,bs_spot_repricing_constant_iv,11918412.873713609,2694422.8139121905,14537.0,3131.0,4.0,4.0,far,0.004812552726960046,0.6437960600481681,0.2962598208638571,0.6437960600481681,0.2962598208638571,12.0,0.31515128715160123,-0.34753623918431104,0.002406276363480023,low_expiry_influence,front_month_dominant,rule_estimate,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,上证50ETF华夏,,,8月,2026-08-26,202608,rule_fourth_wednesday,medium,12.0,8.0,3.021,3.1,3.0,3.1,3.0,3.0,3.1,3.1,3.0,413797747.5206614,1594377804.3489656,1004087775.9348136,590290028.414152,1.7010075176644148,0.6297677835177931,0.37023221648220694,747035.0,326225.0,,Positive Gamma,3.0,3.0,3.0,3.0,237294674.05807722,996655142.7248924,0.44522875305684456,0.48459169484280973,-0.10000000000000009,0.0,0.0,True,2.969805078379694,available,medium,,22.0,18.0,0.8181818181818182,2.9696325000000003,2.980831666666667,1.2541916617814147e-14,bs_spot_repricing_constant_iv,1594377804.348966,413797747.5206615,747035.0,326225.0,1.0,4.0,near,0.6437960600481681,0.6437960600481681,0.2962598208638571,0.6437960600481681,0.2962598208638571,12.0,0.31515128715160123,-0.34753623918431104,0.6437960600481681,near_month_pressure,front_month_dominant,rule_estimate,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,上证50ETF华夏,,,9月,2026-09-23,202609,rule_fourth_wednesday,medium,40.0,28.0,3.021,3.1,2.95,3.6,2.95,3.1,3.1,3.2,3.1,100729628.32302529,733695205.6997578,417212417.0113915,316482788.6883663,1.318278376971114,0.5686454181112952,0.4313545818887048,609621.0,187924.0,,Positive Gamma,3.1,2.95,3.1,3.1,69450880.90205275,403984662.1121887,0.42335185101174966,0.30512120807541054,0.0,0.0,0.0,True,2.9880761827316284,available,medium,,28.0,22.0,0.7857142857142857,2.9864616666666666,2.9980775,1.6496932547955235e-14,bs_spot_repricing_constant_iv,733695205.6997579,100729628.32302529,609621.0,187924.0,2.0,4.0,next,0.2962598208638571,0.6437960600481681,0.2962598208638571,0.6437960600481681,0.2962598208638571,12.0,0.31515128715160123,-0.34753623918431104,0.14812991043192855,normal_expiry_structure,front_month_dominant,rule_estimate,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,中证500ETF南方,,,12月,2026-12-23,202612,rule_fourth_wednesday,medium,131.0,93.0,7.998,8.25,7.25,9.823,6.25,8.25,8.25,8.25,8.0,78276991.46243903,246277002.1865717,162276996.82450533,84000005.36206631,1.931868886496384,0.6589206275199395,0.3410793724800603,157490.0,101851.0,,Positive Gamma,8.0,9.823,8.0,8.0,29324215.439454824,80484591.34127578,0.3551929529923404,0.27579949068117904,-0.25,2.5730000000000004,0.0,True,7.2628794705932895,available,medium,,54.0,42.0,0.7777777777777778,7.251520000000001,7.282623333333334,7.406899198158021e-14,bs_spot_repricing_constant_iv,246277002.1865717,78276991.46243905,157490.0,101851.0,3.0,4.0,deferred,0.05655202661856222,0.7025069050343025,0.22812836242534268,0.7025069050343025,0.22812836242534268,12.0,0.245131868952339,-0.4743785426089598,0.02827601330928111,low_expiry_influence,front_month_dominant,rule_estimate,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,中证500ETF南方,,,3月,2027-03-24,202703,rule_fourth_wednesday,medium,222.0,158.0,7.998,8.0,8.5,8.75,6.25,8.5,8.0,7.75,8.0,22609178.84994048,55797731.628622554,39203455.23928152,16594276.389341041,2.3624684993473397,0.7025994443682964,0.2974005556317038,39440.0,1986.0,,Positive Gamma,8.0,8.75,8.0,8.0,5058046.893200929,14296327.222872648,0.28826430028646066,0.23354148327702862,0.0,0.25,0.0,True,7.203789032971718,available,medium,,24.0,18.0,0.75,7.1893133333333346,7.220416666666668,3.471532963717512e-13,bs_spot_repricing_constant_iv,55797731.62862256,22609178.84994048,39440.0,1986.0,4.0,4.0,far,0.012812705921792754,0.7025069050343025,0.22812836242534268,0.7025069050343025,0.22812836242534268,12.0,0.245131868952339,-0.4743785426089598,0.006406352960896377,low_expiry_influence,front_month_dominant,rule_estimate,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,中证500ETF南方,,,8月,2026-08-26,202608,rule_fourth_wednesday,medium,12.0,8.0,7.998,8.0,7.75,8.0,7.75,8.0,8.25,8.25,8.0,528468123.13761836,3059329699.2547865,1793898911.196202,1265430788.0585837,1.4176191445036601,0.5863699200622845,0.4136300799377153,812323.0,944139.0,,Positive Gamma,8.0,8.0,8.0,8.0,339219219.1886641,2328575676.6137924,0.4758424804303861,0.37427604047162666,0.0,0.25,0.0,True,7.825413791805684,available,medium,,52.0,42.0,0.8076923076923077,7.8113800000000015,7.842483333333334,1.5886262575637988e-16,bs_spot_repricing_constant_iv,3059329699.254786,528468123.13761836,812323.0,944139.0,1.0,4.0,near,0.7025069050343025,0.7025069050343025,0.22812836242534268,0.7025069050343025,0.22812836242534268,12.0,0.245131868952339,-0.4743785426089598,0.7025069050343025,front_month_concentrated,front_month_dominant,rule_estimate,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,中证500ETF南方,,,9月,2026-09-23,202609,rule_fourth_wednesday,medium,40.0,28.0,7.998,8.0,8.0,8.0,6.631,8.0,8.25,8.5,8.0,132811005.74675977,993470483.2205628,563140744.4836613,430329738.7369015,1.3086261389616831,0.5668419484976657,0.43315805150233433,542555.0,142231.0,,Positive Gamma,8.0,8.0,8.0,8.0,127977598.55486813,543968729.6552963,0.45958900621828547,0.3005433546059675,0.0,0.0,0.0,True,7.844023227637392,available,medium,,58.0,44.0,0.7586206896551724,7.842483333333334,7.873586666666668,1.930378047984987e-16,bs_spot_repricing_constant_iv,993470483.2205628,132811005.74675977,542555.0,142231.0,2.0,4.0,next,0.22812836242534268,0.7025069050343025,0.22812836242534268,0.7025069050343025,0.22812836242534268,12.0,0.245131868952339,-0.4743785426089598,0.11406418121267134,normal_expiry_structure,front_month_dominant,rule_estimate,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,中证500ETF嘉实,,,12月,2026-12-23,202612,rule_fourth_wednesday,medium,131.0,93.0,3.248,3.2,2.9,4.1,2.9,3.2,3.2,3.2,3.2,11695134.244057601,39106344.28286208,25400739.263459843,13705605.019402241,1.8533103228570698,0.649529883942423,0.3504701160575771,65624.0,16375.0,,Positive Gamma,4.1,2.8,3.2,3.2,3725938.794748123,12027683.67694304,0.3286395652801134,0.3274439848317904,0.8999999999999995,-0.10000000000000009,0.0,True,2.978784268846934,available,medium,,34.0,28.0,0.8235294117647058,2.970115555555556,2.982746666666667,1.8142883996257705e-12,bs_spot_repricing_constant_iv,39106344.28286208,11695134.244057601,65624.0,16375.0,3.0,4.0,deferred,0.10130059411423459,0.5784018358923354,0.29300165877865675,0.5784018358923354,0.29300165877865675,12.0,0.3362410875908671,-0.28540017711367865,0.050650297057117294,normal_expiry_structure,distributed_expiry,rule_estimate,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,中证500ETF嘉实,,,3月,2027-03-24,202703,rule_fourth_wednesday,medium,222.0,158.0,3.248,3.3,3.1,3.1,3.1,3.2,3.3,3.2,3.3,3364812.3010432,10537384.41331968,6951098.35718144,3586286.0561382407,1.9382442583697501,0.659660697999683,0.3403393020003171,18296.0,817.0,,Positive Gamma,3.5,2.75,3.3,3.5,447074.4743946837,2677084.15929943,0.30858131193444643,0.40161586166985597,0.20000000000000018,-0.3500000000000001,0.0,True,3.044356912385006,available,medium,,26.0,19.0,0.7307692307692307,3.0332711111111115,3.0459022222222227,5.3548643455371315e-14,bs_spot_repricing_constant_iv,10537384.41331968,3364812.3010432,18296.0,817.0,4.0,4.0,far,0.02729591121477325,0.5784018358923354,0.29300165877865675,0.5784018358923354,0.29300165877865675,12.0,0.3362410875908671,-0.28540017711367865,0.013647955607386625,low_expiry_influence,distributed_expiry,rule_estimate,,,,,,,,,,,,,,,,,,,,,,,,,
