trade_date,market_type,underlying,contract_month,underlying_price,call_wall,put_wall,price_wall,gex_flip,gamma_regime,net_gex,total_abs_gex,normalized_net_gex,price_wall_distance,confidence_score,confidence_label,market_structure_state,future_open_price_1d,future_high_price_1d,future_low_price_1d,future_price_1d,future_price_3d,future_price_5d,future_return_1d,future_return_3d,future_return_5d,tested_call_wall_1d,tested_put_wall_1d,tested_price_wall_1d,same_day_dual_wall_touch_1d,intraday_sequence,touch_call_wall,break_call_wall_1d,call_wall_reject_1d,touch_put_wall,break_put_wall_1d,put_wall_bounce_1d,near_price_wall,price_wall_magnet_1d,price_wall_magnet_3d,price_wall_magnet_5d,gamma_flip_cross_1d,gamma_flip_cross_3d,gamma_flip_cross_5d,next_abs_return_1d,next_abs_return_3d,next_abs_return_5d,event_quality,validation_method
2026-08-14,COMMODITY,OI,2703,10026.0,,,10600.0,,,,,,0.05725114701775391,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,OI,2705,9940.0,,,8800.0,,,,,,-0.11468812877263579,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,PF,2610,7476.0,,,7800.0,,,,,,0.043338683788122,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,PF,2611,7402.0,,,7300.0,,,,,,-0.013780059443393666,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,PF,2612,7328.0,,,7000.0,,,,,,-0.04475982532751088,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,PK,2610,8222.0,,,8500.0,,,,,,0.03381172464120641,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,PK,2611,8230.0,,,8500.0,,,,,,0.03280680437424066,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,PK,2612,8228.0,,,8500.0,,,,,,0.03305785123966931,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,PK,2701,8248.0,,,8200.0,,,,,,-0.005819592628516057,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,PL,2610,7754.0,,,7700.0,,,,,,-0.0069641475367552275,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,PL,2611,7513.0,,,6300.0,,,,,,-0.16145348063356846,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,PR,2610,7250.0,,,7100.0,,,,,,-0.020689655172413834,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,PR,2611,7156.0,,,8000.0,,,,,,0.11794298490776978,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,PR,2612,7084.0,,,7200.0,,,,,,0.01637492941840768,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,PX,2610,8130.0,,,7500.0,,,,,,-0.07749077490774903,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,PX,2611,8096.0,,,8400.0,,,,,,0.03754940711462451,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,PX,2612,8046.0,,,8900.0,,,,,,0.10613969674372359,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,PX,2701,7978.0,,,9000.0,,,,,,0.1281022812735022,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,RM,2611,2191.0,,,2200.0,,,,,,0.004107713372889066,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,RM,2701,2239.0,,,2200.0,,,,,,-0.017418490397498876,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,RM,2703,2231.0,,,2050.0,,,,,,-0.08112953832362169,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,RM,2705,2284.0,,,2050.0,,,,,,-0.10245183887915932,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,RM,2707,2274.0,,,2025.0,,,,,,-0.10949868073878632,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,SA,2610,992.0,,,1100.0,,,,,,0.1088709677419355,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,SA,2611,994.0,,,1100.0,,,,,,0.10663983903420515,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,SA,2612,1020.0,,,940.0,,,,,,-0.07843137254901966,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,SA,2701,1023.0,,,1000.0,,,,,,-0.022482893450635366,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,SA,2703,1051.0,,,1180.0,,,,,,0.12274024738344425,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,SA,2705,1080.0,,,1400.0,,,,,,0.2962962962962963,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,SF,2610,5914.0,,,6100.0,,,,,,0.031450794724382725,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,SF,2611,5926.0,,,6200.0,,,,,,0.046236922038474626,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,SF,2612,5880.0,,,6400.0,,,,,,0.08843537414965996,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,SF,2701,5844.0,,,5800.0,,,,,,-0.007529089664613298,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,SH,2610,1902.0,,,2000.0,,,,,,0.05152471083070442,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,SH,2611,1870.0,,,2000.0,,,,,,0.06951871657754016,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,SH,2612,1913.0,,,2080.0,,,,,,0.08729743857814953,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,SH,2701,1922.0,,,2640.0,,,,,,0.3735691987513008,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,SM,2610,5784.0,,,5800.0,,,,,,0.0027662517289073207,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,SM,2611,5828.0,,,5800.0,,,,,,-0.0048043925875085325,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,SM,2612,5838.0,,,5900.0,,,,,,0.010620075368276805,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,SM,2701,5854.0,,,5700.0,,,,,,-0.026306798770071693,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,SM,2705,5908.0,,,5200.0,,,,,,-0.11983750846310093,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,SR,2611,5181.0,,,5300.0,,,,,,0.022968538892105705,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-14,COMMODITY,SR,2701,5309.0,,,6000.0,,,,,,0.13015633829346385,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
