trade_date,market_type,underlying,contract_month,underlying_price,call_wall,put_wall,price_wall,gex_flip,gamma_regime,net_gex,total_abs_gex,normalized_net_gex,price_wall_distance,confidence_score,confidence_label,market_structure_state,future_open_price_1d,future_high_price_1d,future_low_price_1d,future_price_1d,future_price_3d,future_price_5d,future_return_1d,future_return_3d,future_return_5d,tested_call_wall_1d,tested_put_wall_1d,tested_price_wall_1d,same_day_dual_wall_touch_1d,intraday_sequence,touch_call_wall,break_call_wall_1d,call_wall_reject_1d,touch_put_wall,break_put_wall_1d,put_wall_bounce_1d,near_price_wall,price_wall_magnet_1d,price_wall_magnet_3d,price_wall_magnet_5d,gamma_flip_cross_1d,gamma_flip_cross_3d,gamma_flip_cross_5d,next_abs_return_1d,next_abs_return_3d,next_abs_return_5d,event_quality,validation_method
2026-08-05,COMMODITY,AP,2610,7773.0,,,8000.0,,,,,,0.02920365367297051,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-05,COMMODITY,AP,2611,7635.0,,,9800.0,,,,,,0.28356254092992805,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-05,COMMODITY,AP,2612,7579.0,,,6600.0,,,,,,-0.1291727140783745,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-05,COMMODITY,AP,2701,7530.0,,,8800.0,,,,,,0.1686586985391767,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-05,COMMODITY,CF,2609,15990.0,,,16000.0,,,,,,0.0006253908692932519,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,pending,pending
2026-08-05,COMMODITY,CF,2611,16260.0,,,16400.0,,,,,,0.008610086100861114,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-05,COMMODITY,CF,2701,16450.0,,,17000.0,,,,,,0.033434650455927084,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-05,COMMODITY,CF,2703,16300.0,,,14400.0,,,,,,-0.1165644171779141,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-05,COMMODITY,CF,2705,16220.0,,,18000.0,,,,,,0.10974106041923548,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-05,COMMODITY,CJ,2612,8255.0,,,10000.0,,,,,,0.21138703815869175,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-05,COMMODITY,CJ,2701,8275.0,,,10000.0,,,,,,0.2084592145015105,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-05,COMMODITY,CJ,2703,8270.0,,,9100.0,,,,,,0.10036275695284158,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-05,COMMODITY,CJ,2705,8365.0,,,9000.0,,,,,,0.07591153616258217,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-05,COMMODITY,FG,2609,885.0,,,900.0,,,,,,0.016949152542372836,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-05,COMMODITY,FG,2610,933.0,,,1000.0,,,,,,0.07181136120042875,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-05,COMMODITY,FG,2611,928.0,,,1100.0,,,,,,0.18534482758620685,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
2026-08-05,COMMODITY,FG,2612,972.0,,,1120.0,,,,,,0.1522633744855968,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,pending,pending
