trade_date,market_type,asset_class,option_product,underlying,commodity,exchange,contract_month,expiry,expiry_month,expiry_source,expiry_confidence,days_to_expiry,business_days_to_expiry_estimate,underlying_price,call_wall,put_wall,call_oi_wall,put_oi_wall,max_gamma_strike,gex_flip,price_wall,net_gex,total_abs_gex,total_oi,total_volume,total_amount,call_gex_total,put_gex_abs_total,gex_ratio,call_gex_share,put_gex_share,call_wall_distance,put_wall_distance,price_wall_distance,gamma_regime,adjusted_call_wall,adjusted_put_wall,adjusted_price_wall,adjusted_max_gamma_strike,adjusted_net_gex,adjusted_total_abs_gex,avg_liquidity_score,avg_pricing_quality_score,adjusted_call_wall_shift,adjusted_put_wall_shift,adjusted_price_wall_shift,adjusted_wall_available,adjusted_call_wall_distance,adjusted_put_wall_distance,adjusted_price_wall_distance,expiry_role,expiry_gex_share,near_gex_ratio,next_gex_ratio,front_month_concentration,next_month_concentration,expiry_pressure,expiry_structure_state,days_to_near_expiry,roll_progress,roll_shift_score,roll_state,expiry_date_quality,zero_gamma,zero_gamma_status,zero_gamma_confidence,zero_gamma_reason,zero_gamma_total_contracts,zero_gamma_valid_contracts,zero_gamma_coverage,zero_gamma_bracket_low,zero_gamma_bracket_high,zero_gamma_residual_ratio,zero_gamma_method,futures_code,futures_price,futures_volume,futures_open_interest,futures_oi_change,futures_amount,futures_pct_change,volume_wall,amount_wall,call_oi_wall_distance,put_oi_wall_distance,volume_wall_distance,amount_wall_distance,call_oi_total,put_oi_total,oi_bias,oi_wall_width,oi_wall_width_ratio,nearest_wall_type,nearest_wall,nearest_wall_distance,commodity_price_state,prev_close,open_price,high_price,low_price,pct_change,amount,iv_surface_bias,delta_bias,normalized_net_gex,assumed_dealer_gamma_ratio,vega_risk_ratio,theta_burn_rate,rho_risk_ratio,atm_iv,call_25_delta_iv,put_25_delta_iv,option_market_value,total_time_value,month_total_abs_gex,month_net_gex,month_total_oi,month_total_volume,month_rank,month_count,risk_reversal_25d,put_skew,call_skew,smile_curvature,iv_min,iv_max,iv_std,near_atm_iv,next_atm_iv,iv_term_slope,iv_surface_state,wall_type,strike,distance_to_spot,metric_value,metric_concentration,oi_rank,volume_rank,proximity_score,confidence_score,confidence_label
2026-08-25,COMMODITY,COMMODITY,PR,PR,PR,CZCE,2612,,,,,,,7326.0,,,7700.0,6800.0,,,7300.0,,,312.0,7.0,16358.0,,,,,,,,-0.00354900354900356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PR612,7326.0,59584.0,15944.0,1082.0,6597736400.0,0.000105,7300.0,7300.0,0.05105105105105112,-0.07179907179907175,-0.00354900354900356,-0.00354900354900356,172.0,140.0,0.10256410256410256,900.0,0.12285012285012285,price_wall,7300.0,-0.00354900354900356,near_price_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-25,COMMODITY,COMMODITY,PX,PX,PX,CZCE,2610,,,,,,,8324.0,,,9000.0,8000.0,,,8500.0,,,132938.0,629530.0,130233561.0,,,,,,,,0.0211436809226333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PX610,8324.0,152873.0,53974.0,6400.0,6446654400.0,0.000144,8500.0,8500.0,0.08121095627102348,-0.03892359442575688,0.0211436809226333,0.0211436809226333,72685.0,60253.0,0.09351727873143871,1000.0,0.12013455069678039,price_wall,8500.0,0.0211436809226333,below_price_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-25,COMMODITY,COMMODITY,PX,PX,PX,CZCE,2611,,,,,,,8276.0,,,8500.0,7800.0,,,7800.0,,,11760.0,9074.0,5738984.0,,,,,,,,-0.05751570807153217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PX611,8276.0,493078.0,168855.0,11434.0,20640245000.0,0.00013,7300.0,8500.0,0.02706621556307387,-0.05751570807153217,-0.11793136781053648,0.02706621556307387,5436.0,6324.0,-0.07551020408163266,700.0,0.0845819236346061,call_oi_wall,8500.0,0.02706621556307387,above_price_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-25,COMMODITY,COMMODITY,PX,PX,PX,CZCE,2612,,,,,,,8196.0,,,8900.0,6600.0,,,8300.0,,,664.0,49.0,56682.0,,,,,,,,0.012689116642264464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PX612,8196.0,69976.0,33449.0,3609.0,2903304300.0,0.000126,8300.0,8300.0,0.08589555880917521,-0.19472913616398246,0.012689116642264464,0.012689116642264464,477.0,187.0,0.4367469879518072,2300.0,0.2806246949731576,price_wall,8300.0,0.012689116642264464,below_price_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-25,COMMODITY,COMMODITY,PX,PX,PX,CZCE,2701,,,,,,,8120.0,,,9000.0,7500.0,,,9000.0,,,1423.0,25.0,14719.0,,,,,,,,0.10837438423645329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PX701,8120.0,35953.0,31630.0,3318.0,1479106400.0,0.0001,7300.0,7300.0,0.10837438423645329,-0.07635467980295563,-0.10098522167487689,-0.10098522167487689,879.0,544.0,0.2354181307097681,1500.0,0.18472906403940886,put_oi_wall,7500.0,-0.07635467980295563,below_price_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-25,COMMODITY,COMMODITY,RM,RM,RM,CZCE,2611,,,,,,,2243.0,,,2300.0,2150.0,,,2300.0,,,83580.0,65928.0,18003055.0,,,,,,,,0.025412394115024606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RM611,2243.0,476350.0,637652.0,-9922.0,10651186000.0,1.3e-05,2300.0,2300.0,0.025412394115024606,-0.04146232724030319,0.025412394115024606,0.025412394115024606,48173.0,35407.0,0.15273988992581958,150.0,0.06687472135532768,call_oi_wall,2300.0,0.025412394115024606,below_price_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-25,COMMODITY,COMMODITY,RM,RM,RM,CZCE,2701,,,,,,,2277.0,,,2650.0,2200.0,,,2200.0,,,66438.0,8390.0,3448735.0,,,,,,,,-0.033816425120772986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RM701,2277.0,218849.0,544042.0,6352.0,4961306800.0,9e-06,2400.0,2275.0,0.1638120333772508,-0.033816425120772986,0.05401844532279321,-0.0008783487044357052,24474.0,41964.0,-0.2632529576447214,450.0,0.1976284584980237,amount_wall,2275.0,-0.0008783487044357052,above_price_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-25,COMMODITY,COMMODITY,RM,RM,RM,CZCE,2703,,,,,,,2268.0,,,2500.0,2050.0,,,2050.0,,,15087.0,3417.0,1463920.0,,,,,,,,-0.09611992945326275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RM703,2268.0,63481.0,122683.0,2354.0,1433401000.0,2.2000000000000003e-05,2025.0,2375.0,0.10229276895943573,-0.09611992945326275,-0.1071428571428571,0.0471781305114638,4415.0,10672.0,-0.4147279114469411,450.0,0.1984126984126984,amount_wall,2375.0,0.0471781305114638,above_price_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-25,COMMODITY,COMMODITY,RM,RM,RM,CZCE,2705,,,,,,,2331.0,,,2600.0,2050.0,,,2200.0,,,3354.0,8.0,5040.0,,,,,,,,-0.056199056199056185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RM705,2331.0,18109.0,69134.0,3015.0,420128800.0,-4e-06,2025.0,2200.0,0.11540111540111542,-0.12054912054912059,-0.13127413127413123,-0.056199056199056185,1265.0,2089.0,-0.2456768038163387,550.0,0.23595023595023595,price_wall,2200.0,-0.056199056199056185,above_price_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-25,COMMODITY,COMMODITY,RM,RM,RM,CZCE,2707,,,,,,,2325.0,,,2500.0,2025.0,,,2025.0,,,579.0,28.0,11760.0,,,,,,,,-0.12903225806451613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RM707,2325.0,3888.0,8285.0,-244.0,89929440.0,-9e-06,2025.0,2550.0,0.07526881720430101,-0.12903225806451613,-0.12903225806451613,0.09677419354838701,185.0,394.0,-0.3609671848013817,475.0,0.20430107526881722,call_oi_wall,2500.0,0.07526881720430101,above_price_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
