trade_date,market_type,asset_class,option_product,underlying,commodity,exchange,contract_month,expiry,expiry_month,expiry_source,expiry_confidence,days_to_expiry,business_days_to_expiry_estimate,underlying_price,call_wall,put_wall,call_oi_wall,put_oi_wall,max_gamma_strike,gex_flip,price_wall,net_gex,total_abs_gex,total_oi,total_volume,total_amount,call_gex_total,put_gex_abs_total,gex_ratio,call_gex_share,put_gex_share,call_wall_distance,put_wall_distance,price_wall_distance,gamma_regime,adjusted_call_wall,adjusted_put_wall,adjusted_price_wall,adjusted_max_gamma_strike,adjusted_net_gex,adjusted_total_abs_gex,avg_liquidity_score,avg_pricing_quality_score,adjusted_call_wall_shift,adjusted_put_wall_shift,adjusted_price_wall_shift,adjusted_wall_available,adjusted_call_wall_distance,adjusted_put_wall_distance,adjusted_price_wall_distance,expiry_role,expiry_gex_share,near_gex_ratio,next_gex_ratio,front_month_concentration,next_month_concentration,expiry_pressure,expiry_structure_state,days_to_near_expiry,roll_progress,roll_shift_score,roll_state,expiry_date_quality,is_primary_analysis_month,is_expiring_microstructure,analysis_month_role,zero_gamma,zero_gamma_status,zero_gamma_confidence,zero_gamma_reason,zero_gamma_total_contracts,zero_gamma_valid_contracts,zero_gamma_coverage,zero_gamma_bracket_low,zero_gamma_bracket_high,zero_gamma_residual_ratio,zero_gamma_method,futures_code,futures_price,futures_volume,futures_open_interest,futures_oi_change,futures_amount,futures_pct_change,volume_wall,amount_wall,call_oi_wall_distance,put_oi_wall_distance,volume_wall_distance,amount_wall_distance,call_oi_total,put_oi_total,oi_bias,oi_wall_width,oi_wall_width_ratio,nearest_wall_type,nearest_wall,nearest_wall_distance,commodity_price_state,prev_close,open_price,high_price,low_price,pct_change,amount,iv_surface_bias,delta_bias,normalized_net_gex,assumed_dealer_gamma_ratio,vega_risk_ratio,theta_burn_rate,rho_risk_ratio,atm_iv,call_25_delta_iv,put_25_delta_iv,option_market_value,total_time_value,front_month,primary_month,expiring_month,next_month,far_month,primary_selection_reason,primary_selection_note,primary_selection_confidence,primary_selection_dte,month_total_abs_gex,month_net_gex,month_total_oi,month_total_volume,month_rank,month_count,risk_reversal_25d,put_skew,call_skew,smile_curvature,iv_min,iv_max,iv_std,near_atm_iv,next_atm_iv,iv_term_slope,iv_surface_state,primary_atm_iv,next_after_primary_atm_iv,primary_iv_term_slope,primary_iv_surface_state,wall_type,strike,distance_to_spot,metric_value,metric_concentration,oi_rank,volume_rank,proximity_score,confidence_score,confidence_label
2026-09-21,ETF,,,上证50ETF华夏,,,10月,2026-10-28,202610,rule_fourth_wednesday,medium,37.0,27.0,3.002,3.0,3.0,3.1,3.0,3.0,3.0,3.0,187578670.30097118,835314969.1981505,416782.0,200612.0,,511446819.7495609,323868149.4485896,1.579182209242676,0.612280204005583,0.38771979599441697,-0.0006662225183210468,-0.0006662225183210468,-0.0006662225183210468,Positive Gamma,3.0,3.0,3.0,3.0,148367616.61202604,514111039.9398058,0.5082116229344688,0.5844481509313187,0.0,0.0,0.0,True,-0.0006662225183210468,-0.0006662225183210468,-0.0006662225183210468,next,0.30543908804596226,0.5936685818039026,0.30543908804596226,0.5936685818039026,0.30543908804596226,0.15271954402298113,normal_expiry_structure,2.0,0.33971358302055776,-0.2882294937579403,expiry_week_concentrated,rule_estimate,False,False,next_month,2.944329165790536,available,medium,,22.0,18.0,0.8181818181818182,2.9359766666666665,2.947033333333333,7.312168282973377e-14,bs_spot_repricing_constant_iv,,,,,,,,,,,,,,,,,,,,,,,2.975,2.985,3.003,2.981,9.1e-05,1828542860.0,0.22839895706451813,0.2545946964849225,0.22456040801116597,0.22456040801116597,0.0685341484971703,0.022234969683448815,0.006030824665617336,0.14098137931034482,0.113,0.1452,160751979.0,87330679.0,9月,9月,,10月,3月,front_retained_roll_not_confirmed,9月 DTE=2，换月接管未确认，仍使用前月,medium,2.0,835314969.1981504,187578670.30097124,416782.0,200612.0,2.0,4.0,-0.03219999999999999,0.04150000000000001,0.009300000000000017,0.025400000000000006,0.0001,0.3669,0.09761776238199447,0.1104,0.1056,-0.004799999999999999,put_skew_elevated,0.1104,0.10369999999999999,-0.0067000000000000115,put_skew_elevated,call_wall,3.0,-0.0006662225183210468,206157351.91688445,0.4030865848727598,1.0,1.0,0.9933377748167895,0.7303896294152603,high
2026-09-21,ETF,,,上证50ETF华夏,,,12月,2026-12-23,202612,rule_fourth_wednesday,medium,93.0,67.0,3.002,3.0,2.7,3.5,2.7,3.0,3.0,3.0,77124015.48996276,245344352.9987307,247607.0,74000.0,,161234184.2443467,84110168.75438395,1.9169404440880156,0.6571750369374952,0.34282496306250465,-0.0006662225183210468,-0.10059960026648884,-0.0006662225183210468,Positive Gamma,3.0,2.8,3.0,3.0,34277949.66004425,106512434.67022428,0.45637618764289806,0.3718041970688534,0.0,0.09999999999999964,0.0,True,-0.0006662225183210468,-0.06728847435043306,-0.0006662225183210468,deferred,0.08971197476455432,0.5936685818039026,0.30543908804596226,0.5936685818039026,0.30543908804596226,0.04485598738227716,low_expiry_influence,2.0,0.33971358302055776,-0.2882294937579403,expiry_week_concentrated,rule_estimate,False,False,other_month,2.853617028167387,available,medium,,24.0,20.0,0.8333333333333334,2.8473450000000002,2.85861,3.631015152990311e-16,bs_spot_repricing_constant_iv,,,,,,,,,,,,,,,,,,,,,,,2.975,2.985,3.003,2.981,9.1e-05,1828542860.0,0.3559271125350422,0.1923296566098146,0.31435007387499053,0.31435007387499053,0.05228984424176895,0.01107796404861034,0.003410114197680237,0.16435949367088606,0.1336,0.19210000000000002,195343898.0,86299251.0,9月,9月,,10月,3月,front_retained_roll_not_confirmed,9月 DTE=2，换月接管未确认，仍使用前月,medium,2.0,245344352.99873066,77124015.48996276,247607.0,74000.0,3.0,4.0,-0.058500000000000024,0.08650000000000002,0.027999999999999997,0.057249999999999995,0.0001,0.35409999999999997,0.09943133527607184,0.1104,0.0861,-0.024300000000000002,front_iv_inversion,0.1104,0.10369999999999999,-0.0067000000000000115,put_skew_elevated,call_wall,3.0,-0.0006662225183210468,41286683.1107952,0.2560665612214478,0.9166666666666666,0.8333333333333334,0.9933377748167895,0.6183972854388365,medium
2026-09-21,ETF,,,上证50ETF华夏,,,3月,2027-03-24,202703,rule_fourth_wednesday,medium,184.0,132.0,3.002,3.1,2.8,3.5,2.8,3.0,3.1,3.0,11210009.786310239,30576041.443410717,34444.0,8009.0,,20893025.61486048,9683015.828550238,2.157698178418513,0.6833136216644887,0.3166863783355113,0.03264490339773496,-0.06728847435043306,-0.0006662225183210468,Positive Gamma,3.1,2.8,3.0,2.8,2883745.013548003,12956935.16676447,0.44982616861144037,0.39693826682043676,0.0,0.0,0.0,True,0.03264490339773496,-0.06728847435043306,-0.0006662225183210468,far,0.011180355385580938,0.5936685818039026,0.30543908804596226,0.5936685818039026,0.30543908804596226,0.005590177692790469,low_expiry_influence,2.0,0.33971358302055776,-0.2882294937579403,expiry_week_concentrated,rule_estimate,False,False,far_month,2.827411801915457,available,medium,,22.0,18.0,0.8181818181818182,2.8254099999999998,2.8364666666666665,4.743115291662197e-15,bs_spot_repricing_constant_iv,,,,,,,,,,,,,,,,,,,,,,,2.975,2.985,3.003,2.981,9.1e-05,1828542860.0,0.39616370288338326,0.2818537884785616,0.3666272433289774,0.3666272433289774,0.0720615772577507,0.005143480931977255,0.011355603104110275,0.20471335311572703,0.126,0.2071,32161744.0,22410504.0,9月,9月,,10月,3月,front_retained_roll_not_confirmed,9月 DTE=2，换月接管未确认，仍使用前月,medium,2.0,30576041.443410717,11210009.786310239,34444.0,8009.0,4.0,4.0,-0.0811,0.12100000000000001,0.039900000000000005,0.08045000000000001,0.0001,0.33130000000000004,0.10235964691233221,0.1104,,,put_skew_elevated,0.1104,0.10369999999999999,-0.0067000000000000115,put_skew_elevated,call_wall,3.1,0.03264490339773496,4429677.17524304,0.2120170269686725,0.6363636363636364,0.8181818181818182,0.6735509660226504,0.478258488857482,medium
2026-09-21,ETF,,,上证50ETF华夏,,,9月,2026-09-23,202609,rule_fourth_wednesday,medium,2.0,2.0,3.002,3.0,3.0,3.1,2.95,3.0,3.0,3.0,283735756.1632087,1623565131.4176714,665810.0,373277.0,,953650443.79044,669914687.6272315,1.423540133398435,0.5873804661952351,0.4126195338047649,-0.0006662225183210468,-0.0006662225183210468,-0.0006662225183210468,Positive Gamma,3.0,3.0,3.0,3.0,231043788.9175399,1082012685.3137913,0.44081849591237454,0.7759309954704038,0.0,0.0,0.0,True,-0.0006662225183210468,-0.0006662225183210468,-0.0006662225183210468,near,0.5936685818039026,0.5936685818039026,0.30543908804596226,0.5936685818039026,0.30543908804596226,0.5936685818039026,near_month_pressure,2.0,0.33971358302055776,-0.2882294937579403,expiry_week_concentrated,rule_estimate,True,False,primary_analysis,2.976361252263087,available,medium,,28.0,23.0,0.8214285714285714,2.9742066666666664,2.98568,8.15264537423667e-15,bs_spot_repricing_constant_iv,,,,,,,,,,,,,,,,,,,,,,,2.975,2.985,3.003,2.981,9.1e-05,1828542860.0,-0.14191106906338696,0.23543772728407858,0.17476093239047039,0.17476093239047039,0.016449577856167064,0.3193416388501171,0.0003270158646399943,0.26425,0.1807,0.1432,110168967.0,15032418.0,9月,9月,,10月,3月,front_retained_roll_not_confirmed,9月 DTE=2，换月接管未确认，仍使用前月,medium,2.0,1623565131.4176717,283735756.1632088,665810.0,373277.0,1.0,4.0,0.037500000000000006,0.032799999999999996,0.0703,0.051549999999999985,0.0001,1.1905,0.31247854436397815,0.1104,0.10369999999999999,-0.0067000000000000115,put_skew_elevated,0.1104,0.10369999999999999,-0.0067000000000000115,put_skew_elevated,call_wall,3.0,-0.0006662225183210468,735138414.5587419,0.7708677947412407,0.9285714285714286,1.0,0.9933377748167895,0.8780340309989338,high
2026-09-21,ETF,,,中证500ETF南方,,,10月,2026-10-28,202610,rule_fourth_wednesday,medium,37.0,27.0,7.872,7.75,7.75,7.75,7.75,7.75,8.5,7.75,89301354.19748351,827022576.998154,346797.0,316400.0,,458161965.597819,368860611.4003354,1.2421005426913478,0.553989671310801,0.4460103286891994,-0.015497967479674801,-0.015497967479674801,-0.015497967479674801,Positive Gamma,7.75,7.75,7.75,7.75,58984058.180197485,622409333.95512,0.640581482634249,0.4041056251269149,0.0,0.0,0.0,True,-0.015497967479674801,-0.015497967479674801,-0.015497967479674801,next,0.2074370411165781,0.6541296780672257,0.2074370411165781,0.6541296780672257,0.2074370411165781,0.10371852055828905,normal_expiry_structure,2.0,0.24076724007293526,-0.44669263695064754,expiry_week_concentrated,rule_estimate,False,False,next_month,,unavailable,unavailable,insufficient_valid_contracts,22.0,0.0,0.0,,,,bs_spot_repricing_constant_iv,,,,,,,,,,,,,,,,,,,,,,,7.83,7.863,7.907,7.833,5.4000000000000005e-05,3494227709.0,0.0,0.24173455782158,0.1079793426216015,0.1079793426216015,0.04939422722751424,0.04026084614270826,0.003064332060621398,9.999999999999999e-05,0.0001,0.0001,555448289.0,289966335.0,9月,9月,,10月,3月,front_retained_roll_not_confirmed,9月 DTE=2，换月接管未确认，仍使用前月,medium,2.0,827022576.9981543,89301354.19748351,346797.0,316400.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.1834,0.16399999999999998,-0.01940000000000003,normal_iv_surface,0.1834,0.0001,-0.18330000000000002,front_iv_inversion,call_wall,7.75,-0.015497967479674801,110042513.14839552,0.24018255859542997,1.0,1.0,0.845020325203252,0.6348352001484313,medium
2026-09-21,ETF,,,中证500ETF南方,,,12月,2026-12-23,202612,rule_fourth_wednesday,medium,93.0,67.0,7.872,8.25,6.5,9.823,6.25,7.75,8.35,7.75,117245739.17380609,451382837.5594599,312393.0,101531.0,,284314288.366633,167068549.1928269,1.7017822309481099,0.6298739444854962,0.3701260555145038,0.0480182926829269,-0.1742886178861789,-0.015497967479674801,Positive Gamma,8.0,7.75,7.75,7.75,50593477.47078228,184761085.35430777,0.43530551179314436,0.3316893019683147,-0.25,1.25,0.0,True,0.016260162601626105,-0.015497967479674801,-0.015497967479674801,deferred,0.11321761078639614,0.6541296780672257,0.2074370411165781,0.6541296780672257,0.2074370411165781,0.05660880539319807,normal_expiry_structure,2.0,0.24076724007293526,-0.44669263695064754,expiry_week_concentrated,rule_estimate,False,False,other_month,7.523019352196774,available,medium,,54.0,46.0,0.8518518518518519,7.50464,7.535253333333333,3.7968526395110684e-17,bs_spot_repricing_constant_iv,,,,,,,,,,,,,,,,,,,,,,,7.83,7.863,7.907,7.833,5.4000000000000005e-05,3494227709.0,0.3730543191342022,0.11608955018832222,0.25974788897099244,0.25974788897099244,0.03756286133045507,0.011506234597021126,-0.0003134838620990296,0.29245070866141737,0.198,0.3071,776473782.0,355995262.0,9月,9月,,10月,3月,front_retained_roll_not_confirmed,9月 DTE=2，换月接管未确认，仍使用前月,medium,2.0,451382837.55945987,117245739.17380609,312393.0,101531.0,3.0,4.0,-0.10909999999999997,0.1431,0.03400000000000003,0.08855000000000002,0.0001,0.5956,0.14422090478865157,0.1834,0.10869999999999999,-0.07470000000000002,front_iv_inversion,0.1834,0.0001,-0.18330000000000002,front_iv_inversion,call_wall,8.25,0.0480182926829269,29996911.706111994,0.10550617022606318,0.6296296296296297,0.7777777777777778,0.519817073170731,0.39952441165141217,low
2026-09-21,ETF,,,中证500ETF南方,,,3月,2027-03-24,202703,rule_fourth_wednesday,medium,184.0,132.0,7.872,7.75,7.75,6.25,6.25,7.75,6.75,8.0,33084315.406172164,100531362.65601024,71713.0,6034.0,,66807839.0310912,33723523.624919035,1.9810456277980826,0.6645472344753611,0.3354527655246388,-0.015497967479674801,-0.015497967479674801,0.016260162601626105,Positive Gamma,8.0,8.0,8.0,8.0,6819128.712466234,30651643.071923565,0.33420214205832816,0.35970420917444607,0.25,0.25,0.0,True,0.016260162601626105,0.016260162601626105,0.016260162601626105,far,0.025215670029800116,0.6541296780672257,0.2074370411165781,0.6541296780672257,0.2074370411165781,0.012607835014900058,low_expiry_influence,2.0,0.24076724007293526,-0.44669263695064754,expiry_week_concentrated,rule_estimate,False,False,far_month,7.3562984043025175,available,medium,,26.0,20.0,0.7692307692307693,7.351573333333334,7.382186666666668,5.519710589004013e-16,bs_spot_repricing_constant_iv,,,,,,,,,,,,,,,,,,,,,,,7.83,7.863,7.907,7.833,5.4000000000000005e-05,3494227709.0,0.48686941566000475,0.2987517259054422,0.3290944689507222,0.3290944689507222,0.029419574878137216,0.004498162988985293,0.0027419765267620447,0.3323273033707866,0.17149999999999999,0.3333,440255410.0,182637446.0,9月,9月,,10月,3月,front_retained_roll_not_confirmed,9月 DTE=2，换月接管未确认，仍使用前月,medium,2.0,100531362.65601024,33084315.40617216,71713.0,6034.0,4.0,4.0,-0.1618,0.2246,0.0628,0.14369999999999997,0.0001,0.4963,0.16388517035271516,0.1834,,,put_skew_elevated,0.1834,0.0001,-0.18330000000000002,front_iv_inversion,call_wall,7.75,-0.015497967479674801,11982821.45660928,0.17936250641234908,0.9230769230769231,0.3076923076923077,0.845020325203252,0.48438925358912177,medium
2026-09-21,ETF,,,中证500ETF南方,,,9月,2026-09-23,202609,rule_fourth_wednesday,medium,2.0,2.0,7.872,8.0,7.75,8.0,7.75,8.0,8.0,8.0,507965175.6366642,2607923874.801623,589504.0,852604.0,,1557944525.2191439,1049979349.5824795,1.4837858723970665,0.597388804279286,0.4026111957207142,0.016260162601626105,-0.015497967479674801,0.016260162601626105,Positive Gamma,8.0,7.75,7.75,7.75,389689228.2187316,1935780599.0276604,0.4549091847832876,0.74366215668667,0.0,0.0,-0.25,True,0.016260162601626105,-0.015497967479674801,-0.015497967479674801,near,0.6541296780672257,0.6541296780672257,0.2074370411165781,0.6541296780672257,0.2074370411165781,0.6541296780672257,front_month_concentrated,2.0,0.24076724007293526,-0.44669263695064754,expiry_week_concentrated,rule_estimate,True,False,primary_analysis,7.814986617564554,available,medium,,58.0,46.0,0.7931034482758621,7.810773333333334,7.841386666666667,1.8803484838131633e-18,bs_spot_repricing_constant_iv,,,,,,,,,,,,,,,,,,,,,,,7.83,7.863,7.907,7.833,5.4000000000000005e-05,3494227709.0,0.03550439229595426,0.25399236249564305,0.1947776085585717,0.1947776085585717,0.010119555821040186,0.44120338074205867,0.00036286600233291917,0.19997525773195873,0.1996,0.20670000000000002,447357975.0,38592474.0,9月,9月,,10月,3月,front_retained_roll_not_confirmed,9月 DTE=2，换月接管未确认，仍使用前月,medium,2.0,2607923874.8016233,507965175.63666415,589504.0,852604.0,1.0,4.0,-0.007100000000000023,0.023300000000000015,0.016199999999999992,0.01974999999999999,0.0001,1.591,0.3754566885283542,0.1834,0.0001,-0.18330000000000002,front_iv_inversion,0.1834,0.0001,-0.18330000000000002,front_iv_inversion,call_wall,8.0,0.016260162601626105,825727282.8515942,0.5300107092936738,1.0,0.9655172413793104,0.837398373983739,0.7589421614866106,high
2026-09-21,ETF,,,中证500ETF嘉实,,,10月,2026-10-28,202610,rule_fourth_wednesday,medium,37.0,27.0,3.193,3.2,3.2,3.5,2.9,3.2,3.3,3.2,14579445.046636565,76666843.30999519,61430.0,30914.0,,45623144.17831587,31043699.13167931,1.4696426474433455,0.5950831181850408,0.4049168818149591,0.0021922956467272936,0.0021922956467272936,0.0021922956467272936,Positive Gamma,3.2,3.2,3.2,3.2,8419346.776920768,44389496.370912105,0.5325379576592565,0.32807241399422865,0.0,0.0,0.0,True,0.0021922956467272936,0.0021922956467272936,0.0021922956467272936,next,0.18164016797320506,0.5852371134361672,0.18164016797320506,0.5852371134361672,0.18164016797320506,0.09082008398660253,normal_expiry_structure,2.0,0.23685689011335104,-0.4035969454629622,expiry_week_concentrated,rule_estimate,False,False,next_month,3.111134467680338,available,medium,,20.0,16.0,0.8,3.1033,3.1153725000000003,9.468398400547214e-14,bs_spot_repricing_constant_iv,,,,,,,,,,,,,,,,,,,,,,,3.175,3.18,3.206,3.177,5.7e-05,332143846.879,0.3449331476103911,0.14134301517321304,0.1901662363700817,0.1901662363700817,0.04019545374868996,0.024393824909703262,0.0012012696931125043,0.2397566037735849,0.1788,0.2615,43265888.0,21359299.0,9月,9月,,10月,3月,front_retained_roll_not_confirmed,9月 DTE=2，换月接管未确认，仍使用前月,medium,2.0,76666843.30999519,14579445.046636565,61430.0,30914.0,2.0,4.0,-0.08270000000000002,0.09110000000000001,0.00839999999999999,0.049750000000000016,0.0001,0.4238,0.12148197180521977,0.17190000000000003,0.1671,-0.0048000000000000265,put_skew_elevated,0.17190000000000003,0.1704,-0.001500000000000029,put_skew_elevated,call_wall,3.2,0.0021922956467272936,12509968.137711002,0.2742022357954198,1.0,1.0,0.9780770435327271,0.670102562637848,medium
2026-09-21,ETF,,,中证500ETF嘉实,,,12月,2026-12-23,202612,rule_fourth_wednesday,medium,93.0,67.0,3.193,3.1,3.1,4.1,2.8,3.1,3.1,3.1,36109390.174714,77015141.97034235,134663.0,58968.0,,56562266.072528176,20452875.89781417,2.765492068456401,0.7344304590688109,0.26556954093118906,-0.029126213592232997,-0.029126213592232997,-0.029126213592232997,Positive Gamma,4.0,2.95,3.1,4.0,10012553.145382173,24803892.487948168,0.39003651667326145,0.31531841047009607,0.8999999999999999,-0.1499999999999999,0.0,True,0.25274036955840895,-0.07610397745067332,-0.029126213592232997,deferred,0.18246536207849115,0.5852371134361672,0.18164016797320506,0.5852371134361672,0.18164016797320506,0.09123268103924558,normal_expiry_structure,2.0,0.23685689011335104,-0.4035969454629622,expiry_week_concentrated,rule_estimate,False,False,other_month,2.9273539020646147,available,medium,,34.0,28.0,0.8235294117647058,2.919821111111111,2.9322383333333333,6.432329223865724e-13,bs_spot_repricing_constant_iv,,,,,,,,,,,,,,,,,,,,,,,3.175,3.18,3.206,3.177,5.7e-05,332143846.879,0.44049109643345336,0.33929542347027525,0.4688609181376219,0.4688609181376219,0.042801166602467376,0.01311793913891592,0.00534120406799752,0.25176445312499995,0.2002,0.3111,118363199.0,55733907.0,9月,9月,,10月,3月,front_retained_roll_not_confirmed,9月 DTE=2，换月接管未确认，仍使用前月,medium,2.0,77015141.97034235,36109390.174714,134663.0,58968.0,3.0,4.0,-0.1109,0.144,0.03309999999999999,0.08854999999999999,0.0001,0.5539999999999999,0.15513049515116847,0.17190000000000003,0.1277,-0.04420000000000002,front_iv_inversion,0.17190000000000003,0.1704,-0.001500000000000029,put_skew_elevated,call_wall,3.1,-0.029126213592232997,9244232.29908538,0.16343461712145277,0.8823529411764706,0.35294117647058826,0.70873786407767,0.4533856690810101,medium
