trade_date,underlying,contract_month,underlying_price,call_gex_total,put_gex_abs_total,gex_ratio,call_gex_share,put_gex_share,net_gex,total_abs_gex,gamma_regime
2026-08-13,上证50ETF华夏,12月,3.037,84527542.2343112,42524822.389688,1.98772240503957,0.6652968835681521,0.3347031164318479,42002719.84462318,127052364.6239992,Positive Gamma
2026-08-13,上证50ETF华夏,3月,3.037,6892298.068774302,4321634.079111541,1.5948361065755128,0.6146192056346359,0.38538079436536427,2570663.9896627595,11213932.14788584,Positive Gamma
2026-08-13,上证50ETF华夏,8月,3.037,976083938.9676098,564113460.6106592,1.7302971957290079,0.63373950588079,0.3662604941192101,411970478.35695046,1540197399.578269,Positive Gamma
2026-08-13,上证50ETF华夏,9月,3.037,390629413.86838835,228799217.54299578,1.7073022279675478,0.6306286052330665,0.3693713947669337,161830196.3253926,619428631.411384,Positive Gamma
2026-08-13,中证500ETF南方,12月,7.98,156668163.67112398,83499798.630528,1.8762699580193383,0.6523274885196724,0.3476725114803277,73168365.04059601,240167962.30165198,Positive Gamma
2026-08-13,中证500ETF南方,3月,7.98,38400740.754768,16992896.316228002,2.2598113964890008,0.6932337861395736,0.3067662138604264,21407844.438540004,55393637.070996,Positive Gamma
2026-08-13,中证500ETF南方,8月,7.98,1619731719.163908,1284110944.0112522,1.2613643133546215,0.5577890771095835,0.4422109228904163,335620775.1526561,2903842663.175161,Positive Gamma
2026-08-13,中证500ETF南方,9月,7.98,531898013.8949401,418761828.9761761,1.2701683321886543,0.5595040306830874,0.44049596931691254,113136184.91876405,950659842.8711162,Positive Gamma
2026-08-13,中证500ETF嘉实,12月,3.24,26412390.636912007,14112576.210816003,1.8715499028922384,0.6517560084911652,0.3482439915088347,12299814.426096004,40524966.847728014,Positive Gamma
2026-08-13,中证500ETF嘉实,3月,3.24,7788465.157392001,3709918.079856001,2.0993631098437375,0.6773530675305681,0.32264693246943155,4078547.0775360004,11498383.237248005,Positive Gamma
2026-08-13,中证500ETF嘉实,8月,3.24,141616813.59216002,76583271.135312,1.849187315881856,0.649022725032563,0.350977274967437,65033542.456848,218200084.72747204,Positive Gamma
2026-08-13,中证500ETF嘉实,9月,3.24,74035989.54921602,38779333.01596801,1.9091609832157381,0.6562582800438165,0.34374171995618363,35256656.53324801,112815322.56518401,Positive Gamma
