exchange,commodity,underlying,contract_month,strike,call_oi,put_oi,total_oi,call_volume,put_volume,total_volume,call_amount,put_amount,total_amount,price_wall_score
CZCE,AP,AP,2611,6600.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004150909805713644
CZCE,AP,AP,2611,6700.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005597190797449181
CZCE,AP,AP,2611,6800.0,0.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008489752780920255
CZCE,AP,AP,2611,6900.0,0.0,36.0,36.0,0.0,2.0,2.0,0.0,1820.0,1820.0,0.026385566505332938
CZCE,AP,AP,2611,7000.0,0.0,21.0,21.0,0.0,3.0,3.0,0.0,3270.0,3270.0,0.032372984292479846
CZCE,AP,AP,2611,7100.0,0.0,18.0,18.0,0.0,3.0,3.0,0.0,4170.0,4170.0,0.036761711225571654
CZCE,AP,AP,2611,7200.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004150909805713644
CZCE,AP,AP,2611,7300.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012583478222425691
CZCE,AP,AP,2611,7400.0,10.0,28.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00828314121067232
CZCE,AP,AP,2611,7500.0,10.0,23.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007250083359432652
CZCE,AP,AP,2611,7600.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00291124038422604
CZCE,AP,AP,2611,7700.0,4.0,6.0,10.0,3.0,0.0,3.0,6000.0,0.0,6000.0,0.04251464058139641
CZCE,AP,AP,2611,7800.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016715709627384368
CZCE,AP,AP,2611,7900.0,3.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00291124038422604
CZCE,AP,AP,2611,8000.0,4.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022914056734822386
CZCE,AP,AP,2611,8100.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010517362519946352
