trade_date,market_type,asset_class,option_product,underlying,commodity,exchange,contract_month,expiry,expiry_month,expiry_source,expiry_confidence,days_to_expiry,business_days_to_expiry_estimate,underlying_price,call_wall,put_wall,call_oi_wall,put_oi_wall,max_gamma_strike,gex_flip,price_wall,net_gex,total_abs_gex,total_oi,total_volume,total_amount,call_gex_total,put_gex_abs_total,gex_ratio,call_gex_share,put_gex_share,call_wall_distance,put_wall_distance,price_wall_distance,gamma_regime,adjusted_call_wall,adjusted_put_wall,adjusted_price_wall,adjusted_max_gamma_strike,adjusted_net_gex,adjusted_total_abs_gex,avg_liquidity_score,avg_pricing_quality_score,adjusted_call_wall_shift,adjusted_put_wall_shift,adjusted_price_wall_shift,adjusted_wall_available,adjusted_call_wall_distance,adjusted_put_wall_distance,adjusted_price_wall_distance,expiry_role,expiry_gex_share,near_gex_ratio,next_gex_ratio,front_month_concentration,next_month_concentration,expiry_pressure,expiry_structure_state,days_to_near_expiry,roll_progress,roll_shift_score,roll_state,expiry_date_quality,zero_gamma,zero_gamma_status,zero_gamma_confidence,zero_gamma_reason,zero_gamma_total_contracts,zero_gamma_valid_contracts,zero_gamma_coverage,zero_gamma_bracket_low,zero_gamma_bracket_high,zero_gamma_residual_ratio,zero_gamma_method,futures_code,futures_price,futures_volume,futures_open_interest,futures_oi_change,futures_amount,futures_pct_change,volume_wall,amount_wall,call_oi_wall_distance,put_oi_wall_distance,volume_wall_distance,amount_wall_distance,call_oi_total,put_oi_total,oi_bias,oi_wall_width,oi_wall_width_ratio,nearest_wall_type,nearest_wall,nearest_wall_distance,commodity_price_state,prev_close,open_price,high_price,low_price,pct_change,amount,iv_surface_bias,delta_bias,normalized_net_gex,assumed_dealer_gamma_ratio,vega_risk_ratio,theta_burn_rate,rho_risk_ratio,atm_iv,call_25_delta_iv,put_25_delta_iv,option_market_value,total_time_value
2026-08-03,COMMODITY,COMMODITY,ag,ag,ag,SHFE,2609,,,,,,,14201.0,,,15000.0,13000.0,,,15000.0,,,75918.0,252698.0,1122496327.0,,,,,,,,0.056263643405394026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ag2609,14201.0,24965.0,25357.0,-190.0,5276675800.0,-4.7999999999999994e-05,15000.0,14000.0,0.056263643405394026,-0.08457150904865851,0.056263643405394026,-0.014153932821632242,38479.0,37439.0,0.013698991016623198,2000.0,0.14083515245405254,amount_wall,14000.0,-0.014153932821632242,below_price_wall,,,,,,,,,,,,,,,,,,
2026-08-03,COMMODITY,COMMODITY,ag,ag,ag,SHFE,2610,,,,,,,14218.0,,,15000.0,14000.0,,,15000.0,,,47062.0,18152.0,138324534.0,,,,,,,,0.05500070333380225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ag2610,14218.0,651016.0,286111.0,373.0,137746160000.0,-4.9e-05,15000.0,15000.0,0.05500070333380225,-0.015332676888451302,0.05500070333380225,0.05500070333380225,33409.0,13653.0,0.419786664400153,1000.0,0.07033338022225348,put_oi_wall,14000.0,-0.015332676888451302,below_price_wall,,,,,,,,,,,,,,,,,,
2026-08-03,COMMODITY,COMMODITY,ag,ag,ag,SHFE,2612,,,,,,,14249.0,,,35900.0,14000.0,,,35900.0,,,20189.0,1251.0,11229269.0,,,,,,,,1.5194750508807635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ag2612,14249.0,73531.0,106350.0,1551.0,15604813000.0,-4.6e-05,15300.0,15300.0,1.5194750508807635,-0.01747491052003647,0.07375956207453149,0.07375956207453149,16575.0,3614.0,0.6419832582099163,21900.0,1.5369499614008,put_oi_wall,14000.0,-0.01747491052003647,below_price_wall,,,,,,,,,,,,,,,,,,
2026-08-03,COMMODITY,COMMODITY,ag,ag,ag,SHFE,2702,,,,,,,14270.0,,,18000.0,9900.0,,,18000.0,,,27.0,15.0,178967.0,,,,,,,,0.2613875262789067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ag2702,14270.0,34142.0,25401.0,3137.0,7272075100.0,-5e-05,18000.0,18000.0,0.2613875262789067,-0.30623686054660126,0.2613875262789067,0.2613875262789067,11.0,16.0,-0.18518518518518517,8100.0,0.5676243868255081,call_oi_wall,18000.0,0.2613875262789067,below_price_wall,,,,,,,,,,,,,,,,,,
2026-08-03,COMMODITY,COMMODITY,al,al,al,SHFE,2609,,,,,,,23640.0,,,24000.0,22000.0,,,24000.0,,,80940.0,68604.0,44736770.0,,,,,,,,0.015228426395939021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,al2609,23640.0,166501.0,239611.0,-7652.0,19637493000.0,-1.1000000000000001e-05,24000.0,23400.0,0.015228426395939021,-0.0693739424703892,0.015228426395939021,-0.010152284263959421,39210.0,41730.0,-0.031134173461823574,2000.0,0.08460236886632826,amount_wall,23400.0,-0.010152284263959421,below_price_wall,,,,,,,,,,,,,,,,,,
2026-08-03,COMMODITY,COMMODITY,al,al,al,SHFE,2610,,,,,,,23645.0,,,24000.0,22600.0,,,24000.0,,,14597.0,6343.0,6298750.0,,,,,,,,0.015013744977796506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,al2610,23645.0,79254.0,147943.0,3841.0,9343546900.0,-2e-06,24000.0,24000.0,0.015013744977796506,-0.04419539014590823,0.015013744977796506,0.015013744977796506,7499.0,7098.0,0.02747139823251353,1400.0,0.0592091351237048,call_oi_wall,24000.0,0.015013744977796506,below_price_wall,,,,,,,,,,,,,,,,,,
2026-08-03,COMMODITY,COMMODITY,al,al,al,SHFE,2611,,,,,,,23605.0,,,24200.0,23600.0,,,23600.0,,,961.0,658.0,1063820.0,,,,,,,,-0.00021181952976068175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,al2611,23605.0,21090.0,53516.0,172.0,2480419700.0,5.999999999999999e-06,23600.0,23600.0,0.025206524041516687,-0.00021181952976068175,-0.00021181952976068175,-0.00021181952976068175,270.0,691.0,-0.4380853277835588,600.0,0.02541834357127727,put_oi_wall,23600.0,-0.00021181952976068175,near_price_wall,,,,,,,,,,,,,,,,,,
2026-08-03,COMMODITY,COMMODITY,al,al,al,SHFE,2612,,,,,,,23570.0,,,27800.0,21000.0,,,26600.0,,,1703.0,165.0,95125.0,,,,,,,,0.1285532456512517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,al2612,23570.0,7615.0,50923.0,722.0,893628150.0,1.3e-05,26600.0,26600.0,0.17946542214679684,-0.10903691132795923,0.1285532456512517,0.1285532456512517,909.0,794.0,0.06752789195537287,6800.0,0.28850233347475607,put_oi_wall,21000.0,-0.10903691132795923,below_price_wall,,,,,,,,,,,,,,,,,,
2026-08-03,COMMODITY,COMMODITY,al,al,al,SHFE,2701,,,,,,,23540.0,,,26200.0,21200.0,,,21200.0,,,126.0,36.0,25495.0,,,,,,,,-0.0994052676295667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,al2701,23540.0,4195.0,20240.0,86.0,491981950.0,1.7e-05,21200.0,21200.0,0.112999150382328,-0.0994052676295667,-0.0994052676295667,-0.0994052676295667,20.0,106.0,-0.6825396825396826,5000.0,0.21240441801189464,put_oi_wall,21200.0,-0.0994052676295667,above_price_wall,,,,,,,,,,,,,,,,,,
2026-08-03,COMMODITY,COMMODITY,ao,ao,ao,SHFE,2609,,,,,,,2633.0,,,3000.0,2650.0,,,2800.0,,,121894.0,60753.0,27744110.0,,,,,,,,0.06342575009494866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ao2609,2633.0,149723.0,227160.0,-15651.0,7887442400.0,-8e-06,2800.0,2650.0,0.13938473224458803,0.0064565134827192505,0.06342575009494866,0.0064565134827192505,88453.0,33441.0,0.4513101547245968,350.0,0.13292821876186858,put_oi_wall,2650.0,0.0064565134827192505,below_price_wall,,,,,,,,,,,,,,,,,,
