trade_date,market_type,asset_class,option_product,underlying,commodity,exchange,contract_month,underlying_price,call_wall,put_wall,call_oi_wall,put_oi_wall,max_gamma_strike,gex_flip,price_wall,net_gex,total_abs_gex,total_oi,total_volume,total_amount,call_gex_total,put_gex_abs_total,gex_ratio,call_gex_share,put_gex_share,call_wall_distance,put_wall_distance,price_wall_distance,gamma_regime,futures_code,futures_price,futures_volume,futures_open_interest,futures_oi_change,futures_amount,futures_pct_change,volume_wall,amount_wall,call_oi_wall_distance,put_oi_wall_distance,volume_wall_distance,amount_wall_distance,call_oi_total,put_oi_total,oi_bias,oi_wall_width,oi_wall_width_ratio,nearest_wall_type,nearest_wall,nearest_wall_distance,commodity_price_state,iv_surface_bias,delta_bias,normalized_net_gex,assumed_dealer_gamma_ratio,vega_risk_ratio,theta_burn_rate,rho_risk_ratio,atm_iv,call_25_delta_iv,put_25_delta_iv,option_market_value,total_time_value
2026-07-29,ETF,,,上证50ETF华夏,,,12月,3.023,3.0,2.7,3.5,2.7,3.0,3.1,3.0,24786694.025555845,87200315.72302285,103363.0,61553.0,,55993504.87428935,31206810.848733503,1.7942719346011542,0.6421250245485728,0.3578749754514272,-0.007608336089976908,-0.10684750248097918,-0.007608336089976908,Positive Gamma,,,,,,,,,,,,,,,,,,,,,,,0.32749219947409586,0.16382093882306414,0.2842500490971457,0.2842500490971457,0.055838520960508606,,0.0026319919111497414,0.2271809836065574,0.157,0.2314,113301640.0,
2026-07-29,ETF,,,上证50ETF华夏,,,3月,3.023,3.1,2.85,3.5,2.85,2.85,3.2,3.1,1851594.28034716,6509207.885472201,8431.0,3303.0,,4180401.08290968,2328806.80256252,1.7950828202278284,0.6422288481890173,0.3577711518109826,0.025471386040357258,-0.05722791928547799,0.025471386040357258,Positive Gamma,,,,,,,,,,,,,,,,,,,,,,,0.36018518518518533,0.15664550751958994,0.28445769637803464,0.28445769637803464,0.06732319373495947,,0.0029892707697573373,0.2351568123393316,0.1479,0.23260000000000003,10564784.0,
2026-07-29,ETF,,,上证50ETF华夏,,,8月,3.023,3.1,3.0,3.1,3.0,3.1,3.1,3.0,417777638.3149268,1253772186.670605,771078.0,520022.0,,835774912.4927661,417997274.1778391,1.9994745519253827,0.6666082733197076,0.3333917266802926,0.025471386040357258,-0.007608336089976908,-0.007608336089976908,Positive Gamma,,,,,,,,,,,,,,,,,,,,,,,0.24875152743889276,0.25193860173665483,0.33321654663941475,0.33321654663941475,0.05174765711580309,,0.003943870447403608,0.1957776923076923,0.1659,0.2146,358630188.0,
2026-07-29,ETF,,,上证50ETF华夏,,,9月,3.023,3.1,3.0,3.6,2.65,3.1,3.2,3.0,102852986.04337572,440157916.9459287,490889.0,89773.0,,271505451.4946522,168652465.45127654,1.6098516601471786,0.616836460374301,0.38316353962569916,0.025471386040357258,-0.007608336089976908,-0.007608336089976908,Positive Gamma,,,,,,,,,,,,,,,,,,,,,,,0.2818389561884168,0.10625555085075337,0.23367292074860188,0.23367292074860188,0.04983197399011547,,0.0007227584621994617,0.1969209677419355,0.1722,0.22769999999999999,281100825.0,
2026-07-29,ETF,,,中证500ETF南方,,,12月,7.54,7.613,7.122,9.823,6.876,7.613,8.0,7.613,36597308.442916006,152614730.13909203,116156.0,101419.0,,94606019.291004,58008710.848087996,1.6308933246035457,0.6199009702718782,0.3800990297281216,0.009681697612732076,-0.05543766578249343,0.009681697612732076,Positive Gamma,,,,,,,,,,,,,,,,,,,,,,,-0.668866530517529,-0.11841102409585873,0.23980194054375661,0.23980194054375661,0.02751740458315118,,-0.00659552469500004,0.3274195822454308,0.2191,0.0001,631306559.0,
2026-07-29,ETF,,,中证500ETF南方,,,3月,7.54,8.0,6.5,6.75,6.5,7.75,6.75,7.75,7590668.153068001,21726511.494428,18421.0,9150.0,,14658589.823748,7067921.6706799995,2.073960423833858,0.6746867681683437,0.32531323183165617,0.0610079575596818,-0.13793103448275867,0.027851458885941538,Positive Gamma,,,,,,,,,,,,,,,,,,,,,,,0.45650692493676015,0.28107019712257136,0.3493735363366875,0.3493735363366875,0.031226676519943562,,0.0014209757789295596,0.36845005149330584,0.1948,0.363,126298423.0,
2026-07-29,ETF,,,中证500ETF南方,,,8月,7.54,7.75,7.5,7.75,7.0,7.5,8.25,7.5,232428982.45928395,1742662278.234228,797119.0,1451202.0,,987545630.3467559,755116647.8874722,1.3078054008073206,0.5666879019998055,0.4333120980001946,0.027851458885941538,-0.0053050397877983935,-0.0053050397877983935,Positive Gamma,,,,,,,,,,,,,,,,,,,,,,,0.1631800143032911,-0.10975815380797942,0.13337580399961102,0.13337580399961102,0.025851502069092164,,-0.001719459270754033,0.32847159763313616,0.30879999999999996,0.3624,1798785265.0,
2026-07-29,ETF,,,中证500ETF南方,,,9月,7.54,7.5,6.631,9.823,6.385,6.631,,7.5,-123850096.87715603,674342992.411868,477347.0,120550.0,,275246447.767356,399096544.644512,0.6896738432364198,0.40816980507635187,0.5918301949236481,-0.0053050397877983935,-0.12055702917771882,-0.0053050397877983935,Negative Gamma,,,,,,,,,,,,,,,,,,,,,,,0.2522009080098728,-0.3163808941687897,-0.18366038984729627,-0.18366038984729627,0.03316118900426801,,-0.005750118387116418,0.3160178947368421,0.2797,0.3594,1081084698.0,
2026-07-29,ETF,,,中证500ETF嘉实,,,12月,3.055,3.0,2.9,3.0,2.9,3.0,2.95,3.0,13026107.285691502,37854850.56999101,63751.0,15010.0,,25440478.927841254,12414371.64214975,2.0492764081159587,0.6720533444136456,0.32794665558635433,-0.018003273322422353,-0.05073649754500831,-0.018003273322422353,Positive Gamma,,,,,,,,,,,,,,,,,,,,,,,0.3632113169024353,0.11720037840603464,0.3441066888272913,0.3441066888272913,0.03566798757801389,,-0.0018052411463159055,0.33286407766990295,0.2257,0.34659999999999996,112090288.0,
2026-07-29,ETF,,,中证500ETF嘉实,,,3月,3.055,3.1,3.1,3.1,3.1,3.1,,3.1,3622012.7002702504,7376264.005132751,11914.0,3780.0,,5499138.3527015,1877125.6524312503,2.9295526091069206,0.7455181035921358,0.2544818964078642,0.014729950900163713,0.014729950900163713,0.014729950900163713,Positive Gamma,,,,,,,,,,,,,,,,,,,,,,,0.44783324251281126,0.24171283819671602,0.4910362071842716,0.4910362071842716,0.04195850838223835,,0.0023624259775936124,0.3688873096446701,0.1954,0.36060000000000003,26132459.0,
