underlying,contract_month,iv_surface_bias,delta_bias,normalized_net_gex,assumed_dealer_gamma_ratio,vega_risk_ratio,theta_burn_rate,rho_risk_ratio,atm_iv,call_25_delta_iv,put_25_delta_iv,option_market_value,total_time_value,trade_date
上证50ETF华夏,12月,0.2751344018489674,0.1170568887876092,0.2613940747413731,0.2613940747413731,0.05523613818056182,0.006344422582488763,0.0005342873266583149,0.22861554054054053,0.1636,0.22649999999999998,120526909.0,72545609.0,2026-08-03
上证50ETF华夏,3月,0.299358815512328,0.08477460858080547,0.20461055029651654,0.20461055029651654,0.06458388636186728,0.003075927154691087,-0.00161060537414002,0.23850976253298156,0.1577,0.2291,12525725.0,10813325.0,2026-08-03
上证50ETF华夏,8月,0.1430497659792306,0.11456248175378418,0.25933943342133386,0.25933943342133386,0.051535930395981845,0.03780998914825515,0.0014434201101408404,0.18385210084033612,0.18030000000000002,0.2066,335604303.0,186000503.0,2026-08-03
上证50ETF华夏,9月,0.20248438441208866,0.008011062778036001,0.16687114806718564,0.16687114806718564,0.04741720687148223,0.020480451958493556,-0.0011636277345283366,0.20939886363636367,0.1769,0.2193,284769768.0,134845657.0,2026-08-03
中证500ETF南方,12月,-0.7071483474250578,-0.1277273524435314,0.2302987979479771,0.2302987979479771,0.02736771375550277,0.006138771602582971,-0.006560685563507398,0.32525,0.23010000000000003,0.0001,670025862.0,302847234.0,2026-08-03
中证500ETF南方,3月,0.39932036825625716,0.27856396879198286,0.3208331210786412,0.3208331210786412,0.0310589268632401,0.004442943407723842,0.0016703976493226747,0.3483418604651163,0.2109,0.35,141230443.0,67046994.0,2026-08-03
中证500ETF南方,8月,0.12391527774216002,-0.22299832655623592,0.07941829937744624,0.07941829937744624,0.0229585728276762,0.038466263219774345,-0.0022660306412734567,0.3357132450331126,0.31670000000000004,0.3583,1760456336.0,731612526.0,2026-08-03
中证500ETF南方,9月,-0.9243158330594247,-0.39179394331943246,-0.23142722190124357,-0.23142722190124357,0.031104018871748528,0.019517445925431864,-0.006241867067196412,0.31515201793721975,0.2914,0.0001,1117830919.0,563314485.0,2026-08-03
中证500ETF嘉实,12月,0.33921071887547716,0.05454990197440066,0.29840702944494246,0.29840702944494246,0.038295310650737824,0.005500382829870224,-0.0037359009685849973,0.32634581939799334,0.23070000000000002,0.3414,99968924.0,70443824.0,2026-08-03
中证500ETF嘉实,3月,0.4469493376598068,0.21470198316897576,0.42426663255036784,0.42426663255036784,0.0393056962757599,0.0029194022481209753,0.0015196139527485408,0.3456767624020887,0.2027,0.35719999999999996,30440626.0,24773222.0,2026-08-03
中证500ETF嘉实,8月,0.12759653409915855,0.017237776453181884,0.31468435837364417,0.31468435837364417,0.028719078200219555,0.03865877806786224,-0.0006616534277544644,0.33308114754098367,0.32,0.3625,109235435.0,56618758.0,2026-08-03
中证500ETF嘉实,9月,0.1938088829071332,-0.18199301015396535,0.14018779344486326,0.14018779344486326,0.026516169893903138,0.019377905159682886,-0.003815356227785183,0.315775,0.2953,0.3565,145172814.0,62873050.0,2026-08-03
创业板ETF易方达,12月,0.16583991671259718,-0.06300419878215031,0.1798946075930371,0.1798946075930371,0.030968913555650252,0.005842447658317565,-0.0064490791184174745,0.408225,0.3788,0.4465,272915709.0,203556124.0,2026-08-03
创业板ETF易方达,3月,0.2571173241414527,0.1498567909485539,0.1867794888762328,0.1867794888762328,0.027974833345961167,0.002915065762604676,-0.002517306680351185,0.39165,0.34130000000000005,0.442,53954888.0,41972638.0,2026-08-03
创业板ETF易方达,8月,0.08579710144927527,-0.17996005189759356,0.1314790999528995,0.1314790999528995,0.01739804940740556,0.03970402805752069,-0.001681555599604342,0.474375,0.4645,0.5052,1525909105.0,670734389.0,2026-08-03
