underlying,contract_month,iv_surface_bias,delta_bias,normalized_net_gex,assumed_dealer_gamma_ratio,vega_risk_ratio,theta_burn_rate,rho_risk_ratio,atm_iv,call_25_delta_iv,put_25_delta_iv,option_market_value,total_time_value,trade_date
上证50ETF华夏,12月,0.3724538394801723,0.15340330561521848,0.3455934447418081,0.3455934447418081,0.0595826188255819,0.007645634510175232,0.0022183166200945457,0.2201615107913669,0.1295,0.2115,140085954.0,79185318.0,2026-08-19
上证50ETF华夏,3月,0.39305834442349197,0.14666098995326682,0.2970665997276842,0.2970665997276842,0.07286916403595585,0.0038200322636880563,0.00276779369150802,0.23177220708446866,0.1263,0.21739999999999998,20099764.0,16554834.0,2026-08-19
上证50ETF华夏,8月,0.03615935160142965,0.09234769748917486,0.2815986802842809,0.2815986802842809,0.0371756869240271,0.11080508760168671,0.0005781067649669398,0.18252539682539684,0.1741,0.1807,154590822.0,56750905.0,2026-08-19
上证50ETF华夏,9月,0.3111957608101227,-0.02655851605947993,0.12614354048733203,0.12614354048733203,0.05258916528114502,0.02646855420389815,-0.001522993813499938,0.18412847222222223,0.1281,0.18539999999999998,336419620.0,161493256.0,2026-08-19
中证500ETF南方,12月,0.45415701368159767,0.02317323861224192,0.2780742249062748,0.2780742249062748,0.03192130173143594,0.007366660100795054,-0.0031554511300714238,0.32455735694822896,0.1973,0.3447,719367186.0,331654368.0,2026-08-19
中证500ETF南方,3月,0.5184696014043516,0.28813456517137337,0.37815739779542146,0.37815739779542146,0.030650889705964787,0.0038135280046423248,0.0023118983630686036,0.3365674661105318,0.1807,0.3552,306571003.0,137682744.0,2026-08-19
中证500ETF南方,8月,0.2001603071933193,-0.10935906235706808,0.06342575204400597,0.06342575204400597,0.017929732861154603,0.12208047182798518,-0.0005514265809213946,0.29476373626373625,0.2738,0.3328,973893930.0,276769679.0,2026-08-19
中证500ETF南方,9月,0.3223045272747162,-0.16945085374934818,0.04858215665211729,0.04858215665211729,0.0333621420436801,0.027283733161597233,-0.0029068385821903824,0.32112487179487176,0.2455,0.349,1130077198.0,596887893.0,2026-08-19
中证500ETF嘉实,12月,0.4416743613419515,0.19212932691351908,0.31404786258783285,0.31404786258783285,0.03683800304028071,0.007860618023830772,0.0008626371414966097,0.3249,0.2014,0.34490000000000004,106267161.0,55311427.0,2026-08-19
中证500ETF嘉实,3月,0.5289407571885257,0.24483696814753883,0.33319421887162964,0.33319421887162964,0.04414968277656705,0.0036654634128750335,0.0025249084974600282,0.33122802056555267,0.1797,0.3549,40562262.0,30447719.0,2026-08-19
中证500ETF嘉实,8月,0.0984853922905751,-0.1546312172674333,0.029221295809918828,0.029221295809918828,0.01710387215521019,0.13115134001177084,-0.0007579738955521919,0.2985214285714286,0.2865,0.3159,80621510.0,20566088.0,2026-08-19
中证500ETF嘉实,9月,0.2911455607006243,0.0054335012045733395,0.25706652014836257,0.25706652014836257,0.0266322509328862,0.03084215337983819,-0.0008494906822326775,0.3183974358974359,0.2547,0.34740000000000004,131955538.0,50679438.0,2026-08-19
创业板ETF易方达,12月,0.27054634489822044,-0.022539532034728547,0.21273867369638305,0.21273867369638305,0.03336991106938667,0.007122393628745244,-0.003970568074072241,0.38218960244648315,0.2994,0.4028,316945076.0,201963985.0,2026-08-19
创业板ETF易方达,3月,0.3752031148143643,0.23225089355495898,0.2452195092497755,0.2452195092497755,0.03368968754117121,0.0033169236241951208,0.001254111596150829,0.33954941995359633,0.27449999999999997,0.4019,65617765.0,50207065.0,2026-08-19
创业板ETF易方达,8月,0.17682999733283467,-0.26707612387585616,0.005770601455404261,0.005770601455404261,0.014791147284535934,0.12217523764713588,-0.0010872835924094584,0.40773624999999997,0.3972,0.4693,795124663.0,256123537.0,2026-08-19
创业板ETF易方达,9月,0.18501244532514924,-0.15140556383279463,-0.02605377826194523,-0.02605377826194523,0.025473073433836126,0.027269864412102326,-0.002368407660180585,0.3805149425287357,0.3575,0.4279,858496210.0,444469610.0,2026-08-19
沪深300ETF华泰柏瑞,12月,0.3819782928831116,0.09019232475801246,0.37796239357669037,0.37796239357669037,0.049116363574443433,0.007716230324412341,-0.0006771957919010008,0.23168855835240276,0.1462,0.2347,246534314.0,125739637.0,2026-08-19
沪深300ETF华泰柏瑞,3月,0.4205607476635515,0.25275513250109033,0.41805963191130197,0.41805963191130197,0.06057347107566294,0.0036709881652553515,0.007591988239128845,0.2461,0.1425,0.24600000000000002,56373375.0,41964995.0,2026-08-19
沪深300ETF华泰柏瑞,8月,0.11033358453422756,-0.09239692614997895,0.2113198194125144,0.2113198194125144,0.026798618434791296,0.13359307299145368,-0.0009710671068968749,0.19123823529411768,0.1906,0.21170000000000003,272363257.0,70372773.0,2026-08-19
沪深300ETF华泰柏瑞,9月,0.32583732057416287,-0.1498524001885288,0.104743381017178,0.104743381017178,0.0410486634336362,0.027897635034357486,-0.0031065985669827376,0.20899999999999994,0.1508,0.2189,466171914.0,191574411.0,2026-08-19
沪深300ETF嘉实,12月,0.4297162862441288,0.10653517046237249,0.4190611056716683,0.4190611056716683,0.05049095431475578,0.008608260987990654,-0.00048792976071869264,0.19105629139072852,0.1519,0.23399999999999999,48486487.0,23448987.0,2026-08-19
沪深300ETF嘉实,3月,0.4392177201868503,0.21537849605621343,0.3906262762630261,0.3906262762630261,0.05583789295097301,0.004663606818335157,0.004110155773782046,0.24498100840336137,0.1449,0.2525,17115653.0,10212053.0,2026-08-19
沪深300ETF嘉实,8月,0.18008907641819039,-0.07907752006772148,0.15204075250071813,0.15204075250071813,0.023059908589678147,0.13300495001329726,-0.0005244503051516449,0.1993457943925234,0.1928,0.22870000000000001,51305147.0,11539969.0,2026-08-19
沪深300ETF嘉实,9月,0.28531129790568455,-0.0515109302154889,0.22240776110995533,0.22240776110995533,0.03140828736799453,0.03278889479218101,-0.001678502889064362,0.20644117647058827,0.15839999999999999,0.2173,99470785.0,28242245.0,2026-08-19
深证100ETF易方达,12月,0.2792424209017749,0.07263068861610379,0.3438008196060167,0.3438008196060167,0.07036046481976758,0.0071192992338668755,-0.004052497973751013,0.334476401179941,0.22719999999999999,0.3206,8000004.0,8602813.0,2026-08-19
深证100ETF易方达,3月,0.3505987803982074,0.03638888740687419,0.10635693648964804,0.10635693648964804,0.05612737007097613,0.003162368106535684,-0.0066924990409599665,0.340275,0.2267,0.34600000000000003,2093239.0,2438995.0,2026-08-19
