trade_date,underlying,contract_month,underlying_price,strike,distance_to_spot,strike_side,wall_tags,call_gex,put_gex,net_gex,total_abs_gex,gex_share,call_oi,put_oi,total_oi,oi_share,call_volume,put_volume,total_volume,volume_share,avg_iv,avg_delta,avg_gamma
2026-08-18,上证50ETF华夏,12月,3.047,2.7,-0.11388250738431238,below_spot,"put_wall,put_oi_wall",1271997.1660426802,-7507367.000742841,-6235369.834700161,8779364.166785521,0.05887089486705812,2532.0,15211.0,17743.0,0.11829455297019802,148.0,15846.0,15994.0,0.2083175951131198,0.1013,0.37335,0.53635
2026-08-18,上证50ETF华夏,12月,3.047,2.85,-0.06465375779455207,below_spot,,953702.4510016302,-3944725.22601696,-2991022.77501533,4898427.67701859,0.03284689133623612,1327.0,5152.0,6479.0,0.043196213080872056,199.0,844.0,1043.0,0.013584797530510439,0.1013,0.26305,0.7994
2026-08-18,上证50ETF华夏,12月,3.047,2.9,-0.04824417459796526,below_spot,,1790794.8655949002,-3774309.48477,-1983514.6191750998,5565104.3503649,0.03731735771640689,2299.0,4517.0,6816.0,0.045443029535302354,499.0,1437.0,1936.0,0.02521588496554958,0.10284999999999998,0.21745000000000003,0.8694999999999999
2026-08-18,上证50ETF华夏,12月,3.047,2.95,-0.03183459140137834,below_spot,,1805311.09773476,-1971185.0039389203,-165873.9062041603,3776496.1016736804,0.025323668177314993,2177.0,2226.0,4403.0,0.02935529035269018,731.0,1089.0,1820.0,0.023705015825051773,0.10479999999999999,0.16945000000000002,0.9235
2026-08-18,上证50ETF华夏,12月,3.047,3.0,-0.015425008204791646,below_spot,"call_wall,price_wall,max_gamma,gamma_flip",26209452.821504813,-4946902.94610193,21262549.875402883,31156355.767606743,0.20892202555791825,12473.0,5461.0,17934.0,0.11956797119807987,1909.0,1292.0,3201.0,0.041692173437357545,0.1455,0.19400000000000003,1.6195
2026-08-18,上证50ETF华夏,12月,3.047,3.1,0.01739415818838208,above_spot,,22188267.863636713,-3619726.4764991,18568541.387137614,25807994.340135813,0.1730580589509887,11107.0,4117.0,15224.0,0.10150010000666711,2837.0,650.0,3487.0,0.045417247352722824,0.16795,0.012899999999999967,1.54935
2026-08-18,上证50ETF华夏,12月,3.047,3.2,0.050213324581555696,above_spot,,19449181.662571654,-2638294.13574045,16810887.526831202,22087475.798312105,0.14810975383849673,12445.0,3357.0,15802.0,0.1053536902460164,3375.0,97.0,3472.0,0.04522187634317569,0.1891,-0.11179999999999998,1.2649
2026-08-18,上证50ETF华夏,12月,3.047,3.3,0.08303249097472909,above_spot,,10891875.25696424,-2136385.06225386,8755490.194710381,13028260.3192181,0.08736228831411809,9541.0,3138.0,12679.0,0.0845323021534769,3409.0,42.0,3451.0,0.04494835692980971,0.2117,-0.19574999999999998,0.9814499999999999
2026-08-18,上证50ETF华夏,12月,3.047,3.4,0.1158516573679027,above_spot,,6663992.24044554,-1263730.3206649001,5400261.91978064,7927722.561110441,0.05316012783659475,8151.0,2110.0,10261.0,0.06841122741516101,6430.0,66.0,6496.0,0.0846086718678771,0.23099999999999998,-0.25445,0.76285
2026-08-18,上证50ETF华夏,12月,3.047,3.5,0.14867082376107632,above_spot,call_oi_wall,12072089.104201281,-905109.6438323501,11166979.460368931,12977198.748033632,0.0870198898975767,20419.0,1727.0,22146.0,0.1476498433228882,31352.0,282.0,31634.0,0.41202443440092734,0.25375,-0.2912,0.60065
