underlying,contract_month,iv_surface_bias,delta_bias,normalized_net_gex,assumed_dealer_gamma_ratio,vega_risk_ratio,theta_burn_rate,rho_risk_ratio,atm_iv,call_25_delta_iv,put_25_delta_iv,option_market_value,total_time_value,trade_date
上证50ETF华夏,12月,0.2884942026648184,0.2056558409098304,0.33063532636979837,0.33063532636979837,0.06223171392661778,0.0074181897608364255,0.004941926437091058,0.2045101754385965,0.142,0.201,125057507.0,69699619.0,2026-08-14
上证50ETF华夏,3月,0.30502992542108565,0.13345545487530192,0.22607228348791425,0.22607228348791425,0.0750950860298724,0.003677397291181468,0.002147098587269741,0.2216176,0.139,0.2066,15178623.0,12254863.0,2026-08-14
上证50ETF华夏,8月,0.09364843276593421,0.17733895434152278,0.259535567035586,0.259535567035586,0.047017025345370354,0.09412429708930821,0.002010462647137765,0.145224,0.13949999999999999,0.1531,178125667.0,54308464.0,2026-08-14
上证50ETF华夏,9月,0.3133792252102427,0.024352222800585164,0.13729083622259047,0.13729083622259047,0.05256397949844447,0.02650570256216956,-0.0005413710102341137,0.15348815789473685,0.12539999999999998,0.17350000000000002,253179423.0,100579526.0,2026-08-14
中证500ETF南方,12月,0.43778742773985707,0.14338390486118516,0.31784125503987937,0.31784125503987937,0.03340256380042784,0.007491173462502674,-0.000516161987049615,0.3085972584856397,0.1868,0.32189999999999996,661418331.0,294254967.0,2026-08-14
中证500ETF南方,3月,0.4926950651941101,0.3904934564259751,0.40519888873659243,0.40519888873659243,0.03168608062405476,0.003486780677473788,0.006417896837954078,0.3454469346733669,0.1671,0.3373,251366147.0,115401867.0,2026-08-14
中证500ETF南方,8月,0.27467258097254565,0.18885333705158194,0.17273984012456922,0.17273984012456922,0.024831277373179375,0.07011540446285823,0.0008015447362513715,0.2275436440677966,0.19760000000000003,0.2601,1028872080.0,318453629.0,2026-08-14
中证500ETF南方,9月,0.3942425636307883,0.0447338744839414,0.13368389699533134,0.13368389699533134,0.03717264002658948,0.025517668168898493,-0.0005603601278543339,0.24553411764705885,0.20329999999999998,0.30010000000000003,769988760.0,365497072.0,2026-08-14
中证500ETF嘉实,12月,0.4057274937712004,0.3127990329861179,0.2990597678848458,0.2990597678848458,0.03764213814655758,0.007707335581278995,0.004764097712273847,0.32238387096774196,0.1877,0.3185,98972991.0,45928453.0,2026-08-14
中证500ETF嘉实,3月,0.39445879314393045,0.3232163755770146,0.319321395999366,0.319321395999366,0.054305204796983655,0.003918067020318485,0.007339776016991586,0.4259,0.17170000000000002,0.3397,29635373.0,25018204.0,2026-08-14
