trade_date,underlying,contract_month,underlying_price,strike,distance_to_spot,strike_side,wall_tags,call_gex,put_gex,net_gex,total_abs_gex,gex_share,call_oi,put_oi,total_oi,oi_share,call_volume,put_volume,total_volume,volume_share,avg_iv,avg_delta,avg_gamma
2026-08-17,上证50ETF华夏,12月,3.052,2.7,-0.11533420707732633,below_spot,"put_wall,put_oi_wall",1222126.51676304,-7113607.40221824,-5891480.8854552,8335733.91898128,0.05792093175084067,2463.0,14619.0,17082.0,0.11760332114753083,599.0,12646.0,13245.0,0.06409977205743572,0.10149999999999999,0.37515,0.52755
2026-08-17,上证50ETF华夏,12月,3.052,2.85,-0.06618610747051112,below_spot,,926559.6880512001,-3758112.52507488,-2831552.83702368,4684672.21312608,0.0325514924263197,1302.0,4962.0,6264.0,0.04312534853460561,207.0,1724.0,1931.0,0.009345161181042535,0.1012,0.2667,0.7885500000000001
2026-08-17,上证50ETF华夏,12月,3.052,2.9,-0.04980340760157276,below_spot,,1779895.5564879999,-4006310.4512121608,-2226414.894724161,5786206.00770016,0.04020551117942395,2305.0,4837.0,7142.0,0.04917005734900276,281.0,4014.0,4295.0,0.020785845299108072,0.1027,0.22159999999999996,0.8591
2026-08-17,上证50ETF华夏,12月,3.052,2.95,-0.03342070773263428,below_spot,,1759874.1591222403,-2078676.4238150404,-318802.2646928001,3838550.5829372806,0.0266722076900976,2138.0,2357.0,4495.0,0.030946430661406805,587.0,1316.0,1903.0,0.009209653924144974,0.1043,0.1742,0.91525
2026-08-17,上证50ETF华夏,12月,3.052,3.0,-0.017038007863695914,below_spot,"call_wall,price_wall,max_gamma,gamma_flip",25219051.93827936,-4890201.15688608,20328850.781393282,30109253.09516544,0.20921445076632156,12153.0,5394.0,17547.0,0.12080467604353842,3136.0,1895.0,5031.0,0.024347750337558257,0.1432,0.2067,1.60055
2026-08-17,上证50ETF华夏,12月,3.052,3.1,0.01572739187418093,above_spot,,21282464.468330238,-3625329.46346704,17657135.0048632,24907793.931797277,0.17307205897041703,10552.0,4087.0,14639.0,0.10078415983366724,3066.0,414.0,3480.0,0.016841616214411197,0.1659,0.021100000000000008,1.5588
2026-08-17,上证50ETF华夏,12月,3.052,3.2,0.04849279161205766,above_spot,,17680317.347031362,-2687756.34884736,14992560.998184003,20368073.69587872,0.14152776682910984,11166.0,3349.0,14515.0,0.09993046519473188,3552.0,181.0,3733.0,0.018066021071378446,0.1859,-0.1061,1.28075
2026-08-17,上证50ETF华夏,12月,3.052,3.3,0.0812581913499344,above_spot,,9863726.06693376,-2203789.47870816,7659936.5882256,12067515.545641921,0.0838512542644542,8496.0,3137.0,11633.0,0.08008894947366972,6577.0,19.0,6596.0,0.031921638089154096,0.20675000000000002,-0.19265000000000002,1.0003
2026-08-17,上证50ETF华夏,12月,3.052,3.4,0.11402359108781113,above_spot,,7007696.3301800005,-1267044.16183296,5740652.16834704,8274740.492012961,0.05749711830441607,8375.0,2094.0,10469.0,0.07207523528237327,10005.0,118.0,10123.0,0.048990712913357624,0.22955,-0.25020000000000003,0.7739499999999999
2026-08-17,上证50ETF华夏,12月,3.052,3.5,0.14678899082568808,above_spot,call_oi_wall,12393473.552241603,-769500.2722904,11623973.279951204,13162973.824532002,0.0914630572351565,20410.0,1465.0,21875.0,0.15060137279605648,149636.0,140.0,149776.0,0.7248476753246125,0.25405,-0.2868,0.6079
2026-08-17,上证50ETF华夏,3月,3.052,2.8,-0.0825688073394496,below_spot,"put_wall,put_oi_wall",123343.44742720001,-1321608.2075123203,-1198264.7600851203,1444951.6549395202,0.11043339778027317,220.0,2404.0,2624.0,0.17480514289521018,16.0,743.0,759.0,0.2655703289013296,0.106,0.28309999999999996,0.59605
2026-08-17,上证50ETF华夏,3月,3.052,2.85,-0.06618610747051112,below_spot,,285575.13202512,-989936.9340672002,-704361.8020420801,1275512.0660923203,0.09748362921817415,469.0,1680.0,2149.0,0.14316168143361535,34.0,326.0,360.0,0.12596221133659902,0.10725,0.24860000000000002,0.64315
