exchange,commodity,underlying,contract_month,strike,call_oi,put_oi,total_oi,call_volume,put_volume,total_volume,call_amount,put_amount,total_amount,price_wall_score
CZCE,AP,AP,2610,6400.0,12.0,466.0,478.0,0.0,22.0,22.0,0.0,2090.0,2090.0,0.1243747661732306
CZCE,AP,AP,2610,6500.0,23.0,1025.0,1048.0,0.0,7.0,7.0,0.0,910.0,910.0,0.19875678846248898
CZCE,AP,AP,2610,6600.0,11.0,496.0,507.0,0.0,68.0,68.0,0.0,11220.0,11220.0,0.17212003511618293
CZCE,AP,AP,2610,6700.0,3.0,324.0,327.0,0.0,63.0,63.0,0.0,13230.0,13230.0,0.14144021628877687
CZCE,AP,AP,2610,6800.0,19.0,433.0,452.0,0.0,171.0,171.0,0.0,51300.0,51300.0,0.22719147300968018
CZCE,AP,AP,2610,6900.0,14.0,296.0,310.0,0.0,38.0,38.0,0.0,15200.0,15200.0,0.13785023010793396
CZCE,AP,AP,2610,7000.0,94.0,2921.0,3015.0,0.0,1686.0,1686.0,0.0,927300.0,927300.0,0.65466119026231
CZCE,AP,AP,2610,7100.0,67.0,448.0,515.0,0.0,182.0,182.0,0.0,131040.0,131040.0,0.2649502082478169
CZCE,AP,AP,2610,7200.0,65.0,451.0,516.0,1.0,216.0,217.0,4465.0,204120.0,208585.0,0.2833123247743002
CZCE,AP,AP,2610,7300.0,127.0,594.0,721.0,7.0,64.0,71.0,26390.0,78080.0,104470.0,0.27432383148412764
CZCE,AP,AP,2610,7400.0,102.0,261.0,363.0,9.0,261.0,270.0,28395.0,414990.0,443385.0,0.2804812611266929
CZCE,AP,AP,2610,7500.0,209.0,400.0,609.0,31.0,192.0,223.0,80600.0,389760.0,470360.0,0.3173265239295604
CZCE,AP,AP,2610,7600.0,460.0,331.0,791.0,121.0,67.0,188.0,262570.0,169845.0,432415.0,0.34058138210823224
CZCE,AP,AP,2610,7700.0,432.0,222.0,654.0,145.0,27.0,172.0,246500.0,84375.0,330875.0,0.30889590237556647
CZCE,AP,AP,2610,7800.0,514.0,179.0,693.0,249.0,19.0,268.0,339885.0,71820.0,411705.0,0.3365930641074061
CZCE,AP,AP,2610,7900.0,506.0,98.0,604.0,141.0,10.0,151.0,147345.0,43850.0,191195.0,0.28495900081610176
CZCE,AP,AP,2610,8000.0,5336.0,254.0,5590.0,1866.0,46.0,1912.0,1548780.0,237820.0,1786600.0,0.7387156375398142
CZCE,AP,AP,2610,8100.0,1436.0,88.0,1524.0,140.0,2.0,142.0,86800.0,12440.0,99240.0,0.3834137269518628
CZCE,AP,AP,2610,8200.0,1874.0,45.0,1919.0,236.0,0.0,236.0,110920.0,0.0,110920.0,0.4323857248418947
CZCE,AP,AP,2610,8300.0,1712.0,76.0,1788.0,269.0,0.0,269.0,95495.0,0.0,95495.0,0.42521253233232226
CZCE,AP,AP,2610,8400.0,1387.0,46.0,1433.0,143.0,0.0,143.0,38610.0,0.0,38610.0,0.3477931003647787
CZCE,AP,AP,2610,8500.0,6143.0,33.0,6176.0,1187.0,0.0,1187.0,261140.0,0.0,261140.0,0.6786239803136531
CZCE,AP,AP,2610,8600.0,608.0,82.0,690.0,179.0,0.0,179.0,31325.0,0.0,31325.0,0.25402314328545117
CZCE,AP,AP,2610,8700.0,774.0,26.0,800.0,30.0,0.0,30.0,4350.0,0.0,4350.0,0.19163698862689704
CZCE,AP,AP,2610,8800.0,333.0,28.0,361.0,12.0,0.0,12.0,1320.0,0.0,1320.0,0.09518340637672468
CZCE,AP,AP,2610,8900.0,361.0,35.0,396.0,16.0,0.0,16.0,1520.0,0.0,1520.0,0.10409792976019486
CZCE,AP,AP,2610,9000.0,2633.0,29.0,2662.0,54.0,0.0,54.0,6480.0,0.0,6480.0,0.36253137021664156
CZCE,AP,AP,2610,9100.0,335.0,23.0,358.0,1.0,0.0,1.0,85.0,0.0,85.0,0.08116409053053451
CZCE,AP,AP,2610,9200.0,194.0,9.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04569443736396852
CZCE,AP,AP,2610,9300.0,202.0,29.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051936078023799105
CZCE,AP,AP,2610,9400.0,252.0,18.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06040687606214061
