underlying,contract_month,expiry,expiry_month,expiry_source,expiry_confidence,days_to_expiry,business_days_to_expiry_estimate,month_total_abs_gex,month_net_gex,month_total_oi,month_total_volume,month_rank,month_count,expiry_role,expiry_gex_share,near_gex_ratio,next_gex_ratio,front_month_concentration,next_month_concentration,days_to_near_expiry,roll_progress,roll_shift_score,expiry_pressure,underlying_price,call_wall,put_wall,price_wall,gamma_regime,price_wall_distance,expiry_structure_state,roll_state,expiry_date_quality
创业板ETF易方达,9月,2026-09-23,202609,rule_fourth_wednesday,medium,48.0,34.0,333416281.69173604,2211266.7362160035,601163.0,169518.0,2,4,next,0.23019030689804187,0.7220873061004267,0.23019030689804187,0.7220873061004267,0.23019030689804187,20.0,0.24172605105483252,-0.49189699920238483,0.11509515344902094,3.54,3.9,2.9,3.6,Positive Gamma,0.016949152542372836,normal_expiry_structure,front_month_dominant,rule_estimate
创业板ETF易方达,12月,2026-12-23,202612,rule_fourth_wednesday,medium,139.0,99.0,61569561.992148004,15818145.310908005,127921.0,42615.0,3,4,deferred,0.042507571311871675,0.7220873061004267,0.23019030689804187,0.7220873061004267,0.23019030689804187,20.0,0.24172605105483252,-0.49189699920238483,0.021253785655935838,3.54,4.8,3.2,3.5,Positive Gamma,-0.011299435028248594,low_expiry_influence,front_month_dominant,rule_estimate
创业板ETF易方达,3月,2027-03-24,202703,rule_fourth_wednesday,medium,230.0,164.0,7553334.805380001,1354510.9441080003,17849.0,4570.0,4,4,far,0.005214815689659762,0.7220873061004267,0.23019030689804187,0.7220873061004267,0.23019030689804187,20.0,0.24172605105483252,-0.49189699920238483,0.002607407844829881,3.54,4.0,3.0,3.5,Positive Gamma,-0.011299435028248594,low_expiry_influence,front_month_dominant,rule_estimate
沪深300ETF华泰柏瑞,8月,2026-08-26,202608,rule_fourth_wednesday,medium,20.0,14.0,1643551082.5985668,385891236.3717542,597221.0,440848.0,1,4,near,0.6832298760848181,0.6832298760848181,0.24303148819107573,0.6832298760848181,0.24303148819107573,20.0,0.262378954325776,-0.4401983878937424,0.6832298760848181,4.709,4.8,4.7,4.7,Positive Gamma,-0.001911233807602386,front_month_concentrated,front_month_dominant,rule_estimate
沪深300ETF华泰柏瑞,9月,2026-09-23,202609,rule_fourth_wednesday,medium,48.0,34.0,584627047.9430796,120913464.14345528,431758.0,69151.0,2,4,next,0.24303148819107573,0.6832298760848181,0.24303148819107573,0.6832298760848181,0.24303148819107573,20.0,0.262378954325776,-0.4401983878937424,0.12151574409553786,4.709,5.0,4.5,4.9,Positive Gamma,0.040560628583563574,normal_expiry_structure,front_month_dominant,rule_estimate
沪深300ETF华泰柏瑞,12月,2026-12-23,202612,rule_fourth_wednesday,medium,139.0,99.0,153471145.26368842,64715971.62176034,126809.0,28765.0,3,4,deferred,0.06379848650357757,0.6832298760848181,0.24303148819107573,0.6832298760848181,0.24303148819107573,20.0,0.262378954325776,-0.4401983878937424,0.031899243251788785,4.709,5.0,4.5,4.9,Positive Gamma,0.040560628583563574,low_expiry_influence,front_month_dominant,rule_estimate
沪深300ETF华泰柏瑞,3月,2027-03-24,202703,rule_fourth_wednesday,medium,230.0,164.0,23911634.406576876,10173866.934026357,18927.0,2111.0,4,4,far,0.009940149220528547,0.6832298760848181,0.24303148819107573,0.6832298760848181,0.24303148819107573,20.0,0.262378954325776,-0.4401983878937424,0.004970074610264274,4.709,4.7,4.7,4.7,Positive Gamma,-0.001911233807602386,low_expiry_influence,front_month_dominant,rule_estimate
沪深300ETF嘉实,8月,2026-08-26,202608,rule_fourth_wednesday,medium,20.0,14.0,244995306.35271803,89037279.38012202,111827.0,41855.0,1,4,near,0.5910821291439069,0.5910821291439069,0.3104593087991657,0.5910821291439069,0.3104593087991657,20.0,0.3443649905959947,-0.2806228203447412,0.5910821291439069,4.91,5.0,4.9,5.0,Positive Gamma,0.018329938900203624,near_month_pressure,distributed_expiry,rule_estimate
沪深300ETF嘉实,9月,2026-09-23,202609,rule_fourth_wednesday,medium,48.0,34.0,128681057.53673801,40236442.043776,103276.0,17787.0,2,4,next,0.3104593087991657,0.5910821291439069,0.3104593087991657,0.5910821291439069,0.3104593087991657,20.0,0.3443649905959947,-0.2806228203447412,0.15522965439958286,4.91,5.0,5.0,5.0,Positive Gamma,0.018329938900203624,normal_expiry_structure,distributed_expiry,rule_estimate
沪深300ETF嘉实,12月,2026-12-23,202612,rule_fourth_wednesday,medium,139.0,99.0,34707950.613405004,16129967.652959,30437.0,7305.0,3,4,deferred,0.083737315837624,0.5910821291439069,0.3104593087991657,0.5910821291439069,0.3104593087991657,20.0,0.3443649905959947,-0.2806228203447412,0.041868657918812,4.91,5.25,4.6,5.0,Positive Gamma,0.018329938900203624,low_expiry_influence,distributed_expiry,rule_estimate
