trade_date,underlying,contract_month,wall_type,strike,underlying_price,distance_to_spot,metric_value,metric_concentration,oi_rank,volume_rank,proximity_score,confidence_score,confidence_label
2026-07-22,上证50ETF华夏,12月,call_wall,3.0,3.086,-0.027867790019442618,10900715.241820801,0.2401287820979468,1.0,0.5833333333333334,0.7213220998055738,0.5537562669149122,medium
2026-07-22,上证50ETF华夏,12月,put_wall,2.8,3.086,-0.09267660401814648,4710008.8158704005,0.188908107841106,0.8333333333333334,0.9166666666666666,0.0732339598185352,0.4418270758346113,low
2026-07-22,上证50ETF华夏,12月,price_wall,3.0,3.086,-0.027867790019442618,12976541.96265372,0.1845143467976054,1.0,0.5833333333333334,0.7213220998055738,0.5287297710297585,medium
2026-07-22,上证50ETF华夏,7月,call_wall,3.1,3.086,0.004536616979909258,227270050.0773642,0.8175649602706331,0.5,1.0,0.9546338302009074,0.7860993066519211,high
2026-07-22,上证50ETF华夏,7月,put_wall,3.1,3.086,0.004536616979909258,39024456.15120472,0.5027006328637857,0.5,1.0,0.9546338302009074,0.6444103593188397,medium
2026-07-22,上证50ETF华夏,7月,price_wall,3.1,3.086,0.004536616979909258,266294506.2285689,0.7488308364871515,0.5,1.0,0.9546338302009074,0.7551689509493543,high
2026-07-22,上证50ETF华夏,8月,call_wall,3.1,3.086,0.004536616979909258,241868574.18192384,0.39885490097577353,1.0,1.0,0.9546338302009074,0.7226797799692343,high
2026-07-22,上证50ETF华夏,8月,put_wall,3.0,3.086,-0.027867790019442618,103214594.418188,0.3310356471453431,0.9090909090909091,0.9090909090909091,0.7213220998055738,0.6208007198226041,medium
2026-07-22,上证50ETF华夏,8月,price_wall,3.1,3.086,0.004536616979909258,312330423.64319205,0.3401549571449667,1.0,1.0,0.9546338302009074,0.6962648052453712,medium
2026-07-22,上证50ETF华夏,9月,call_wall,3.2,3.086,0.036941023979261356,58819289.7650656,0.2150237812290672,0.9285714285714286,0.6428571428571429,0.6305897602073864,0.5199205941556168,medium
2026-07-22,上证50ETF华夏,9月,put_wall,3.1,3.086,0.004536616979909258,18855520.686313443,0.1504087072691224,0.8571428571428571,0.7142857142857143,0.9546338302009074,0.5323075642298126,medium
2026-07-22,上证50ETF华夏,9月,price_wall,3.2,3.086,0.036941023979261356,71336025.97906612,0.17882749034738488,0.9285714285714286,0.6428571428571429,0.6305897602073864,0.5036322632588597,medium
2026-07-22,中证500ETF南方,12月,call_wall,8.35,7.74,0.07881136950904377,7665747.141276001,0.10010015373208299,0.8461538461538461,0.25,0.21188630490956228,0.3258664764543332,low
2026-07-22,中证500ETF南方,12月,put_wall,7.613,7.74,-0.01640826873385015,5324316.705648,0.10503180026653293,0.9615384615384616,0.5416666666666666,0.8359173126614985,0.49428652240378,medium
2026-07-22,中证500ETF南方,12月,price_wall,7.613,7.74,-0.01640826873385015,11641125.615876,0.09146564842529462,0.9615384615384616,0.5416666666666666,0.8359173126614985,0.4881817540752227,medium
2026-07-22,中证500ETF南方,7月,call_wall,8.0,7.74,0.03359173126614978,111779486.88508803,0.4019942591191995,0.8846153846153846,0.9230769230769231,0.6640826873385022,0.6401252043197997,medium
2026-07-22,中证500ETF南方,7月,put_wall,7.5,7.74,-0.03100775193798455,73460734.181172,0.42955186402391526,0.7307692307692307,0.8846153846153846,0.6899224806201545,0.6121713262884004,medium
2026-07-22,中证500ETF南方,7月,price_wall,8.0,7.74,0.03359173126614978,133348573.65931202,0.29693753765906455,0.8846153846153846,0.9230769230769231,0.6640826873385022,0.5928496796627389,medium
2026-07-22,中证500ETF南方,8月,call_wall,7.75,7.74,0.0012919896640826156,97791663.158316,0.14979107334016636,1.0,1.0,0.9870801033591738,0.615467998506951,medium
2026-07-22,中证500ETF南方,8月,put_wall,7.5,7.74,-0.03100775193798455,74188928.43237601,0.13880589045120847,0.96,0.96,0.6899224806201545,0.549951022796067,medium
2026-07-22,中证500ETF南方,8月,price_wall,7.75,7.74,0.0012919896640826156,165477846.863268,0.13936931521648335,1.0,1.0,0.9870801033591738,0.6107782073512936,medium
2026-07-22,中证500ETF南方,9月,call_wall,8.35,7.74,0.07881136950904377,21434576.239944,0.0982834318362612,0.8928571428571429,0.14285714285714285,0.21188630490956228,0.32065334720560906,low
2026-07-22,中证500ETF南方,9月,put_wall,6.631,7.74,-0.14328165374677004,80340488.218764,0.2389119330284515,0.9642857142857143,0.5714285714285714,0.0,0.43429608414851745,low
2026-07-22,中证500ETF南方,9月,price_wall,7.367,7.74,-0.048191214470284294,39234769.86171601,0.07077412759320763,0.8214285714285714,0.35714285714285715,0.5180878552971571,0.36849010714008834,low
2026-07-22,中证500ETF嘉实,12月,call_wall,3.0,3.144,-0.04580152671755733,3867603.81783552,0.18262996683135949,1.0,0.8125,0.5419847328244267,0.5353561949977758,medium
2026-07-22,中证500ETF嘉实,12月,put_wall,2.9,3.144,-0.07760814249363879,1658737.7786880003,0.14629808513828785,0.9375,0.625,0.22391857506361212,0.42754692457177135,low
2026-07-22,中证500ETF嘉实,12月,price_wall,3.0,3.144,-0.04580152671755733,5475426.50755584,0.1683951931114158,1.0,0.8125,0.5419847328244267,0.5289505468238012,medium
2026-07-22,中证500ETF嘉实,7月,call_wall,3.1,3.144,-0.013994910941475869,13919152.645624321,0.4036029415577174,0.5,0.9375,0.8600508905852413,0.5762539572887591,medium
2026-07-22,中证500ETF嘉实,7月,put_wall,3.1,3.144,-0.013994910941475869,11198709.014112001,0.3348607767520821,0.5,0.9375,0.8600508905852413,0.5453199831262231,medium
2026-07-22,中证500ETF嘉实,7月,price_wall,3.2,3.144,0.01781170483460559,22349650.33804608,0.3290094169742735,0.75,1.0,0.8218829516539441,0.6088366803865147,medium
2026-07-22,中证500ETF嘉实,8月,call_wall,3.3,3.144,0.04961832061068683,15091978.8455136,0.20751431236823828,0.9375,0.8125,0.5038167938931317,0.525203959649677,medium
2026-07-22,中证500ETF嘉实,8月,put_wall,3.1,3.144,-0.013994910941475869,4405435.46671104,0.14629965446899534,0.75,0.9375,0.8600508905852413,0.5229674780988341,medium
2026-07-22,中证500ETF嘉实,8月,price_wall,3.3,3.144,0.04961832061068683,18510955.61681088,0.17999793214121143,0.9375,0.8125,0.5038167938931317,0.5128215885475149,medium
2026-07-22,中证500ETF嘉实,9月,call_wall,3.3,3.144,0.04961832061068683,5654846.426486401,0.13831289407831995,0.75,0.8125,0.5038167938931317,0.4471883214192137,low
2026-07-22,中证500ETF嘉实,9月,put_wall,2.8,3.144,-0.10941475826972025,6833252.757542401,0.2378508518064635,0.875,0.75,0.0,0.4382828833129086,low
2026-07-22,中证500ETF嘉实,9月,price_wall,3.3,3.144,0.04961832061068683,8122941.4464864,0.11668613051522346,0.75,0.8125,0.5038167938931317,0.4374562778158203,low
2026-07-22,创业板ETF易方达,12月,call_wall,3.9,3.586,0.08756274400446173,2520102.7709154,0.10578075756417378,0.7777777777777778,0.4444444444444444,0.12437255995538266,0.32736833600829673,low
2026-07-22,创业板ETF易方达,12月,put_wall,3.2,3.586,-0.10764082543223641,3921750.5731535996,0.22720345255056199,1.0,0.8888888888888888,0.0,0.4855748869810862,medium
2026-07-22,创业板ETF易方达,12月,price_wall,3.5,3.586,-0.023982152816508617,3441196.8735429994,0.08375840707775695,0.8333333333333334,0.7222222222222222,0.7601784718349138,0.4683847206268944,medium
2026-07-22,创业板ETF易方达,7月,call_wall,3.6,3.586,0.003904071388733943,222348703.49060416,0.7237338299150313,0.2777777777777778,0.9444444444444444,0.9609592861126606,0.6809352274897743,medium
2026-07-22,创业板ETF易方达,7月,put_wall,3.6,3.586,0.003904071388733943,72112546.42318846,0.3416473659901626,0.2777777777777778,0.9444444444444444,0.9609592861126606,0.5089963187235834,medium
2026-07-22,创业板ETF易方达,7月,price_wall,3.7,3.586,0.031790295593976614,87168125.11028337,0.1681816587958436,1.0,1.0,0.6820970440602339,0.5779963030671648,medium
2026-07-22,创业板ETF易方达,8月,call_wall,3.7,3.586,0.031790295593976614,55015334.1566972,0.15164920634767257,1.0,1.0,0.6820970440602339,0.5705566994654877,medium
2026-07-22,创业板ETF易方达,8月,put_wall,3.5,3.586,-0.023982152816508617,51340908.089623675,0.1772567111029518,0.8888888888888888,0.8888888888888888,0.7601784718349138,0.5493478463271209,medium
