run_id,saved_at,trade_date,data_mode,calc_mode,file_name,output_path,rows,columns,parse_error_count,unavailable_gamma_count
f145904455684355ac32baf34c0684a7,2026-07-21 18:04:36,2026-07-21,上传文件模式,单日模式,wall_features.csv,D:\codex\options\option_wall_publish\daily_data\wall_features_20260721.csv,421,40,0,0
f145904455684355ac32baf34c0684a7,2026-07-21 18:04:36,2026-07-21,上传文件模式,单日模式,spot_price_cleaned.csv,D:\codex\options\option_wall_publish\daily_data\spot_price_cleaned_20260721.csv,9,12,0,0
f145904455684355ac32baf34c0684a7,2026-07-21 18:04:36,2026-07-21,上传文件模式,单日模式,clean_etf_options.csv,D:\codex\options\option_wall_publish\daily_data\clean_etf_options_20260721.csv,1302,35,0,0
f145904455684355ac32baf34c0684a7,2026-07-21 18:04:36,2026-07-21,上传文件模式,单日模式,clean_commodity_options.csv,D:\codex\options\option_wall_publish\daily_data\clean_commodity_options_20260721.csv,24184,30,0,0
f145904455684355ac32baf34c0684a7,2026-07-21 18:04:36,2026-07-21,上传文件模式,单日模式,key_level_table.csv,D:\codex\options\option_wall_publish\daily_data\key_level_table_20260721.csv,421,22,0,0
f145904455684355ac32baf34c0684a7,2026-07-21 18:04:36,2026-07-21,上传文件模式,单日模式,gamma_audit_table.csv,D:\codex\options\option_wall_publish\daily_data\gamma_audit_table_20260721.csv,36,12,0,0
f145904455684355ac32baf34c0684a7,2026-07-21 18:04:36,2026-07-21,上传文件模式,单日模式,key_strike_context.csv,D:\codex\options\option_wall_publish\daily_data\key_strike_context_20260721.csv,335,24,0,0
f145904455684355ac32baf34c0684a7,2026-07-21 18:04:36,2026-07-21,上传文件模式,单日模式,wall_confidence.csv,D:\codex\options\option_wall_publish\daily_data\wall_confidence_20260721.csv,108,14,0,0
f145904455684355ac32baf34c0684a7,2026-07-21 18:04:36,2026-07-21,上传文件模式,单日模式,spot_position_features.csv,D:\codex\options\option_wall_publish\daily_data\spot_position_features_20260721.csv,36,20,0,0
f145904455684355ac32baf34c0684a7,2026-07-21 18:04:36,2026-07-21,上传文件模式,单日模式,expiry_structure.csv,D:\codex\options\option_wall_publish\daily_data\expiry_structure_20260721.csv,36,21,0,0
f145904455684355ac32baf34c0684a7,2026-07-21 18:04:36,2026-07-21,上传文件模式,单日模式,daily_wall_snapshot.csv,D:\codex\options\option_wall_publish\daily_data\daily_wall_snapshot_20260721.csv,421,64,0,0
f145904455684355ac32baf34c0684a7,2026-07-21 18:04:36,2026-07-21,上传文件模式,单日模式,wall_event_log.csv,D:\codex\options\option_wall_publish\daily_data\wall_event_log_20260721.csv,421,32,0,0
f145904455684355ac32baf34c0684a7,2026-07-21 18:04:36,2026-07-21,上传文件模式,单日模式,iv_surface_summary.csv,D:\codex\options\option_wall_publish\daily_data\iv_surface_summary_20260721.csv,36,17,0,0
f145904455684355ac32baf34c0684a7,2026-07-21 18:04:36,2026-07-21,上传文件模式,单日模式,greek_factor_summary.csv,D:\codex\options\option_wall_publish\daily_data\greek_factor_summary_20260721.csv,36,15,0,0
