trade_date,market_type,underlying,contract_month,underlying_price,call_wall,put_wall,price_wall,gex_flip,gamma_regime,net_gex,total_abs_gex,price_wall_distance,future_price_1d,future_price_3d,future_price_5d,future_return_1d,future_return_3d,future_return_5d,touch_call_wall,break_call_wall_1d,call_wall_reject_1d,touch_put_wall,break_put_wall_1d,put_wall_bounce_1d,near_price_wall,price_wall_magnet_1d,gamma_flip_cross_1d,next_abs_return_1d,next_abs_return_3d,next_abs_return_5d,event_quality
2026-07-17,COMMODITY,AP,2610,,,,8000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,AP,2611,,,,9800.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,AP,2701,,,,8800.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,CF,2609,,,,16000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,CF,2611,,,,16400.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,CF,2701,,,,17000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,CF,2703,,,,14800.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,CF,2705,,,,17600.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,CJ,2609,,,,9000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,CJ,2612,,,,10000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,CJ,2701,,,,10000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,CJ,2705,,,,9000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,FG,2609,,,,1000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,FG,2610,,,,1140.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,FG,2611,,,,990.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,FG,2612,,,,1140.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,FG,2701,,,,1480.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,FG,2703,,,,1140.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,FG,2705,,,,1220.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,MA,2609,,,,2400.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,MA,2610,,,,2325.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,MA,2611,,,,3000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,MA,2612,,,,2600.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,MA,2701,,,,3000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,MA,2703,,,,2400.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,MA,2705,,,,2100.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,OI,2609,,,,10000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,OI,2611,,,,10200.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,OI,2701,,,,11200.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,OI,2703,,,,10000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,OI,2705,,,,8600.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,PF,2609,,,,7500.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,PF,2610,,,,7600.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,PF,2611,,,,7800.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,PK,2610,,,,8500.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,PK,2611,,,,8800.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,PK,2612,,,,8600.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,PK,2701,,,,7600.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,PL,2609,,,,7900.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,PL,2610,,,,7200.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,PR,2609,,,,7400.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,PR,2610,,,,7400.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,PR,2611,,,,7100.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,PX,2609,,,,9000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,PX,2610,,,,7500.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,PX,2611,,,,9500.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,PX,2612,,,,6600.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,PX,2701,,,,7800.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,RM,2609,,,,2350.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,RM,2611,,,,2100.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,RM,2701,,,,2200.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,RM,2703,,,,2050.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,RM,2705,,,,2075.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,SA,2609,,,,1100.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,SA,2610,,,,1300.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,SA,2611,,,,1200.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,SA,2612,,,,1260.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-17,COMMODITY,SA,2701,,,,1560.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
