trade_date,market_type,source_file,underlying,name,code,expiry,contract_month,raw_strike,strike,option_type,last_price,bid_price,ask_price,bid_volume,ask_volume,volume,open_interest,oi_change,amount,prev_settle,open_price,high_price,low_price,iv,delta,gamma,vega,theta,rho,theoretical_price,moneyness,leverage,real_leverage,parse_error
2026-07-09,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月3400,90007629,,7月,3400.0,3.4,call,0.6336,0.6275,0.6424,1.0,5.0,617.0,1119.0,-1.0,3209545.0,0.4713,0.4954,0.6425,0.4401,1e-06,0.9552,0.2208,0.0007,-0.0018,0.0012,0.6541,0.001882,6.38,6.09,
2026-07-09,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF沽7月3400,90007631,,7月,3400.0,3.4,put,0.0024,0.0024,0.0025,715.0,9.0,86419.0,55237.0,10861.0,4312587.0,0.0065,0.0054,0.0074,0.0023,0.004357,-0.0186,0.132,0.0004,-0.0006,-0.0,0.0082,-0.001882,1683.33,-31.29,
2026-07-09,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月3500,90007630,,7月,3500.0,3.5,call,0.536,0.54,0.5444,1.0,5.0,1939.0,1736.0,1143.0,8943737.0,0.3728,0.4009,0.5438,0.35,1e-06,0.9227,0.3384,0.0011,-0.0026,0.0012,0.5616,0.0015429999999999999,7.54,6.95,
2026-07-09,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF沽7月3500,90007632,,7月,3500.0,3.5,put,0.0051,0.0049,0.0051,1.0,48.0,58158.0,37045.0,2399.0,5622192.0,0.0139,0.0111,0.0162,0.0048,0.004246000000000001,-0.0369,0.2402,0.0006,-0.0009,-0.0001,0.0156,-0.0015429999999999999,792.16,-29.24,
2026-07-09,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月3600,90007621,,7月,3600.0,3.6,call,0.4427,0.4374,0.4495,5.0,5.0,2800.0,2135.0,426.0,8765045.0,0.2912,0.3089,0.45,0.2633,1e-06,0.8765,0.4769,0.0016,-0.0035,0.0012,0.4736,0.001222,9.13,8.0,
2026-07-09,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF沽7月3600,90007622,,7月,3600.0,3.6,put,0.0097,0.0097,0.0099,27.0,10.0,114951.0,56775.0,14376.0,23065178.0,0.0287,0.022,0.0333,0.0093,0.004084000000000001,-0.0664,0.3988,0.001,-0.0015,-0.0001,0.0274,-0.001222,416.49,-27.65,
2026-07-09,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月3700,90007565,,7月,3700.0,3.7,call,0.3532,0.349,0.3562,5.0,1.0,25922.0,8696.0,1524.0,65346247.0,0.2169,0.24,0.3603,0.1921,0.0030570000000000003,0.9366,0.514,0.001,-0.0015,0.0013,0.3917,0.000919,11.44,10.71,
2026-07-09,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF沽7月3700,90007574,,7月,3700.0,3.7,put,0.02,0.02,0.0202,49.0,3.0,124015.0,67231.0,8716.0,47226087.0,0.0544,0.0399,0.0616,0.019,0.004063000000000001,-0.1217,0.6286,0.0016,-0.0023,-0.0002,0.0453,-0.000919,202.0,-24.59,
2026-07-09,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月3800,90007566,,7月,3800.0,3.8,call,0.2703,0.2675,0.2703,5.0,10.0,86327.0,20949.0,5893.0,156259372.0,0.1531,0.18,0.2771,0.1324,0.0033840000000000003,0.8372,0.9188,0.0019,-0.0027,0.0012,0.3171,0.0006320000000000001,14.95,12.51,
2026-07-09,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF沽7月3800,90007575,,7月,3800.0,3.8,put,0.0377,0.0376,0.0377,3.0,24.0,170707.0,60241.0,18292.0,116190626.0,0.0888,0.07,0.1031,0.035,0.0040490000000000005,-0.2022,0.8796,0.0022,-0.0031,-0.0003,0.0706,-0.0006320000000000001,107.16,-21.67,
