exchange,commodity,underlying,contract_month,strike,call_oi,put_oi,total_oi,call_volume,put_volume,total_volume,call_amount,put_amount,total_amount,price_wall_score
CZCE,AP,AP,2610,6400.0,12.0,470.0,482.0,0.0,5.0,5.0,0.0,400.0,400.0,0.10834597068720213
CZCE,AP,AP,2610,6500.0,23.0,1046.0,1069.0,0.0,43.0,43.0,0.0,5375.0,5375.0,0.2336446027425923
CZCE,AP,AP,2610,6600.0,11.0,511.0,522.0,0.0,123.0,123.0,0.0,18450.0,18450.0,0.1981302232841048
CZCE,AP,AP,2610,6700.0,3.0,331.0,334.0,0.0,37.0,37.0,0.0,8140.0,8140.0,0.1244049868574387
CZCE,AP,AP,2610,6800.0,19.0,419.0,438.0,0.0,125.0,125.0,0.0,36250.0,36250.0,0.20201156870691966
CZCE,AP,AP,2610,6900.0,14.0,283.0,297.0,0.0,136.0,136.0,0.0,56440.0,56440.0,0.1880057379810708
CZCE,AP,AP,2610,7000.0,95.0,2761.0,2856.0,7.0,1938.0,1945.0,39725.0,1114350.0,1154075.0,0.6700109623277486
CZCE,AP,AP,2610,7100.0,67.0,438.0,505.0,0.0,115.0,115.0,0.0,89700.0,89700.0,0.237697101171221
CZCE,AP,AP,2610,7200.0,66.0,451.0,517.0,1.0,138.0,139.0,4035.0,143520.0,147555.0,0.25782595820968235
CZCE,AP,AP,2610,7300.0,130.0,618.0,748.0,22.0,145.0,167.0,76780.0,195025.0,271805.0,0.3170274904084945
CZCE,AP,AP,2610,7400.0,126.0,267.0,393.0,74.0,155.0,229.0,215340.0,275900.0,491240.0,0.2796046386722818
CZCE,AP,AP,2610,7500.0,196.0,388.0,584.0,213.0,235.0,448.0,500550.0,520525.0,1021075.0,0.3646858046473018
CZCE,AP,AP,2610,7600.0,487.0,325.0,812.0,260.0,94.0,354.0,497900.0,257090.0,754990.0,0.38130927710621954
CZCE,AP,AP,2610,7700.0,421.0,206.0,627.0,160.0,14.0,174.0,245600.0,44660.0,290260.0,0.30113682854247714
CZCE,AP,AP,2610,7800.0,551.0,172.0,723.0,709.0,5.0,714.0,850800.0,20325.0,871125.0,0.4151321257527498
CZCE,AP,AP,2610,7900.0,570.0,96.0,666.0,190.0,2.0,192.0,177650.0,9430.0,187080.0,0.3001030864195733
CZCE,AP,AP,2610,8000.0,5743.0,248.0,5991.0,2451.0,33.0,2484.0,1850505.0,185295.0,2035800.0,0.7720429872027996
CZCE,AP,AP,2610,8100.0,1424.0,88.0,1512.0,248.0,0.0,248.0,135160.0,0.0,135160.0,0.4063520828256126
CZCE,AP,AP,2610,8200.0,1894.0,45.0,1939.0,163.0,0.0,163.0,70090.0,0.0,70090.0,0.41006656376702433
CZCE,AP,AP,2610,8300.0,1702.0,76.0,1778.0,209.0,0.0,209.0,67925.0,0.0,67925.0,0.4041980334772347
CZCE,AP,AP,2610,8400.0,1390.0,46.0,1436.0,89.0,0.0,89.0,21805.0,0.0,21805.0,0.3187825915308676
CZCE,AP,AP,2610,8500.0,6195.0,33.0,6228.0,819.0,0.0,819.0,167895.0,0.0,167895.0,0.6533642993483135
CZCE,AP,AP,2610,8600.0,634.0,82.0,716.0,113.0,0.0,113.0,18080.0,0.0,18080.0,0.2280516013244968
CZCE,AP,AP,2610,8700.0,774.0,26.0,800.0,7.0,0.0,7.0,840.0,0.0,840.0,0.16544960910033782
CZCE,AP,AP,2610,8800.0,335.0,28.0,363.0,4.0,0.0,4.0,480.0,0.0,480.0,0.08532286897710639
CZCE,AP,AP,2610,8900.0,375.0,35.0,410.0,15.0,0.0,15.0,1575.0,0.0,1575.0,0.10632507018301134
CZCE,AP,AP,2610,9000.0,2643.0,29.0,2672.0,102.0,0.0,102.0,11220.0,0.0,11220.0,0.38646731518648103
CZCE,AP,AP,2610,9100.0,335.0,23.0,358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07745365482217235
CZCE,AP,AP,2610,9200.0,194.0,9.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04451299164590709
CZCE,AP,AP,2610,9300.0,202.0,29.0,231.0,2.0,0.0,2.0,100.0,0.0,100.0,0.052694575428545054
CZCE,AP,AP,2610,9400.0,252.0,18.0,270.0,1.0,0.0,1.0,40.0,0.0,40.0,0.059644367804586956
CZCE,AP,AP,2610,9500.0,422.0,13.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0933786111921549
CZCE,AP,AP,2610,9600.0,313.0,0.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06807320106999086
CZCE,AP,AP,2610,9700.0,308.0,17.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07047285202985124
CZCE,AP,AP,2610,9800.0,848.0,6.0,854.0,10.0,0.0,10.0,550.0,0.0,550.0,0.1713198225366966
CZCE,AP,AP,2610,9900.0,960.0,15.0,975.0,89.0,0.0,89.0,4895.0,0.0,4895.0,0.22825069503737738
CZCE,AP,AP,2610,10000.0,8687.0,58.0,8745.0,773.0,4.0,777.0,42515.0,100000.0,142515.0,0.6740695934787109
CZCE,AP,AP,2610,10200.0,4080.0,11.0,4091.0,220.0,0.0,220.0,13200.0,0.0,13200.0,0.4613258151312364
CZCE,AP,AP,2611,6400.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005682276113620879
CZCE,AP,AP,2611,6500.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006336726375400984
CZCE,AP,AP,2611,6600.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00437337559006067
CZCE,AP,AP,2611,6700.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005900426200880914
CZCE,AP,AP,2611,6800.0,0.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008954527422521402
CZCE,AP,AP,2611,6900.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008300077160741296
CZCE,AP,AP,2611,7000.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005027825851840775
CZCE,AP,AP,2611,7100.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00437337559006067
CZCE,AP,AP,2611,7200.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00437337559006067
CZCE,AP,AP,2611,7300.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001319274368420181
CZCE,AP,AP,2611,7400.0,10.0,28.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008736377335261367
CZCE,AP,AP,2611,7500.0,10.0,23.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007645626898961194
CZCE,AP,AP,2611,7600.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00306447506650046
CZCE,AP,AP,2611,7700.0,4.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00262817489198039
CZCE,AP,AP,2611,7800.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017555745429402507
CZCE,AP,AP,2611,7900.0,3.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00306447506650046
CZCE,AP,AP,2611,8000.0,4.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024100248047203556
CZCE,AP,AP,2611,8100.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011011242811601461
CZCE,AP,AP,2611,8200.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011011242811601461
CZCE,AP,AP,2611,8300.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017555745429402507
CZCE,AP,AP,2611,8400.0,7.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00262817489198039
CZCE,AP,AP,2611,8500.0,14.0,0.0,14.0,2.0,0.0,2.0,680.0,0.0,680.0,0.012634981761151654
CZCE,AP,AP,2611,8600.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005027825851840775
CZCE,AP,AP,2611,8700.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009172677509781436
CZCE,AP,AP,2611,8800.0,66.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014844579778542344
CZCE,AP,AP,2611,8900.0,49.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011136028295121751
CZCE,AP,AP,2611,9000.0,38.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008736377335261367
CZCE,AP,AP,2611,9100.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00262817489198039
CZCE,AP,AP,2611,9200.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00437337559006067
CZCE,AP,AP,2611,9300.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039370754155406
CZCE,AP,AP,2611,9400.0,60.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013535679254982134
CZCE,AP,AP,2611,9500.0,24.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005682276113620879
CZCE,AP,AP,2611,9600.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005900426200880914
CZCE,AP,AP,2611,9700.0,41.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009390827597041471
CZCE,AP,AP,2611,9800.0,239.0,0.0,239.0,6.0,0.0,6.0,1500.0,0.0,1500.0,0.06858228529619426
CZCE,AP,AP,2701,6500.0,1.0,26.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006336726375400984
CZCE,AP,AP,2701,6600.0,3.0,133.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03011508588674479
CZCE,AP,AP,2701,6700.0,3.0,27.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006991176637181088
CZCE,AP,AP,2701,6800.0,3.0,21.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005682276113620879
CZCE,AP,AP,2701,6900.0,11.0,10.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005027825851840775
CZCE,AP,AP,2701,7000.0,6.0,21.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006336726375400984
CZCE,AP,AP,2701,7100.0,4.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004155225502800635
CZCE,AP,AP,2701,7200.0,3.0,16.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004591525677320705
CZCE,AP,AP,2701,7300.0,4.0,22.0,26.0,0.0,3.0,3.0,0.0,9000.0,9000.0,0.054528520691902074
CZCE,AP,AP,2701,7400.0,9.0,27.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008300077160741296
CZCE,AP,AP,2701,7500.0,33.0,30.0,63.0,0.0,2.0,2.0,0.0,7490.0,7490.0,0.05786283029465602
CZCE,AP,AP,2701,7600.0,40.0,18.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013099379080462065
CZCE,AP,AP,2701,7700.0,26.0,16.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009608977684301507
CZCE,AP,AP,2701,7800.0,24.0,12.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008300077160741296
CZCE,AP,AP,2701,7900.0,37.0,15.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011790478556901856
CZCE,AP,AP,2701,8000.0,26.0,14.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009172677509781436
CZCE,AP,AP,2701,8100.0,53.0,10.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01419012951676224
CZCE,AP,AP,2701,8200.0,25.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006554876462661019
CZCE,AP,AP,2701,8300.0,30.0,3.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007645626898961194
CZCE,AP,AP,2701,8400.0,31.0,3.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007863776986221227
CZCE,AP,AP,2701,8500.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005245975939100809
CZCE,AP,AP,2701,8600.0,36.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008300077160741296
CZCE,AP,AP,2701,8700.0,606.0,0.0,606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12282887297225961
CZCE,AP,AP,2701,8800.0,1161.0,0.0,1161.0,14.0,0.0,14.0,5460.0,0.0,5460.0,0.2394987114577804
CZCE,CF,CF,2609,12200.0,127.0,1982.0,2109.0,0.0,1.0,1.0,0.0,5.0,5.0,0.2874094827940868
CZCE,CF,CF,2609,12400.0,140.0,608.0,748.0,0.0,5.0,5.0,0.0,50.0,50.0,0.14738219826256088
CZCE,CF,CF,2609,12600.0,151.0,672.0,823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15729658675934513
CZCE,CF,CF,2609,12800.0,152.0,834.0,986.0,0.0,46.0,46.0,0.0,460.0,460.0,0.19362199495921092
CZCE,CF,CF,2609,13000.0,159.0,1480.0,1639.0,0.0,2.0,2.0,0.0,30.0,30.0,0.25141414298102543
CZCE,CF,CF,2609,13200.0,183.0,1195.0,1378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22557756407173607
CZCE,CF,CF,2609,13400.0,279.0,911.0,1190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20245365482217237
CZCE,CF,CF,2609,13600.0,544.0,1801.0,2345.0,0.0,33.0,33.0,0.0,330.0,330.0,0.31213467124406324
CZCE,CF,CF,2609,13800.0,565.0,1961.0,2526.0,0.0,7.0,7.0,0.0,70.0,70.0,0.3124040074737603
CZCE,CF,CF,2609,14000.0,801.0,5962.0,6763.0,0.0,115.0,115.0,0.0,1725.0,1725.0,0.4520791768985302
CZCE,CF,CF,2609,14200.0,560.0,4236.0,4796.0,0.0,192.0,192.0,0.0,2880.0,2880.0,0.43963145539553167
CZCE,CF,CF,2609,14400.0,1013.0,2618.0,3631.0,0.0,256.0,256.0,0.0,5120.0,5120.0,0.4335809430819255
CZCE,CF,CF,2609,14600.0,1173.0,2722.0,3895.0,0.0,487.0,487.0,0.0,17045.0,17045.0,0.5049773153818458
