underlying,contract_month,expiry,expiry_month,expiry_source,expiry_confidence,days_to_expiry,business_days_to_expiry_estimate,month_total_abs_gex,month_net_gex,month_total_oi,month_total_volume,month_rank,month_count,expiry_role,expiry_gex_share,near_gex_ratio,next_gex_ratio,front_month_concentration,next_month_concentration,days_to_near_expiry,roll_progress,roll_shift_score,expiry_pressure,underlying_price,call_wall,put_wall,price_wall,gamma_regime,price_wall_distance,expiry_structure_state,roll_state,expiry_date_quality
上证50ETF华夏,8月,2026-08-26,202608,rule_fourth_wednesday,medium,16.0,12.0,1583438314.7896876,541114618.7535751,802322.0,315973.0,1,4,near,0.6899439480873545,0.6899439480873545,0.25455563823181243,0.6899439480873545,0.25455563823181243,16.0,0.2695137636045428,-0.43538830985554205,0.6899439480873545,3.075,3.1,3.0,3.1,Positive Gamma,0.008130081300812941,front_month_concentrated,front_month_dominant,rule_estimate
上证50ETF华夏,9月,2026-09-23,202609,rule_fourth_wednesday,medium,44.0,32.0,584211444.9143063,196809114.27616876,541003.0,111169.0,2,4,next,0.25455563823181243,0.6899439480873545,0.25455563823181243,0.6899439480873545,0.25455563823181243,16.0,0.2695137636045428,-0.43538830985554205,0.12727781911590622,3.075,3.1,3.0,3.1,Positive Gamma,0.008130081300812941,normal_expiry_structure,front_month_dominant,rule_estimate
上证50ETF华夏,12月,2026-12-23,202612,rule_fourth_wednesday,medium,135.0,97.0,117328970.07725628,47448370.02954376,125471.0,47762.0,3,4,deferred,0.051123186854852065,0.6899439480873545,0.25455563823181243,0.6899439480873545,0.25455563823181243,16.0,0.2695137636045428,-0.43538830985554205,0.025561593427426033,3.075,3.1,2.7,3.0,Positive Gamma,-0.024390243902439046,low_expiry_influence,front_month_dominant,rule_estimate
上证50ETF华夏,3月,2027-03-24,202703,rule_fourth_wednesday,medium,226.0,162.0,10045843.126818752,2951055.08094375,12217.0,1361.0,4,4,far,0.004377226825980985,0.6899439480873545,0.25455563823181243,0.6899439480873545,0.25455563823181243,16.0,0.2695137636045428,-0.43538830985554205,0.0021886134129904923,3.075,3.1,2.85,3.1,Positive Gamma,0.008130081300812941,low_expiry_influence,front_month_dominant,rule_estimate
中证500ETF南方,8月,2026-08-26,202608,rule_fourth_wednesday,medium,16.0,12.0,2820151636.693709,663107470.714952,879876.0,1012343.0,1,4,near,0.6892488797540078,0.6892488797540078,0.23854746486707337,0.6892488797540078,0.23854746486707337,16.0,0.25711188263465073,-0.4507014148869345,0.6892488797540078,8.037,8.0,7.75,8.0,Positive Gamma,-0.0046037078511883545,front_month_concentrated,front_month_dominant,rule_estimate
中证500ETF南方,9月,2026-09-23,202609,rule_fourth_wednesday,medium,44.0,32.0,976048047.715525,192020811.64303258,550991.0,152337.0,2,4,next,0.23854746486707337,0.6892488797540078,0.23854746486707337,0.6892488797540078,0.23854746486707337,16.0,0.25711188263465073,-0.4507014148869345,0.11927373243353669,8.037,8.0,6.631,8.0,Positive Gamma,-0.0046037078511883545,normal_expiry_structure,front_month_dominant,rule_estimate
中证500ETF南方,12月,2026-12-23,202612,rule_fourth_wednesday,medium,135.0,97.0,243660207.2128078,91796769.4642965,156600.0,170600.0,3,4,deferred,0.05955088466765913,0.6892488797540078,0.23854746486707337,0.6892488797540078,0.23854746486707337,16.0,0.25711188263465073,-0.4507014148869345,0.029775442333829564,8.037,8.25,7.0,8.0,Positive Gamma,-0.0046037078511883545,low_expiry_influence,front_month_dominant,rule_estimate
中证500ETF南方,3月,2027-03-24,202703,rule_fourth_wednesday,medium,226.0,162.0,51770460.68294572,21895005.653348133,37495.0,8171.0,4,4,far,0.012652770711259692,0.6892488797540078,0.23854746486707337,0.6892488797540078,0.23854746486707337,16.0,0.25711188263465073,-0.4507014148869345,0.006326385355629846,8.037,8.0,8.5,8.0,Positive Gamma,-0.0046037078511883545,low_expiry_influence,front_month_dominant,rule_estimate
中证500ETF嘉实,8月,2026-08-26,202608,rule_fourth_wednesday,medium,16.0,12.0,206960819.00063848,109397657.539296,162726.0,108458.0,1,4,near,0.566406863326927,0.566406863326927,0.3019511797594201,0.566406863326927,0.3019511797594201,16.0,0.34772658831628384,-0.2644556835675069,0.566406863326927,3.255,3.3,3.2,3.2,Positive Gamma,-0.016897081413210335,near_month_pressure,distributed_expiry,rule_estimate
中证500ETF嘉实,9月,2026-09-23,202609,rule_fourth_wednesday,medium,44.0,32.0,110330696.01974176,39313359.52467525,149442.0,33307.0,2,4,next,0.3019511797594201,0.566406863326927,0.3019511797594201,0.566406863326927,0.3019511797594201,16.0,0.34772658831628384,-0.2644556835675069,0.15097558987971005,3.255,3.3,3.3,3.3,Positive Gamma,0.01382488479262678,normal_expiry_structure,distributed_expiry,rule_estimate
中证500ETF嘉实,12月,2026-12-23,202612,rule_fourth_wednesday,medium,135.0,97.0,38698293.31916625,12069950.69588175,63967.0,10694.0,3,4,deferred,0.10590883356983,0.566406863326927,0.3019511797594201,0.566406863326927,0.3019511797594201,16.0,0.34772658831628384,-0.2644556835675069,0.052954416784915,3.255,3.2,2.9,3.2,Positive Gamma,-0.016897081413210335,normal_expiry_structure,distributed_expiry,rule_estimate
中证500ETF嘉实,3月,2027-03-24,202703,rule_fourth_wednesday,medium,226.0,162.0,9402690.23471925,3006746.35816275,16803.0,1900.0,4,4,far,0.025733123343823,0.566406863326927,0.3019511797594201,0.566406863326927,0.3019511797594201,16.0,0.34772658831628384,-0.2644556835675069,0.0128665616719115,3.255,3.2,3.1,3.2,Positive Gamma,-0.016897081413210335,low_expiry_influence,distributed_expiry,rule_estimate
创业板ETF易方达,8月,2026-08-26,202608,rule_fourth_wednesday,medium,16.0,12.0,1170839580.7317755,168989006.59395453,1222292.0,1458239.0,1,4,near,0.7239710111959182,0.7239710111959182,0.2276382608584417,0.7239710111959182,0.2276382608584417,16.0,0.23921400047627747,-0.49633275033747654,0.7239710111959182,3.559,3.6,3.5,3.6,Positive Gamma,0.01152008991289688,front_month_concentrated,front_month_dominant,rule_estimate
创业板ETF易方达,9月,2026-09-23,202609,rule_fourth_wednesday,medium,44.0,32.0,368147179.6249611,10856872.412107667,635519.0,194991.0,2,4,next,0.2276382608584417,0.7239710111959182,0.2276382608584417,0.7239710111959182,0.2276382608584417,16.0,0.23921400047627747,-0.49633275033747654,0.11381913042922084,3.559,3.9,2.9,3.6,Positive Gamma,0.01152008991289688,normal_expiry_structure,front_month_dominant,rule_estimate
创业板ETF易方达,12月,2026-12-23,202612,rule_fourth_wednesday,medium,135.0,97.0,70211665.06971864,20890212.53564188,143207.0,93027.0,3,4,deferred,0.04341432506620915,0.7239710111959182,0.2276382608584417,0.7239710111959182,0.2276382608584417,16.0,0.23921400047627747,-0.49633275033747654,0.021707162533104576,3.559,4.8,3.2,3.5,Positive Gamma,-0.016577690362461373,low_expiry_influence,front_month_dominant,rule_estimate
创业板ETF易方达,3月,2027-03-24,202703,rule_fourth_wednesday,medium,226.0,162.0,8048070.117172871,1667213.2751384308,17939.0,5884.0,4,4,far,0.0049764028794309165,0.7239710111959182,0.2276382608584417,0.7239710111959182,0.2276382608584417,16.0,0.23921400047627747,-0.49633275033747654,0.0024882014397154583,3.559,4.0,3.0,3.6,Positive Gamma,0.01152008991289688,low_expiry_influence,front_month_dominant,rule_estimate
沪深300ETF华泰柏瑞,8月,2026-08-26,202608,rule_fourth_wednesday,medium,16.0,12.0,1935657186.0402799,530005569.7855552,633404.0,399276.0,1,4,near,0.689465784905031,0.689465784905031,0.2352387088049499,0.689465784905031,0.2352387088049499,16.0,0.25439338773098774,-0.45422707610008106,0.689465784905031,4.759,4.8,4.7,4.8,Positive Gamma,0.008615255305736369,front_month_concentrated,front_month_dominant,rule_estimate
沪深300ETF华泰柏瑞,9月,2026-09-23,202609,rule_fourth_wednesday,medium,44.0,32.0,660426531.8196439,171379270.04183885,451403.0,90325.0,2,4,next,0.2352387088049499,0.689465784905031,0.2352387088049499,0.689465784905031,0.2352387088049499,16.0,0.25439338773098774,-0.45422707610008106,0.11761935440247495,4.759,5.0,4.5,4.8,Positive Gamma,0.008615255305736369,normal_expiry_structure,front_month_dominant,rule_estimate
沪深300ETF华泰柏瑞,12月,2026-12-23,202612,rule_fourth_wednesday,medium,135.0,97.0,184672432.77016956,87576910.25524747,143761.0,53896.0,3,4,deferred,0.06577886039349375,0.689465784905031,0.2352387088049499,0.689465784905031,0.2352387088049499,16.0,0.25439338773098774,-0.45422707610008106,0.03288943019674687,4.759,5.0,4.3,4.9,Positive Gamma,0.029628073124605914,low_expiry_influence,front_month_dominant,rule_estimate
