underlying,contract_month,strike,underlying_price,expiry,expiry_month,expiry_source,expiry_confidence,days_to_expiry,business_days_to_expiry_estimate,call_gex,put_gex,net_gex,total_abs_gex,call_oi,put_oi,total_oi,call_volume,put_volume,total_volume,avg_iv,avg_delta,avg_gamma,liquidity_adjusted_call_gex,liquidity_adjusted_put_gex,liquidity_adjusted_net_gex,liquidity_adjusted_abs_gex,active_gex,stable_gex,avg_spread_bps,avg_liquidity_score,avg_pricing_quality_score,avg_volume_oi_ratio,avg_oi_change_rate,price_wall_score,in_price_range
上证50ETF华夏,8月,2.75,2.99,2026-08-26,202608,rule_fourth_wednesday,medium,23.0,17.0,439883.495142,-9750528.468694003,-9310644.973552004,10190411.963836003,579.0,15058.0,15637.0,110.0,9699.0,9809.0,0.1135,0.41655,0.78705,262226.0777292863,-4462268.680001602,-4200042.602272315,4724494.757730888,-6196837.198877002,-3113807.774675001,352.9471083547634,0.526884990206037,0.42208333333333337,0.4170460861640115,0.023251080398353212,0.7508755056408629,False
上证50ETF华夏,8月,2.8,2.99,2026-08-26,202608,rule_fourth_wednesday,medium,23.0,17.0,4274512.132800001,-33841852.126173005,-29567339.993373003,38116364.258973,4200.0,34911.0,39111.0,490.0,8635.0,9125.0,0.10885,0.37,1.11135,2412372.8143711607,-9218173.34271916,-6805800.528347999,11630546.157090321,-7871860.414145001,-21695479.579228,224.85073384238441,0.418375940563904,0.38997429305912595,0.18200495545816503,0.05066019854508666,0.8807876606032197,False
上证50ETF华夏,8月,2.85,2.99,2026-08-26,202608,rule_fourth_wednesday,medium,23.0,17.0,6288905.120108001,-48387353.612312004,-42098448.492204,54676258.732420005,5276.0,35068.0,40344.0,2014.0,20149.0,22163.0,0.176,0.37835,1.43835,4199444.51827759,-23532922.69598283,-19333478.17770524,27732367.214260418,-25401238.284603998,-16697210.207600005,226.09598115369258,0.57704947979703,0.34034165571616304,0.4781489951332937,0.10165521001857228,0.9207418730540035,True
上证50ETF华夏,8月,2.9,2.99,2026-08-26,202608,rule_fourth_wednesday,medium,23.0,17.0,39803756.013190016,-85014551.110125,-45210795.09693499,124818307.12331502,19190.0,46925.0,66115.0,9790.0,32284.0,42074.0,0.1799,0.27685,2.1733000000000002,24347496.648337424,-68153851.59520595,-43806354.946868524,92501348.24354337,-38182940.915470004,-7027854.181464992,44.49438202247249,0.70668060067337,0.23291366906474814,0.5990765091146133,0.08878354911593771,0.9573920566272837,True
上证50ETF华夏,8月,2.95,2.99,2026-08-26,202608,rule_fourth_wednesday,medium,23.0,17.0,83854530.848452,-78519906.66410801,5334624.184343994,162374437.51256,31612.0,36347.0,67959.0,27167.0,30708.0,57875.0,0.18184999999999998,0.14809999999999998,2.69175,68896289.35398579,-47559071.798382506,21337217.55560328,116455361.15236829,5725592.726944998,-390968.5426010024,117.79864089558205,0.7136556141369659,0.07347204161248361,0.852122680769942,0.10488718445980937,0.966173347016775,True
上证50ETF华夏,8月,3.0,2.99,2026-08-26,202608,rule_fourth_wednesday,medium,23.0,17.0,251387390.68404004,-156390563.95560002,94996826.72844002,407777954.6396401,90212.0,68520.0,158732.0,61601.0,44013.0,105614.0,0.18535000000000001,0.0062500000000000056,2.835,186265305.43405616,-85258804.22001715,101006501.21403901,271524109.6540733,71203540.88328,23793285.84516,204.74700353785653,0.6430575939570338,0.15818759936406984,0.6625925374228427,0.056886527246363845,0.994550826734979,True
上证50ETF华夏,8月,3.1,2.99,2026-08-26,202608,rule_fourth_wednesday,medium,23.0,17.0,291227642.50985605,-77651273.227359,213576369.28249705,368878915.73721504,143656.0,44367.0,188023.0,71296.0,21592.0,92888.0,0.2056,-0.22920000000000001,2.11265,161386435.66386798,-58270114.92674903,103116320.73711896,219656550.590617,106744929.17431204,106831440.10818504,95.06948595551455,0.6522833885471229,0.4121621621621623,0.4914823639137569,0.030827132379012624,0.9920206015422701,True
上证50ETF华夏,8月,3.2,2.99,2026-08-26,202608,rule_fourth_wednesday,medium,23.0,17.0,136249784.57376,-11282305.445073,124967479.12868701,147532090.018833,126528.0,9837.0,136365.0,38989.0,2095.0,41084.0,0.23395,-0.35575,1.2437,81451492.49004519,-5479347.810288947,75972144.67975624,86930840.30033414,39581912.79575,85385566.332937,114.22241009868289,0.541734294221177,0.494550408719346,0.26055833352808594,0.016256700331584287,0.9770298241994737,False
上证50ETF华夏,8月,3.3,2.99,2026-08-26,202608,rule_fourth_wednesday,medium,23.0,17.0,28339910.662492003,-1394395.44309,26945515.219402004,29734306.105582003,52018.0,1830.0,53848.0,9194.0,511.0,9705.0,0.26705,-0.41345,0.73085,2327476.823940024,-942772.8521773596,1384703.9717626642,3270249.6761173834,4619616.353183,22325898.866219003,292.50661080394275,0.37912150998750227,0.48376313276026744,0.2279907417503861,-0.036677205485701886,0.8807220976476561,False
上证50ETF华夏,8月,3.4,2.99,2026-08-26,202608,rule_fourth_wednesday,medium,23.0,17.0,9754041.033984004,-696816.962686,9057224.071298003,10450857.996670004,29908.0,1219.0,31127.0,4095.0,28.0,4123.0,0.3225,-0.42860000000000004,0.5021,563992.2124254782,-369518.0586169178,194474.15380856034,933510.271042396,1319516.5627280006,7737707.508570003,449.3084786530368,0.2940578416162872,0.6518072289156627,0.07994476745366129,0.007121540965816604,0.7678733730008372,False
