trade_date,market_type,source_file,underlying,name,code,expiry,contract_month,raw_strike,strike,option_type,last_price,bid_price,ask_price,bid_volume,ask_volume,volume,open_interest,oi_change,amount,prev_settle,open_price,high_price,low_price,iv,delta,gamma,vega,theta,rho,theoretical_price,moneyness,leverage,real_leverage,parse_error
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购7月7859,10011719,,7月,7859.0,7.859,call,0.3341,0.3337,0.3399,1.0,2.0,9918.0,10818.0,-601.0,38765953.0,0.4198,0.4202,0.4623,0.3013,0.002841,0.8191,0.7679,0.0032,-0.0064,0.0014,0.388,0.00037200000000000004,24.4,19.98,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽7月7859,10011728,,7月,7859.0,7.859,put,0.0441,0.0441,0.0443,27.0,3.0,62702.0,37972.0,-7788.0,24676591.0,0.0301,0.028,0.055,0.0211,0.003136,-0.2032,0.7469,0.0034,-0.0065,-0.0004,0.0883,-0.00037200000000000004,184.83,-37.56,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购7月8000,10012038,,7月,8000.0,8.0,call,0.2227,0.2225,0.2227,2.0,18.0,33826.0,7202.0,7202.0,85765131.0,0.2997,0.3253,0.3435,0.1996,1e-06,0.633,0.7224,0.0045,-0.0129,0.0011,0.295,0.000189,36.6,23.17,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽7月8000,10012047,,7月,8000.0,8.0,put,0.07,0.0695,0.07,25.0,47.0,108376.0,9292.0,9292.0,75742897.0,0.0551,0.0521,0.095,0.0373,1e-06,-0.367,0.7224,0.0045,-0.0119,-0.0007,0.1361,-0.000189,116.44,-42.74,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购7月8104,10011720,,7月,8104.0,8.104,call,0.1601,0.1601,0.1615,22.0,6.0,79668.0,26120.0,-7006.0,155437337.0,0.2253,0.24,0.2638,0.138,0.002726,0.5745,1.1917,0.0047,-0.0086,0.001,0.2359,5.7999999999999994e-05,50.91,29.25,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽7月8104,10011729,,7月,8104.0,8.104,put,0.1166,0.1166,0.1167,18.0,1.0,142224.0,34195.0,-21423.0,150507430.0,0.0815,0.0666,0.1379,0.059,0.002968,-0.4301,1.0966,0.0047,-0.0083,-0.0008,0.1809,-5.7999999999999994e-05,69.91,-30.07,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购7月8250,10012039,,7月,8250.0,8.25,call,0.1,0.1,0.1008,29.0,10.0,143742.0,15599.0,15599.0,160580996.0,0.1413,0.1603,0.1693,0.075,1e-06,0.4438,0.7577,0.0048,-0.0133,0.0008,0.1668,-0.00012,81.51,36.17,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽7月8250,10012048,,7月,8250.0,8.25,put,0.1935,0.1935,0.194,1.0,9.0,153091.0,8527.0,8527.0,258031633.0,0.1432,0.1416,0.2184,0.1087,1e-06,-0.5562,0.7577,0.0048,-0.0123,-0.0011,0.2577,0.00012,42.12,-23.43,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购7月8350,10011721,,7月,8350.0,8.35,call,0.0606,0.0604,0.0606,1.0,775.0,131050.0,53153.0,-6625.0,106099386.0,0.1002,0.1095,0.115,0.0466,0.002774,0.2937,1.0285,0.0042,-0.0075,0.0005,0.1286,-0.00023799999999999998,134.5,39.5,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽7月8350,10011730,,7月,8350.0,8.35,put,0.258,0.258,0.26,2.0,5.0,74372.0,34194.0,-5860.0,169504462.0,0.1986,0.1948,0.2922,0.1577,0.002932,-0.6954,0.9893,0.0042,-0.007,-0.0013,0.3194,0.00023799999999999998,31.59,-21.97,
