trade_date,market_type,underlying,commodity,exchange,contract_month,underlying_price,call_wall,put_wall,call_oi_wall,put_oi_wall,max_gamma_strike,gex_flip,price_wall,net_gex,total_abs_gex,total_oi,total_volume,total_amount,call_gex_total,put_gex_abs_total,gex_ratio,call_gex_share,put_gex_share,call_wall_distance,put_wall_distance,price_wall_distance,gamma_regime,iv_surface_bias,delta_bias,normalized_net_gex,assumed_dealer_gamma_ratio,vega_risk_ratio,theta_burn_rate,rho_risk_ratio,atm_iv,call_25_delta_iv,put_25_delta_iv,option_market_value,total_time_value
2026-07-21,ETF,上证50ETF华夏,,,12月,3.079,3.0,2.8,3.5,2.8,3.0,3.1,3.0,21075683.793568082,69539255.78671247,84961.0,12919.0,,45307469.79014028,24231785.99657219,1.869753628418039,0.651538030966354,0.348461969033646,-0.02565768106528099,-0.09061383566092895,-0.02565768106528099,Positive Gamma,0.3178576233016286,0.24561478929761257,0.30307606193270786,0.30307606193270786,0.05166748487964415,,0.005876934568769631,0.0025325804416403783,0.0016920000000000001,0.0024969999999999997,105923929.0,
2026-07-21,ETF,上证50ETF华夏,,,7月,3.079,3.1,3.1,3.2,3.0,3.1,3.1,3.1,585675721.333093,1041432908.6004486,495612.0,682701.0,,813554314.9667708,227878593.6336777,3.5701217125930924,0.781187446880359,0.21881255311964082,0.006820396232543047,0.006820396232543047,0.006820396232543047,Positive Gamma,0.28214804063860666,0.40803116739993833,0.5623748937607184,0.5623748937607184,0.021762538407418684,,7.687293665429539e-05,0.002169074074074074,0.00158,0.002192,49484255.0,
2026-07-21,ETF,上证50ETF华夏,,,8月,3.079,3.1,3.0,3.1,3.0,3.1,3.1,3.1,307168390.8621774,829550140.456964,531652.0,533999.0,,568359265.6595707,261190874.79739326,2.176030330693785,0.6851415459305277,0.31485845406947227,0.006820396232543047,-0.02565768106528099,0.006820396232543047,Positive Gamma,0.34583673772561857,0.3854858459262385,0.3702830918610554,0.3702830918610554,0.049889680304813666,,0.007101358030131438,0.0022438333333333334,0.001566,0.0023420000000000003,299832228.0,
2026-07-21,ETF,上证50ETF华夏,,,9月,3.079,3.1,2.65,3.6,2.65,3.1,3.1,3.2,142023191.4141989,382813318.8853829,438460.0,348813.0,,262418255.1497909,120395063.73559201,2.1796429771083137,0.6854992817748874,0.31450071822511266,0.006820396232543047,-0.13933095160766495,0.03929847353036697,Positive Gamma,0.2657720993360203,0.30114204542223294,0.3709985635497747,0.3709985635497747,0.05169230840659841,,0.005363425596210135,0.0026112598039215685,0.001805,0.002499,271382715.0,
2026-07-21,ETF,中证500ETF南方,,,12月,7.792,8.35,7.613,9.823,6.876,7.613,8.35,7.613,22880730.598497286,119529278.08005118,90978.0,22048.0,,71205004.33927424,48324273.74077696,1.4734831757893565,0.595711824609087,0.40428817539091316,0.07161190965092401,-0.02297227926078016,-0.02297227926078016,Positive Gamma,-0.6715328467153283,-0.06775952473523672,0.1914236492181739,0.1914236492181739,0.026889318498603113,,-0.005911936531925425,0.003459250000000001,0.002324,1e-06,572031344.0,
2026-07-21,ETF,中证500ETF南方,,,7月,7.792,8.0,7.75,8.841,7.5,7.75,7.75,7.75,331710104.88214517,1211727261.318349,442410.0,1425293.0,,771718683.1002469,440008578.2181018,1.7538719045557432,0.6368749038959671,0.3631250961040327,0.026694045174538106,-0.005390143737166286,-0.005390143737166286,Positive Gamma,2.08327540664535,-0.01675675700660183,0.2737498077919345,0.2737498077919345,0.007186837638774413,,-0.00010610679735806453,0.0015984444444444444,1e-06,0.003331,383717170.0,
2026-07-21,ETF,中证500ETF南方,,,8月,7.792,7.75,7.5,7.5,7.0,7.5,8.25,7.5,152018185.84919038,1138888644.1929061,583037.0,855818.0,,645453415.0210483,493435229.1718579,1.3080813384652845,0.5667397056877852,0.4332602943122149,-0.005390143737166286,-0.03747433264887057,-0.03747433264887057,Positive Gamma,-1.847506052212602,0.059172143788513216,0.1334794113755703,0.1334794113755703,0.027486517722993268,,-0.0005516366392281295,0.0016292233502538068,0.003011,1e-06,1602268481.0,
2026-07-21,ETF,中证500ETF南方,,,9月,7.792,8.35,6.631,9.823,6.385,6.631,,8.104,-117463627.01115906,541082637.00651,419931.0,280984.0,,211809504.9976755,329273132.0088346,0.6432638572891289,0.3914550024548785,0.6085449975451217,0.07161190965092401,-0.1489989733059548,0.040041067761806826,Negative Gamma,0.4770998543453632,-0.21460354503493892,-0.2170899950902431,-0.2170899950902431,0.03666347190005396,,-0.005168688615844091,0.0015447500000000001,0.002829,0.0035659999999999997,927370820.0,
2026-07-21,ETF,中证500ETF嘉实,,,12月,3.159,3.0,2.9,3.0,2.9,3.0,3.0,3.2,7889629.03891695,29751855.647254646,52129.0,10567.0,,18820742.3430858,10931113.304168848,1.7217589662992558,0.6325905370820958,0.36740946291790433,-0.05033238366571691,-0.08198797087685972,0.012978790756568603,Positive Gamma,0.3909678448894915,0.22443499632276703,0.26518107416419134,0.26518107416419134,0.03491820020981568,,0.0021311254285210964,0.0031332500000000006,0.0023260000000000004,0.003551,94969070.0,
2026-07-21,ETF,中证500ETF嘉实,,,7月,3.159,3.2,3.1,3.7,3.0,3.2,3.1,3.2,76022608.63206786,190362272.62932706,196001.0,322670.0,,133192440.63069747,57169831.9986296,2.329767920848363,0.6996787692803472,0.3003212307196529,0.012978790756568603,-0.018676796454574096,0.012978790756568603,Positive Gamma,0.1935377091542002,-0.01981785436724586,0.39935753856069417,0.39935753856069417,0.003296634220800964,,-0.00014402963212273442,0.003229344827586207,0.002936,0.003561,105999021.0,
