underlying,contract_month,iv_surface_bias,delta_bias,normalized_net_gex,assumed_dealer_gamma_ratio,vega_risk_ratio,theta_burn_rate,rho_risk_ratio,atm_iv,call_25_delta_iv,put_25_delta_iv,option_market_value,total_time_value,trade_date,front_month,primary_month,expiring_month,next_month,far_month,primary_selection_reason,primary_selection_note,primary_selection_confidence,primary_selection_dte,is_primary_analysis_month,is_expiring_microstructure,analysis_month_role
上证50ETF华夏,10月,0.22839895706451813,0.2545946964849225,0.22456040801116597,0.22456040801116597,0.0685341484971703,0.022234969683448815,0.006030824665617336,0.14098137931034482,0.113,0.1452,160751979.0,87330679.0,2026-09-21,9月,9月,,10月,3月,front_retained_roll_not_confirmed,9月 DTE=2，换月接管未确认，仍使用前月,medium,2.0,False,False,next_month
上证50ETF华夏,12月,0.3559271125350422,0.1923296566098146,0.31435007387499053,0.31435007387499053,0.05228984424176895,0.01107796404861034,0.003410114197680237,0.16435949367088606,0.1336,0.19210000000000002,195343898.0,86299251.0,2026-09-21,9月,9月,,10月,3月,front_retained_roll_not_confirmed,9月 DTE=2，换月接管未确认，仍使用前月,medium,2.0,False,False,other_month
上证50ETF华夏,3月,0.39616370288338326,0.2818537884785616,0.3666272433289774,0.3666272433289774,0.0720615772577507,0.005143480931977255,0.011355603104110275,0.20471335311572703,0.126,0.2071,32161744.0,22410504.0,2026-09-21,9月,9月,,10月,3月,front_retained_roll_not_confirmed,9月 DTE=2，换月接管未确认，仍使用前月,medium,2.0,False,False,far_month
上证50ETF华夏,9月,-0.14191106906338696,0.23543772728407858,0.17476093239047039,0.17476093239047039,0.016449577856167064,0.3193416388501171,0.0003270158646399943,0.26425,0.1807,0.1432,110168967.0,15032418.0,2026-09-21,9月,9月,,10月,3月,front_retained_roll_not_confirmed,9月 DTE=2，换月接管未确认，仍使用前月,medium,2.0,True,False,primary_analysis
中证500ETF南方,10月,0.0,0.24173455782158,0.1079793426216015,0.1079793426216015,0.04939422722751424,0.04026084614270826,0.003064332060621398,9.999999999999999e-05,0.0001,0.0001,555448289.0,289966335.0,2026-09-21,9月,9月,,10月,3月,front_retained_roll_not_confirmed,9月 DTE=2，换月接管未确认，仍使用前月,medium,2.0,False,False,next_month
中证500ETF南方,12月,0.3730543191342022,0.11608955018832222,0.25974788897099244,0.25974788897099244,0.03756286133045507,0.011506234597021126,-0.0003134838620990296,0.29245070866141737,0.198,0.3071,776473782.0,355995262.0,2026-09-21,9月,9月,,10月,3月,front_retained_roll_not_confirmed,9月 DTE=2，换月接管未确认，仍使用前月,medium,2.0,False,False,other_month
中证500ETF南方,3月,0.48686941566000475,0.2987517259054422,0.3290944689507222,0.3290944689507222,0.029419574878137216,0.004498162988985293,0.0027419765267620447,0.3323273033707866,0.17149999999999999,0.3333,440255410.0,182637446.0,2026-09-21,9月,9月,,10月,3月,front_retained_roll_not_confirmed,9月 DTE=2，换月接管未确认，仍使用前月,medium,2.0,False,False,far_month
中证500ETF南方,9月,0.03550439229595426,0.25399236249564305,0.1947776085585717,0.1947776085585717,0.010119555821040186,0.44120338074205867,0.00036286600233291917,0.19997525773195873,0.1996,0.20670000000000002,447357975.0,38592474.0,2026-09-21,9月,9月,,10月,3月,front_retained_roll_not_confirmed,9月 DTE=2，换月接管未确认，仍使用前月,medium,2.0,True,False,primary_analysis
中证500ETF嘉实,10月,0.3449331476103911,0.14134301517321304,0.1901662363700817,0.1901662363700817,0.04019545374868996,0.024393824909703262,0.0012012696931125043,0.2397566037735849,0.1788,0.2615,43265888.0,21359299.0,2026-09-21,9月,9月,,10月,3月,front_retained_roll_not_confirmed,9月 DTE=2，换月接管未确认，仍使用前月,medium,2.0,False,False,next_month
中证500ETF嘉实,12月,0.44049109643345336,0.33929542347027525,0.4688609181376219,0.4688609181376219,0.042801166602467376,0.01311793913891592,0.00534120406799752,0.25176445312499995,0.2002,0.3111,118363199.0,55733907.0,2026-09-21,9月,9月,,10月,3月,front_retained_roll_not_confirmed,9月 DTE=2，换月接管未确认，仍使用前月,medium,2.0,False,False,other_month
中证500ETF嘉实,3月,0.48279885062831357,0.2447965115496842,0.3229147115324146,0.3229147115324146,0.03476282444028699,0.004677935963742233,0.002136090719881062,0.3258085635359116,0.1784,0.3357,75608212.0,39920384.0,2026-09-21,9月,9月,,10月,3月,front_retained_roll_not_confirmed,9月 DTE=2，换月接管未确认，仍使用前月,medium,2.0,False,False,far_month
