trade_date,market_type,underlying,contract_month,underlying_price,call_wall,put_wall,price_wall,gex_flip,net_gex,total_abs_gex,total_oi,total_volume,call_wall_distance,put_wall_distance,price_wall_distance,gamma_regime,gex_ratio,call_gex_share,put_gex_share,market_bias_label
2026-09-07,ETF,上证50ETF华夏,10月,3.018,3.0,3.0,3.0,3.2,27613429.433166604,197732641.14738032,127446.0,64265.0,-0.005964214711729587,-0.005964214711729587,-0.005964214711729587,Positive Gamma,1.3246362260313658,0.5698251671371368,0.43017483286286334,
2026-09-07,ETF,上证50ETF华夏,12月,3.018,3.0,2.7,3.0,3.0,71842706.80926228,209730766.19969052,209249.0,75181.0,-0.005964214711729587,-0.10536779324055656,-0.005964214711729587,Positive Gamma,2.042043917752741,0.671273647903567,0.328726352096433,
2026-09-07,ETF,上证50ETF华夏,3月,3.018,3.1,2.8,3.1,3.1,8185013.469369721,22494374.46151452,25915.0,4079.0,0.02717031146454607,-0.07223326706428101,0.02717031146454607,Positive Gamma,2.1440082438150703,0.6819346762314596,0.3180653237685402,
2026-09-07,ETF,上证50ETF华夏,9月,3.018,3.0,3.0,3.0,3.1,317596688.7629968,1595156386.1363437,880423.0,486005.0,-0.005964214711729587,-0.005964214711729587,-0.005964214711729587,Positive Gamma,1.4971927173594681,0.5995503298370178,0.40044967016298205,
2026-09-07,ETF,中证500ETF南方,10月,7.771,8.0,6.75,8.0,8.75,3865141.0302506476,134430316.5891179,81190.0,57464.0,0.02946853686784201,-0.13138592201775834,0.02946853686784201,Positive Gamma,1.0592063084770718,0.5143760021114298,0.48562399788857025,
2026-09-07,ETF,中证500ETF南方,12月,7.771,8.0,6.5,7.75,8.25,90970035.83636712,350003695.45150626,251355.0,87296.0,0.02946853686784201,-0.1635568137948784,-0.0027023549092780597,Positive Gamma,1.7023800379574328,0.6299558219221306,0.3700441780778696,
2026-09-07,ETF,中证500ETF南方,3月,7.771,7.75,7.75,7.75,6.75,31906505.758103322,85826762.58243209,63347.0,4702.0,-0.0027023549092780597,-0.0027023549092780597,-0.0027023549092780597,Positive Gamma,2.183470095925327,0.6858773697042271,0.3141226302957728,
2026-09-07,ETF,中证500ETF南方,9月,7.771,7.75,7.75,7.75,8.25,253353854.38722053,2694667473.1064286,1011059.0,1192109.0,-0.0027023549092780597,-0.0027023549092780597,-0.0027023549092780597,Positive Gamma,1.2075553525320013,0.5470102261068882,0.45298977389311174,
2026-09-07,ETF,中证500ETF嘉实,10月,3.155,3.2,2.9,3.1,3.5,2091790.7735105008,21906520.992813498,22449.0,11898.0,0.014263074484944571,-0.08082408874801894,-0.017432646592709933,Positive Gamma,1.211134923398829,0.5477435639871049,0.4522564360128949,
2026-09-07,ETF,中证500ETF嘉实,12月,3.155,4.1,3.0,3.2,3.1,24596658.461719744,56327519.83338424,103055.0,47627.0,0.2995245641838351,-0.04912836767036444,0.014263074484944571,Positive Gamma,2.5503303344727,0.7183360685369798,0.28166393146302016,
2026-09-07,ETF,中证500ETF嘉实,3月,3.155,3.1,3.1,3.1,3.1,5016526.495341249,14692336.894752245,24008.0,2251.0,-0.017432646592709933,-0.017432646592709933,-0.017432646592709933,Positive Gamma,2.0369212062374906,0.6707191487398113,0.32928085126018874,
2026-09-07,ETF,中证500ETF嘉实,9月,3.155,3.2,3.2,3.2,3.3,31534391.215180498,195570007.63267395,225099.0,102736.0,0.014263074484944571,0.014263074484944571,0.014263074484944571,Positive Gamma,1.3844822472568528,0.5806217466494389,0.41937825335056134,
2026-09-07,ETF,创业板ETF易方达,10月,3.414,3.8,3.4,3.4,3.8,15831952.372941116,105773925.03348601,122151.0,107734.0,0.11306385471587577,-0.00410076157000594,-0.00410076157000594,Positive Gamma,1.352048146257441,0.5748386351736926,0.4251613648263075,
2026-09-07,ETF,创业板ETF易方达,12月,3.414,4.0,2.95,3.5,4.1,26635381.35098256,130590623.56828395,276082.0,88229.0,0.17164616285881662,-0.13591095489162275,0.025190392501464487,Positive Gamma,1.5124394072461622,0.6019804509052493,0.39801954909475057,
2026-09-07,ETF,创业板ETF易方达,3月,3.414,4.0,2.95,3.5,4.0,2287649.7958564805,13908786.391069924,28923.0,4183.0,0.17164616285881662,-0.13591095489162275,0.025190392501464487,Positive Gamma,1.3937050007309482,0.5822375774397273,0.41776242256027246,
2026-09-07,ETF,创业板ETF易方达,9月,3.414,3.5,3.4,3.4,3.7,108109604.9679491,1210045459.337367,1311613.0,1425046.0,0.025190392501464487,-0.00410076157000594,-0.00410076157000594,Positive Gamma,1.1962176011230978,0.544671712179785,0.455328287820215,
2026-09-07,ETF,沪深300ETF华泰柏瑞,10月,4.634,4.7,4.6,4.7,4.8,74049868.85242718,209968144.2538207,99918.0,41853.0,0.014242555028053383,-0.007337073802330729,0.014242555028053383,Positive Gamma,2.0896234319298608,0.6763359606658041,0.323664039334196,
2026-09-07,ETF,沪深300ETF华泰柏瑞,12月,4.634,5.0,4.3,4.8,4.8,85059834.51807718,263075176.96952665,207094.0,48127.0,0.07898144151920583,-0.07207596029348307,0.035822183858437606,Positive Gamma,1.9556461072030995,0.6616645011853971,0.33833549881460295,
2026-09-07,ETF,沪深300ETF华泰柏瑞,3月,4.634,4.7,4.2,4.7,4.7,18956832.562570006,45193164.417492,35293.0,2657.0,0.014242555028053383,-0.09365558912386707,0.014242555028053383,Positive Gamma,2.4450825418274813,0.7097311928353569,0.2902688071646432,
2026-09-07,ETF,沪深300ETF华泰柏瑞,9月,4.634,4.7,4.6,4.7,4.7,372025546.2124692,2033853023.7632809,791404.0,431786.0,0.014242555028053383,-0.007337073802330729,0.014242555028053383,Positive Gamma,1.4477306474204623,0.5914583162759969,0.40854168372400324,
2026-09-07,ETF,沪深300ETF嘉实,10月,4.843,5.0,4.9,4.9,5.25,2199006.097063339,25773721.79075924,13896.0,4695.0,0.03241792277513933,0.011769564319636716,0.011769564319636716,Positive Gamma,1.1865563195446192,0.5426598477882958,0.4573401522117043,
2026-09-07,ETF,沪深300ETF嘉实,12月,4.843,5.25,4.4,5.0,4.8,17547569.614689615,41267339.64694005,40138.0,15259.0,0.08403881891389631,-0.09147222795787724,0.03241792277513933,Positive Gamma,2.4795733340442316,0.7126084424731115,0.2873915575268885,
2026-09-07,ETF,沪深300ETF嘉实,3月,4.843,5.5,4.4,4.8,4.8,6340453.983987761,13822422.280156521,12670.0,3491.0,0.13565971505265328,-0.09147222795787724,-0.00887879413586623,Positive Gamma,2.6948625637011787,0.7293539386757892,0.2706460613242108,
2026-09-07,ETF,沪深300ETF嘉实,9月,4.843,4.9,4.8,4.9,4.9,96204298.75763844,254093343.9809486,138798.0,28005.0,0.011769564319636716,-0.00887879413586623,0.011769564319636716,Positive Gamma,2.2186317121820824,0.6893089705743172,0.31069102942568316,
2026-09-07,ETF,深证100ETF易方达,10月,3.557,3.7,3.4,3.4,3.8,754927.0550275798,5057020.16741162,4724.0,2324.0,0.040202417767781995,-0.044138318807984245,-0.044138318807984245,Positive Gamma,1.350958026851832,0.5746414914352596,0.42535850856474033,
2026-09-07,ETF,深证100ETF易方达,12月,3.557,4.6,3.4,3.7,3.7,3257028.7320081396,7758179.930954159,13634.0,10785.0,0.29322462749508005,-0.044138318807984245,0.040202417767781995,Positive Gamma,2.447198100241911,0.7099093318919433,0.2900906681080568,
2026-09-07,ETF,深证100ETF易方达,3月,3.557,4.2,3.2,3.7,4.2,71329.83723228003,997045.2997462,1627.0,436.0,0.18077031206072536,-0.10036547652516159,0.040202417767781995,Positive Gamma,1.1541074771260125,0.5357706100467237,0.4642293899532764,
2026-09-07,ETF,深证100ETF易方达,9月,3.557,3.7,3.4,3.7,3.6,18371798.99887453,57274710.02622225,53634.0,40302.0,0.040202417767781995,-0.044138318807984245,0.040202417767781995,Positive Gamma,1.9444948212723534,0.6603831690327484,0.3396168309672513,
2026-09-07,ETF,科创50ETF华夏,10月,1.705,2.0,1.5,1.75,2.0,2595915.03914875,36114235.15495676,157430.0,104262.0,0.17302052785923738,-0.12023460410557185,0.02639296187683282,Positive Gamma,1.1548952948823028,0.535940329734388,0.46405967026561185,
2026-09-07,ETF,科创50ETF华夏,12月,1.705,2.55,1.3,1.75,2.15,13130204.178701501,94199864.97087102,492687.0,432598.0,0.49560117302052764,-0.2375366568914956,0.02639296187683282,Positive Gamma,1.3239239945104035,0.5696933280252668,0.43030667197473327,
2026-09-07,ETF,科创50ETF华夏,3月,1.705,2.15,1.45,1.75,2.1,2133007.9073435,13109560.231366502,64499.0,8148.0,0.26099706744868034,-0.14956011730205288,0.02639296187683282,Positive Gamma,1.3886480644155004,0.5813531449453191,0.41864685505468086,
2026-09-07,ETF,科创50ETF华夏,9月,1.705,1.75,1.7,1.7,1.85,79606486.64923073,726238973.4191654,1841760.0,1243472.0,0.02639296187683282,-0.0029325513196482023,-0.0029325513196482023,Positive Gamma,1.246218642824093,0.5548073633906204,0.44519263660937947,
2026-09-07,ETF,科创50ETF易方达,10月,1.652,1.7,1.45,1.65,1.9,259362.90941567993,3979267.7345411195,18044.0,8534.0,0.029055690072639306,-0.12227602905569002,-0.001210653753026647,Positive Gamma,1.1394459920930555,0.5325892760575445,0.46741072394245553,
2026-09-07,ETF,科创50ETF易方达,12月,1.652,2.0,1.25,1.6,2.15,1743304.9675216002,18238514.864418242,101006.0,55295.0,0.21065375302663436,-0.2433414043583535,-0.03147699757869238,Positive Gamma,1.2113710560117916,0.5477918564225487,0.45220814357745104,
2026-09-07,ETF,科创50ETF易方达,3月,1.652,2.1,1.4,1.6,2.0,542536.0504255998,3722048.9729740787,18992.0,4152.0,0.27118644067796627,-0.15254237288135597,-0.03147699757869238,Positive Gamma,1.3412699137519088,0.572881369155131,0.4271186308448692,
2026-09-07,ETF,科创50ETF易方达,9月,1.652,1.65,1.65,1.65,1.75,20640860.622558393,134315042.97472125,385833.0,170193.0,-0.001210653753026647,-0.001210653753026647,-0.001210653753026647,Positive Gamma,1.3631582861728961,0.5768374865741698,0.4231625134258301,
