trade_date,market_type,underlying,contract_month,underlying_price,gamma_regime,price_wall,call_wall,put_wall,price_wall_distance,front_month_concentration,expiry_structure_state,primary_month,expiring_month,primary_selection_reason,primary_selection_confidence,is_primary_analysis_month,is_expiring_microstructure,analysis_month_role,put_skew,risk_reversal_25d,iv_surface_state,primary_iv_surface_state,wall_lifecycle_state,iv_surface_bias,delta_bias,normalized_net_gex,vega_risk_ratio,theta_burn_rate,rho_risk_ratio,market_structure_state,state_confidence
2026-09-09,ETF,上证50ETF华夏,10月,3.021,Positive Gamma,3.0,3.1,3.0,-0.006951340615690138,0.765112410439097,normal_expiry_structure,9月,,front_month_default,medium,False,False,next_month,0.08110000000000002,-0.060000000000000026,front_iv_inversion,front_iv_inversion,new_wall,0.4118524729644748,0.09428020584318536,0.16858798315687476,0.07180065697560221,0.018902293364233835,0.001757465113004279,mixed_or_unclear_structure,1.0
2026-09-09,ETF,上证50ETF华夏,12月,3.021,Positive Gamma,3.0,3.0,2.7,-0.006951340615690138,0.765112410439097,normal_expiry_structure,9月,,front_month_default,medium,False,False,other_month,0.129,-0.0866,front_iv_inversion,front_iv_inversion,new_wall,0.39786034981010515,0.1745643621018783,0.3560246135576144,0.05349618196160658,0.009059780359480435,0.002966844639873082,mixed_or_unclear_structure,1.0
2026-09-09,ETF,上证50ETF华夏,3月,3.021,Positive Gamma,3.1,3.1,2.8,0.02615028136378683,0.765112410439097,low_expiry_influence,9月,,front_month_default,medium,False,False,far_month,0.15189999999999998,-0.09719999999999998,put_skew_elevated,front_iv_inversion,new_wall,0.42668635415276673,0.2559531413947575,0.3693549451297331,0.07410205675913092,0.004963102023919164,0.009759380899618324,mixed_or_unclear_structure,1.0
2026-09-09,ETF,上证50ETF华夏,9月,3.021,Positive Gamma,3.0,3.1,3.0,-0.006951340615690138,0.765112410439097,front_month_concentrated,9月,,front_month_default,medium,True,False,primary_analysis,0.033500000000000016,-0.026900000000000007,front_iv_inversion,front_iv_inversion,new_wall,0.18509381398315042,0.21990805080175074,0.20123611178099407,0.041823773842133254,0.07447453000018847,0.002105881806012805,mixed_or_unclear_structure,1.0
2026-09-09,ETF,中证500ETF南方,10月,7.785,Positive Gamma,8.0,8.0,7.0,0.027617212588310736,0.8171010642974411,low_expiry_influence,9月,,front_month_default,medium,False,False,next_month,0.0,0.0,front_iv_inversion,front_iv_inversion,new_wall,0.0,0.19205282931907244,0.09062930301323306,0.057200383357921145,0.03461668139066296,0.0016608699292752474,mixed_or_unclear_structure,1.0
2026-09-09,ETF,中证500ETF南方,12月,7.785,Positive Gamma,8.0,8.0,6.5,0.027617212588310736,0.8171010642974411,normal_expiry_structure,9月,,front_month_default,medium,False,False,other_month,0.16660000000000003,-0.13160000000000002,front_iv_inversion,front_iv_inversion,new_wall,0.48949228194160327,0.04306215800989304,0.25244997994065976,0.03445826211167306,0.009478040288121147,-0.0021774451379728164,mixed_or_unclear_structure,1.0
2026-09-09,ETF,中证500ETF南方,3月,7.785,Positive Gamma,7.75,7.75,7.75,-0.004495825305073864,0.8171010642974411,low_expiry_influence,9月,,front_month_default,medium,False,False,far_month,0.22869999999999996,-0.17389999999999997,put_skew_elevated,front_iv_inversion,new_wall,0.4933821910414869,0.299771123719578,0.37224516991078554,0.028989231574433453,0.00421302854260287,0.0025828095309329523,mixed_or_unclear_structure,1.0
2026-09-09,ETF,中证500ETF南方,9月,7.785,Positive Gamma,7.75,8.0,7.75,-0.004495825305073864,0.8171010642974411,front_month_concentrated,9月,,front_month_default,medium,True,False,primary_analysis,0.0814,-0.07729999999999998,front_iv_inversion,front_iv_inversion,new_wall,0.301418795120347,-0.07180514680375985,0.0712722450935691,0.027918033896518524,0.06483079480407979,-0.0009489246282212051,mixed_or_unclear_structure,1.0
2026-09-09,ETF,中证500ETF嘉实,10月,3.154,Positive Gamma,3.1,3.2,2.9,-0.017121116043119833,0.6707114033995051,low_expiry_influence,9月,,front_month_default,medium,False,False,next_month,0.10600000000000004,-0.09480000000000002,front_iv_inversion,front_iv_inversion,new_wall,0.33085723766894837,0.038340009987912566,0.10343360992742011,0.04349470747435709,0.017470275442739682,-0.0007003202242448381,mixed_or_unclear_structure,1.0
2026-09-09,ETF,中证500ETF嘉实,12月,3.154,Positive Gamma,3.1,4.1,3.0,-0.017121116043119833,0.6707114033995051,normal_expiry_structure,9月,,front_month_default,medium,False,False,other_month,0.1462,-0.12009999999999996,front_iv_inversion,front_iv_inversion,new_wall,0.3743382363935191,0.24535314445762346,0.420549493270857,0.05506783624013838,0.0095556609096527,0.003864998527041318,mixed_or_unclear_structure,1.0
