trade_date,market_type,source_file,underlying,name,code,expiry,contract_month,raw_strike,strike,option_type,last_price,bid_price,ask_price,bid_volume,ask_volume,volume,open_interest,oi_change,amount,prev_settle,open_price,high_price,low_price,iv,delta,gamma,vega,theta,rho,theoretical_price,moneyness,leverage,real_leverage,parse_error
2026-07-13,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月3400,90007629,,7月,3400.0,3.4,call,0.3684,0.3571,0.3644,1.0,5.0,713.0,1229.0,257.0,2879566.0,0.4671,0.4185,0.4753,0.334,0.004699999999999999,0.9062,0.5738,0.001,-0.0028,0.0008,0.3847,0.001032,10.18,9.23,
2026-07-13,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF沽7月3400,90007631,,7月,3400.0,3.4,put,0.0127,0.0125,0.0127,41.0,80.0,124394.0,48381.0,7680.0,11416794.0,0.007,0.0079,0.0182,0.0039,0.0046500000000000005,-0.0916,0.5699,0.001,-0.0023,-0.0001,0.0296,-0.001032,295.35,-27.05,
2026-07-13,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月3500,90007630,,7月,3500.0,3.5,call,0.272,0.2753,0.2766,15.0,5.0,3394.0,2483.0,1555.0,10189970.0,0.3681,0.3252,0.3804,0.2502,0.0039299999999999995,0.8678,0.877,0.0013,-0.003,0.0008,0.306,0.000717,13.79,11.97,
2026-07-13,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF沽7月3500,90007632,,7月,3500.0,3.5,put,0.0255,0.0252,0.0256,6.0,15.0,113589.0,43333.0,16419.0,21901250.0,0.0127,0.014,0.0318,0.009,0.004543,-0.1647,0.8793,0.0015,-0.0034,-0.0002,0.0507,-0.000717,147.1,-24.23,
2026-07-13,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月3600,90007621,,7月,3600.0,3.6,call,0.198,0.198,0.1986,6.0,5.0,18289.0,7670.0,5784.0,39034394.0,0.2832,0.2454,0.2935,0.177,0.0042060000000000005,0.7398,1.2426,0.002,-0.0046,0.0007,0.2364,0.00041900000000000005,18.94,14.01,
2026-07-13,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF沽7月3600,90007622,,7月,3600.0,3.6,put,0.048,0.048,0.0482,28.0,1.0,194620.0,60087.0,22389.0,71666542.0,0.0249,0.0292,0.0622,0.0196,0.0044729999999999995,-0.2714,1.1936,0.0021,-0.0045,-0.0003,0.081,-0.00041900000000000005,78.15,-21.21,
2026-07-13,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月3700,90007565,,7月,3700.0,3.7,call,0.1349,0.1348,0.1349,1.0,37.0,80094.0,17979.0,10726.0,120013905.0,0.2018,0.189,0.2133,0.119,0.004263,0.5975,1.4621,0.0024,-0.0054,0.0006,0.1771,0.000138,27.81,16.61,
2026-07-13,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF沽7月3700,90007574,,7月,3700.0,3.7,put,0.0855,0.0854,0.0855,52.0,9.0,228150.0,53301.0,2292.0,159700430.0,0.046,0.052,0.1037,0.04,0.004519,-0.4064,1.3825,0.0024,-0.0052,-0.0004,0.1216,-0.000138,43.87,-17.83,
2026-07-13,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月3800,90007566,,7月,3800.0,3.8,call,0.0855,0.0855,0.0856,80.0,2.0,186020.0,40694.0,25981.0,185574391.0,0.1394,0.1292,0.1465,0.0755,0.004263,0.4478,1.4944,0.0025,-0.0054,0.0004,0.1286,-0.000129,43.87,19.65,
2026-07-13,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF沽7月3800,90007575,,7月,3800.0,3.8,put,0.1375,0.1375,0.1379,7.0,1.0,241019.0,48750.0,4337.0,264992878.0,0.0826,0.0936,0.161,0.0726,0.004576,-0.5467,1.3947,0.0025,-0.0054,-0.0006,0.1729,0.000129,27.28,-14.91,
2026-07-13,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月3900,90007567,,7月,3900.0,3.9,call,0.0532,0.0532,0.0533,28.0,48.0,181920.0,67739.0,33962.0,118677608.0,0.0899,0.073,0.0951,0.0472,0.004386,0.3144,1.3036,0.0022,-0.005,0.0003,0.0903,-0.00038199999999999996,70.51,22.17,
2026-07-13,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF沽7月3900,90007576,,7月,3900.0,3.9,put,0.2068,0.2055,0.2069,1.0,40.0,128608.0,48026.0,3894.0,213669804.0,0.1319,0.1502,0.2279,0.1209,0.0048070000000000005,-0.668,1.2163,0.0023,-0.0051,-0.0007,0.2345,0.00038199999999999996,18.14,-12.12,
2026-07-13,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月4000,90007568,,7月,4000.0,4.0,call,0.032,0.032,0.0321,731.0,83.0,171148.0,89569.0,31085.0,68992898.0,0.056,0.0516,0.0599,0.0291,0.0045049999999999995,0.2095,1.0289,0.0018,-0.0041,0.0002,0.0614,-0.000623,117.22,24.56,
2026-07-13,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF沽7月4000,90007577,,7月,4000.0,4.0,put,0.2867,0.2866,0.2874,5.0,1.0,68062.0,45380.0,-1210.0,163944867.0,0.2001,0.2222,0.314,0.1858,0.005077000000000001,-0.7606,0.985,0.0019,-0.0045,-0.0009,0.3055,0.000623,13.08,-9.95,
2026-07-13,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月4100,90007569,,7月,4100.0,4.1,call,0.0201,0.02,0.0201,2.0,30.0,105248.0,84833.0,16215.0,26975308.0,0.0357,0.0325,0.038,0.019,0.004723,0.1394,0.7567,0.0014,-0.0033,0.0001,0.0404,-0.000851,186.62,26.01,
2026-07-13,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF沽7月4100,90007578,,7月,4100.0,4.1,put,0.3772,0.368,0.3764,5.0,1.0,32599.0,29874.0,-1578.0,107077584.0,0.2805,0.3106,0.4037,0.2633,0.005588000000000001,-0.8166,0.7654,0.0016,-0.0042,-0.0009,0.3844,0.000851,9.94,-8.12,
2026-07-13,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月4200,90007570,,7月,4200.0,4.2,call,0.0129,0.0128,0.0129,101.0,25.0,96655.0,89700.0,7117.0,15789263.0,0.0233,0.0195,0.0243,0.012,0.004954,0.0929,0.5407,0.001,-0.0026,0.0001,0.0258,-0.0010689999999999999,290.78,27.03,
2026-07-13,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF沽7月4200,90007579,,7月,4200.0,4.2,put,0.4676,0.4598,0.4689,1.0,1.0,14472.0,30641.0,-826.0,61029856.0,0.3663,0.4,0.4953,0.3489,0.005863,-0.8652,0.596,0.0013,-0.0035,-0.001,0.4696,0.0010689999999999999,8.02,-6.94,
