trade_date,price_code,underlying,spot_name,underlying_price,prev_close,open_price,high_price,low_price,change,pct_change,turnover_rate,amount,market_value
2026-09-16,SH510050,上证50ETF华夏,上证50ETF华夏,2.98,2.958,2.958,2.985,2.944,0.022,7.400000000000001e-05,0.1045,1982280473.0,
2026-09-16,SH510300,沪深300ETF华泰柏瑞,沪深300ETF华泰柏瑞,4.55,4.523,4.522,4.555,4.485,0.027,6e-05,0.0512,4384779786.0,
2026-09-16,SZ159919,沪深300ETF嘉实,沪深300ETF嘉实,4.749,4.717,4.716,4.755,4.682,0.032,6.8e-05,0.020499999999999997,609868591.776,
2026-09-16,SH510500,中证500ETF南方,中证500ETF南方,7.71,7.588,7.583,7.729,7.542,0.122,0.000161,0.11130000000000001,3535308241.0,
2026-09-16,SZ159922,中证500ETF嘉实,中证500ETF嘉实,3.125,3.079,3.074,3.135,3.06,0.046,0.000149,0.0895,732835564.75,
2026-09-16,SZ159901,深证100ETF易方达,深证100ETF易方达,3.448,3.42,3.42,3.458,3.384,0.028,8.2e-05,0.0713,256002580.96,
2026-09-16,SZ159915,创业板ETF易方达,创业板ETF易方达,3.33,3.268,3.264,3.346,3.246,0.062,0.00018999999999999998,0.2867,6265204123.704,
2026-09-16,SH588000,科创50ETF华夏,科创50ETF华夏,1.708,1.638,1.638,1.712,1.638,0.07,0.000427,0.16010000000000002,8039920184.0,
2026-09-16,SH588080,科创50ETF易方达,科创50ETF易方达,1.656,1.589,1.586,1.661,1.586,0.067,0.000422,0.0643,1969305443.0,
