underlying,contract_month,strike,underlying_price,expiry,expiry_month,expiry_source,expiry_confidence,days_to_expiry,business_days_to_expiry_estimate,call_gex,put_gex,net_gex,total_abs_gex,call_oi,put_oi,total_oi,call_volume,put_volume,total_volume,avg_iv,avg_delta,avg_gamma,liquidity_adjusted_call_gex,liquidity_adjusted_put_gex,liquidity_adjusted_net_gex,liquidity_adjusted_abs_gex,active_gex,stable_gex,avg_spread_bps,avg_liquidity_score,avg_pricing_quality_score,avg_volume_oi_ratio,avg_oi_change_rate,price_wall_score,in_price_range
上证50ETF华夏,9月,2.65,2.976,2026-09-23,202609,rule_fourth_wednesday,medium,9.0,7.0,0.0,-2904952.9425408007,-2904952.9425408007,2904952.9425408007,1492.0,25645.0,27137.0,79.0,517.0,596.0,0.14385,0.4968,0.06395,0.0,-255821.6309391361,-255821.6309391361,255821.6309391361,-58563.48883968001,-2846389.4537011203,3387.0060829116187,0.3116835877136794,0.785520640788663,0.0365544684407697,0.007141696020786948,0.5442760296866015,False
上证50ETF华夏,9月,2.7,2.976,2026-09-23,202609,rule_fourth_wednesday,medium,9.0,7.0,220.70587392000002,-4852844.08952832,-4852623.383654401,4853064.79540224,1246.0,20309.0,21555.0,111.0,1497.0,1608.0,0.1377,0.4928,0.13499999999999998,119.21153127900148,-1113652.329689088,-1113533.1181578091,1113771.541220367,-357689.11785984,-4494934.26579456,828.9160649442806,0.3848110103831743,0.7705123479542941,0.08139811738495778,-0.02134349258141375,0.6188565776547824,False
上证50ETF华夏,9月,2.75,2.976,2026-09-23,202609,rule_fourth_wednesday,medium,9.0,7.0,6885.81070848,-5142112.0837632,-5135226.27305472,5148997.89447168,1364.0,13870.0,15234.0,129.0,2020.0,2149.0,0.11975,0.4897,0.21215,3639.5278975306232,-1327977.32401152,-1324337.7961139893,1331616.8519090507,-748236.0441139198,-4386990.2289408,1179.4080928251456,0.39340498419493675,0.7840566873339239,0.12010642391541058,0.0006952169076751957,0.597485938398505,False
上证50ETF华夏,9月,2.8,2.976,2026-09-23,202609,rule_fourth_wednesday,medium,9.0,7.0,286530.60372480005,-12984723.0531072,-12698192.4493824,13271253.656832,3490.0,20445.0,23935.0,678.0,2933.0,3611.0,0.10275,0.48285,0.4049,161853.3322474177,-2476401.6692920323,-2314548.3370446144,2638255.00153945,-1807099.0439731202,-10891093.40540928,784.8075760628657,0.37779465708077636,0.7818491208167897,0.16886369958957606,-0.016663283526575114,0.7556416223404255,False
上证50ETF华夏,9月,2.85,2.976,2026-09-23,202609,rule_fourth_wednesday,medium,9.0,7.0,2608288.2017280003,-33483902.335948803,-30875614.1342208,36092190.537676804,4100.0,24767.0,28867.0,2204.0,9689.0,11893.0,0.09469999999999999,0.4528,1.1224,1722214.9109843664,-7603211.51525105,-5880996.604266684,9325426.426235417,-11696990.89609728,-19178623.23812352,419.29244400074896,0.4436780817565542,0.4883268482490272,0.46438350795265537,0.054374061834501775,0.8684265232652867,True
上证50ETF华夏,9月,2.9,2.976,2026-09-23,202609,rule_fourth_wednesday,medium,9.0,7.0,40038940.7437824,-152471829.3440717,-112432888.60028929,192510770.0878541,15915.0,58222.0,74137.0,14451.0,25520.0,39971.0,0.15195,0.3633,2.8987499999999997,32991960.688289378,-75744061.12121077,-42752100.432921395,108736021.80950014,-30475989.39469824,-81956899.20559105,81.93487185083816,0.660385487937529,0.49399038461538464,0.673166796878832,-0.026501334168688096,0.9590238642898217,True
上证50ETF华夏,9月,2.95,2.976,2026-09-23,202609,rule_fourth_wednesday,medium,9.0,7.0,190800001.27549443,-205892449.83696386,-15092448.561469436,396692451.1124583,40680.0,49323.0,90003.0,35060.0,38949.0,74009.0,0.14865,0.16310000000000002,5.00455,145357050.2459995,-167020720.8672901,-21663670.621290624,312377771.1132896,1853173.255034864,-16945621.81650432,38.20277182333278,0.7865165584809694,0.6851351351351351,0.8257603676493588,0.06153034041177335,0.976253608994633,True
上证50ETF华夏,9月,3.0,2.976,2026-09-23,202609,rule_fourth_wednesday,medium,9.0,7.0,490772208.6083175,-284265959.52844805,206506249.07986945,775038168.1367655,99211.0,64451.0,163662.0,67997.0,41564.0,109561.0,0.14850000000000002,-0.10464999999999999,5.2827,310011718.4095216,-238505478.19701317,71506240.21250841,548517196.6065347,153043159.9765709,53463089.103298545,38.9345905293366,0.7353518916749553,0.78517666602773,0.6651353244999588,0.009225378595039274,0.9937355190962239,True
上证50ETF华夏,9月,3.1,2.976,2026-09-23,202609,rule_fourth_wednesday,medium,9.0,7.0,193095013.60816127,-39598671.13998336,153496342.4681779,232693684.74814463,132088.0,22166.0,154254.0,35271.0,10686.0,45957.0,0.17820000000000003,-0.40805,1.83385,50742560.79202807,-24480294.38233081,26262266.40969726,75222855.17435887,32471380.041523192,121024962.42665473,446.7015598279516,0.4404977256354785,0.4618441971383148,0.3745581073386214,-0.018846171947245156,0.978575630151428,True
上证50ETF华夏,9月,3.2,2.976,2026-09-23,202609,rule_fourth_wednesday,medium,9.0,7.0,38999708.876021765,-6613842.441277441,32385866.434744325,45613551.3172992,85042.0,7506.0,92548.0,5405.0,1640.0,7045.0,0.25685,-0.4491,0.7563500000000001,1040381.6146862343,-4428989.062585068,-3388607.4478988335,5469370.677271302,1033627.0722048003,31352239.362539526,537.4047227183064,0.34816555343406913,0.7773534635879218,0.14102435195529442,-0.013909961644034609,0.8997914719906077,False
