underlying,contract_month,expiry,expiry_month,expiry_source,expiry_confidence,days_to_expiry,business_days_to_expiry_estimate,month_total_abs_gex,month_net_gex,month_total_oi,month_total_volume,month_rank,month_count,expiry_role,expiry_gex_share,near_gex_ratio,next_gex_ratio,front_month_concentration,next_month_concentration,days_to_near_expiry,roll_progress,roll_shift_score,expiry_pressure,underlying_price,call_wall,put_wall,price_wall,gamma_regime,price_wall_distance,expiry_structure_state,roll_state,expiry_date_quality,front_month,primary_month,expiring_month,next_month,far_month,primary_selection_reason,primary_selection_note,primary_selection_confidence,primary_selection_dte,is_primary_analysis_month,is_expiring_microstructure,analysis_month_role
上证50ETF华夏,9月,2026-09-23,202609,rule_fourth_wednesday,medium,7.0,5.0,1696663537.087784,214007154.02368003,835898.0,534586.0,1,4,near,0.6778418331687885,0.6778418331687885,0.21775442856524646,0.6778418331687885,0.21775442856524646,7.0,0.24313905480538167,-0.4600874046035421,0.6778418331687885,2.98,3.0,3.0,3.0,Positive Gamma,0.006711409395973256,front_month_concentrated,expiry_week_concentrated,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=7，默认使用前月,medium,7.0,True,False,primary_analysis
上证50ETF华夏,10月,2026-10-28,202610,rule_fourth_wednesday,medium,42.0,30.0,545047503.573068,129609585.50344402,306912.0,184043.0,2,4,next,0.21775442856524646,0.6778418331687885,0.21775442856524646,0.6778418331687885,0.21775442856524646,7.0,0.24313905480538167,-0.4600874046035421,0.10887721428262323,2.98,3.0,3.0,3.0,Positive Gamma,0.006711409395973256,normal_expiry_structure,expiry_week_concentrated,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=7，默认使用前月,medium,7.0,False,False,next_month
上证50ETF华夏,12月,2026-12-23,202612,rule_fourth_wednesday,medium,98.0,70.0,231146139.9793,72395353.414668,236429.0,135378.0,3,4,deferred,0.09234625476916322,0.6778418331687885,0.21775442856524646,0.6778418331687885,0.21775442856524646,7.0,0.24313905480538167,-0.4600874046035421,0.04617312738458161,2.98,3.0,2.7,3.0,Positive Gamma,0.006711409395973256,low_expiry_influence,expiry_week_concentrated,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=7，默认使用前月,medium,7.0,False,False,other_month
上证50ETF华夏,3月,2027-03-24,202703,rule_fourth_wednesday,medium,189.0,135.0,30180333.518848002,11023241.585648,34089.0,6227.0,4,4,far,0.012057483496801823,0.6778418331687885,0.21775442856524646,0.6778418331687885,0.21775442856524646,7.0,0.24313905480538167,-0.4600874046035421,0.006028741748400911,2.98,3.0,2.8,3.0,Positive Gamma,0.006711409395973256,low_expiry_influence,expiry_week_concentrated,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=7，默认使用前月,medium,7.0,False,False,far_month
中证500ETF南方,9月,2026-09-23,202609,rule_fourth_wednesday,medium,7.0,5.0,2895281575.799319,99503933.73736516,898297.0,1175597.0,1,4,near,0.7655601439738179,0.7655601439738179,0.10918384585125218,0.7655601439738179,0.10918384585125218,7.0,0.1248180577646342,-0.6563762981225657,0.7655601439738179,7.71,7.75,7.75,7.75,Positive Gamma,0.005188067444876765,front_month_concentrated,expiry_week_concentrated,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=7，默认使用前月,medium,7.0,True,False,primary_analysis
中证500ETF南方,10月,2026-10-28,202610,rule_fourth_wednesday,medium,42.0,30.0,412923765.371535,38635908.57708299,204057.0,230031.0,2,4,next,0.10918384585125218,0.7655601439738179,0.10918384585125218,0.7655601439738179,0.10918384585125218,7.0,0.1248180577646342,-0.6563762981225657,0.05459192292562609,7.71,8.0,7.5,7.5,Positive Gamma,-0.027237354085603127,normal_expiry_structure,expiry_week_concentrated,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=7，默认使用前月,medium,7.0,False,False,next_month
中证500ETF南方,12月,2026-12-23,202612,rule_fourth_wednesday,medium,98.0,70.0,377638562.590146,84354195.28251599,279418.0,115305.0,3,4,deferred,0.09985385696614422,0.7655601439738179,0.10918384585125218,0.7655601439738179,0.10918384585125218,7.0,0.1248180577646342,-0.6563762981225657,0.04992692848307211,7.71,8.0,6.5,8.0,Positive Gamma,0.03761348897535677,low_expiry_influence,expiry_week_concentrated,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=7，默认使用前月,medium,7.0,False,False,other_month
中证500ETF南方,3月,2027-03-24,202703,rule_fourth_wednesday,medium,189.0,135.0,96068723.992434,35642109.318876,70668.0,5124.0,4,4,far,0.025402153208785687,0.7655601439738179,0.10918384585125218,0.7655601439738179,0.10918384585125218,7.0,0.1248180577646342,-0.6563762981225657,0.012701076604392843,7.71,8.0,7.75,7.75,Positive Gamma,0.005188067444876765,low_expiry_influence,expiry_week_concentrated,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=7，默认使用前月,medium,7.0,False,False,far_month
中证500ETF嘉实,9月,2026-09-23,202609,rule_fourth_wednesday,medium,7.0,5.0,216685203.41796875,21831408.49609375,217285.0,118804.0,1,4,near,0.6142957228793366,0.6142957228793366,0.12270711064231782,0.6142957228793366,0.12270711064231782,7.0,0.16649476102551844,-0.49158861223701883,0.6142957228793366,3.125,3.2,3.1,3.1,Positive Gamma,-0.008000000000000007,near_month_pressure,expiry_week_concentrated,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=7，默认使用前月,medium,7.0,True,False,primary_analysis
中证500ETF嘉实,10月,2026-10-28,202610,rule_fourth_wednesday,medium,42.0,30.0,43283412.59765625,8062854.785156251,41656.0,28099.0,2,4,next,0.12270711064231782,0.6142957228793366,0.12270711064231782,0.6142957228793366,0.12270711064231782,7.0,0.16649476102551844,-0.49158861223701883,0.06135355532115891,3.125,3.1,2.9,3.1,Positive Gamma,-0.008000000000000007,normal_expiry_structure,expiry_week_concentrated,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=7，默认使用前月,medium,7.0,False,False,next_month
