underlying,contract_month,expiry,expiry_month,expiry_source,expiry_confidence,days_to_expiry,business_days_to_expiry_estimate,month_total_abs_gex,month_net_gex,month_total_oi,month_total_volume,month_rank,month_count,expiry_role,expiry_gex_share,near_gex_ratio,next_gex_ratio,front_month_concentration,next_month_concentration,days_to_near_expiry,roll_progress,roll_shift_score,expiry_pressure,underlying_price,call_wall,put_wall,price_wall,gamma_regime,price_wall_distance,expiry_structure_state,roll_state,expiry_date_quality,front_month,primary_month,expiring_month,next_month,far_month,primary_selection_reason,primary_selection_note,primary_selection_confidence,primary_selection_dte,is_primary_analysis_month,is_expiring_microstructure,analysis_month_role
中证500ETF嘉实,12月,2026-12-23,202612,rule_fourth_wednesday,medium,105.0,75.0,57697115.394248195,24264492.64224124,102859.0,38363.0,3,4,deferred,0.1972120397554056,0.6707114033995051,0.07760965970734064,0.6707114033995051,0.07760965970734064,14.0,0.10371171350586383,-0.5931017436921644,0.0986060198777028,3.154,4.1,3.0,3.1,Positive Gamma,-0.017121116043119833,normal_expiry_structure,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,other_month
中证500ETF嘉实,3月,2027-03-24,202703,rule_fourth_wednesday,medium,196.0,140.0,15935045.61496828,5463160.98231852,25116.0,1990.0,4,4,far,0.05446689713774858,0.6707114033995051,0.07760965970734064,0.6707114033995051,0.07760965970734064,14.0,0.10371171350586383,-0.5931017436921644,0.02723344856887429,3.154,3.1,3.1,3.1,Positive Gamma,-0.017121116043119833,low_expiry_influence,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,far_month
创业板ETF易方达,9月,2026-09-23,202609,rule_fourth_wednesday,medium,14.0,10.0,1221989740.898063,91618789.85558385,1284809.0,1016812.0,1,4,near,0.8192332216402349,0.8192332216402349,0.08370686989682066,0.8192332216402349,0.08370686989682066,14.0,0.09270478814860048,-0.7355263517434143,0.8192332216402349,3.373,3.5,3.3,3.4,Positive Gamma,0.008004743551734306,front_month_concentrated,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,True,False,primary_analysis
创业板ETF易方达,10月,2026-10-28,202610,rule_fourth_wednesday,medium,49.0,35.0,124859360.6248109,11672211.109909471,142820.0,82448.0,2,4,next,0.08370686989682066,0.8192332216402349,0.08370686989682066,0.8192332216402349,0.08370686989682066,14.0,0.09270478814860048,-0.7355263517434143,0.04185343494841033,3.373,3.4,3.4,3.4,Positive Gamma,0.008004743551734306,low_expiry_influence,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,next_month
创业板ETF易方达,12月,2026-12-23,202612,rule_fourth_wednesday,medium,105.0,75.0,130276704.38132441,22108221.040975936,277540.0,66910.0,3,4,deferred,0.08733870724360522,0.8192332216402349,0.08370686989682066,0.8192332216402349,0.08370686989682066,14.0,0.09270478814860048,-0.7355263517434143,0.04366935362180261,3.373,3.5,2.95,3.5,Positive Gamma,0.037651941891491125,low_expiry_influence,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,other_month
创业板ETF易方达,3月,2027-03-24,202703,rule_fourth_wednesday,medium,196.0,140.0,14500398.476827044,2403336.358378621,30106.0,4522.0,4,4,far,0.009721201219339145,0.8192332216402349,0.08370686989682066,0.8192332216402349,0.08370686989682066,14.0,0.09270478814860048,-0.7355263517434143,0.004860600609669572,3.373,4.0,2.95,3.4,Positive Gamma,0.008004743551734306,low_expiry_influence,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,far_month
沪深300ETF华泰柏瑞,9月,2026-09-23,202609,rule_fourth_wednesday,medium,14.0,10.0,2001064803.1497626,368316997.05165297,751116.0,399828.0,1,4,near,0.7722813872866319,0.7722813872866319,0.10242460018157824,0.7722813872866319,0.10242460018157824,14.0,0.11709603186556523,-0.6698567871050536,0.7722813872866319,4.637,4.7,4.6,4.7,Positive Gamma,0.013586370498167133,front_month_concentrated,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,True,False,primary_analysis
沪深300ETF华泰柏瑞,10月,2026-10-28,202610,rule_fourth_wednesday,medium,49.0,35.0,265393243.6726885,77200833.85019974,121548.0,60623.0,2,4,next,0.10242460018157824,0.7722813872866319,0.10242460018157824,0.7722813872866319,0.10242460018157824,14.0,0.11709603186556523,-0.6698567871050536,0.05121230009078912,4.637,4.7,4.6,4.6,Positive Gamma,-0.007979296959240822,normal_expiry_structure,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,next_month
沪深300ETF华泰柏瑞,12月,2026-12-23,202612,rule_fourth_wednesday,medium,105.0,75.0,278943229.96623236,90071302.74828425,215768.0,82901.0,3,4,deferred,0.10765401713800138,0.7722813872866319,0.10242460018157824,0.7722813872866319,0.10242460018157824,14.0,0.11709603186556523,-0.6698567871050536,0.05382700856900069,4.637,5.0,4.3,4.8,Positive Gamma,0.035152037955574755,normal_expiry_structure,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,other_month
沪深300ETF华泰柏瑞,3月,2027-03-24,202703,rule_fourth_wednesday,medium,196.0,140.0,45707140.54660109,19301108.311582588,35592.0,2237.0,4,4,far,0.01763999539378852,0.7722813872866319,0.10242460018157824,0.7722813872866319,0.10242460018157824,14.0,0.11709603186556523,-0.6698567871050536,0.00881999769689426,4.637,4.7,4.2,4.7,Positive Gamma,0.013586370498167133,low_expiry_influence,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,far_month
