underlying,contract_month,expiry,expiry_month,expiry_source,expiry_confidence,days_to_expiry,business_days_to_expiry_estimate,month_total_abs_gex,month_net_gex,month_total_oi,month_total_volume,month_rank,month_count,expiry_role,expiry_gex_share,near_gex_ratio,next_gex_ratio,front_month_concentration,next_month_concentration,days_to_near_expiry,roll_progress,roll_shift_score,expiry_pressure,underlying_price,call_wall,put_wall,price_wall,gamma_regime,price_wall_distance,expiry_structure_state,roll_state,expiry_date_quality,front_month,primary_month,expiring_month,next_month,far_month,primary_selection_reason,primary_selection_note,primary_selection_confidence,primary_selection_dte,is_primary_analysis_month,is_expiring_microstructure,analysis_month_role
上证50ETF华夏,9月,2026-09-23,202609,rule_fourth_wednesday,medium,15.0,11.0,1611415724.7390919,322848887.380413,879213.0,352621.0,1,4,near,0.7789703051823038,0.7789703051823038,0.10519809452571763,0.7789703051823038,0.10519809452571763,15.0,0.11897970404784558,-0.6737722106565862,0.7789703051823038,3.017,3.0,3.0,3.0,Positive Gamma,-0.005634736493205117,front_month_concentrated,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=15，默认使用前月,medium,15.0,True,False,primary_analysis
上证50ETF华夏,10月,2026-10-28,202610,rule_fourth_wednesday,medium,50.0,36.0,217617876.5783096,33170064.58882059,138490.0,42859.0,2,4,next,0.10519809452571763,0.7789703051823038,0.10519809452571763,0.7789703051823038,0.10519809452571763,15.0,0.11897970404784558,-0.6737722106565862,0.052599047262858814,3.017,3.0,3.0,3.0,Positive Gamma,-0.005634736493205117,normal_expiry_structure,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=15，默认使用前月,medium,15.0,False,False,next_month
上证50ETF华夏,12月,2026-12-23,202612,rule_fourth_wednesday,medium,106.0,76.0,216412427.31370765,76067446.87686199,215272.0,254779.0,3,4,deferred,0.1046153714163966,0.7789703051823038,0.10519809452571763,0.7789703051823038,0.10519809452571763,15.0,0.11897970404784558,-0.6737722106565862,0.0523076857081983,3.017,3.0,2.7,3.0,Positive Gamma,-0.005634736493205117,normal_expiry_structure,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=15，默认使用前月,medium,15.0,False,False,other_month
上证50ETF华夏,3月,2027-03-24,202703,rule_fourth_wednesday,medium,197.0,141.0,23202434.6270241,8442433.1226074,26541.0,2372.0,4,4,far,0.011216228875581949,0.7789703051823038,0.10519809452571763,0.7789703051823038,0.10519809452571763,15.0,0.11897970404784558,-0.6737722106565862,0.0056081144377909745,3.017,3.1,2.8,3.1,Positive Gamma,0.0275107722903547,low_expiry_influence,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=15，默认使用前月,medium,15.0,False,False,far_month
中证500ETF南方,9月,2026-09-23,202609,rule_fourth_wednesday,medium,15.0,11.0,2712625854.162824,208128652.81808692,995990.0,1071560.0,1,4,near,0.8214388117876598,0.8214388117876598,0.04480296198683621,0.8214388117876598,0.04480296198683621,15.0,0.0517210822004291,-0.7766358498008236,0.8214388117876598,7.788,8.0,7.75,7.75,Positive Gamma,-0.004879301489471022,front_month_concentrated,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=15，默认使用前月,medium,15.0,True,False,primary_analysis
中证500ETF南方,10月,2026-10-28,202610,rule_fourth_wednesday,medium,50.0,36.0,147952192.2808565,11567174.505242404,86869.0,59091.0,2,4,next,0.04480296198683621,0.8214388117876598,0.04480296198683621,0.8214388117876598,0.04480296198683621,15.0,0.0517210822004291,-0.7766358498008236,0.022401480993418106,7.788,8.0,6.75,8.0,Positive Gamma,0.027221366204416952,low_expiry_influence,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=15，默认使用前月,medium,15.0,False,False,next_month
中证500ETF南方,12月,2026-12-23,202612,rule_fourth_wednesday,medium,106.0,76.0,354697330.217773,92611366.5528533,253791.0,65400.0,3,4,deferred,0.10740963521792556,0.8214388117876598,0.04480296198683621,0.8214388117876598,0.04480296198683621,15.0,0.0517210822004291,-0.7766358498008236,0.05370481760896278,7.788,8.0,6.5,8.0,Positive Gamma,0.027221366204416952,normal_expiry_structure,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=15，默认使用前月,medium,15.0,False,False,other_month
中证500ETF南方,3月,2027-03-24,202703,rule_fourth_wednesday,medium,197.0,141.0,87010582.11794785,32428132.9013664,63533.0,1813.0,4,4,far,0.02634859100757855,0.8214388117876598,0.04480296198683621,0.8214388117876598,0.04480296198683621,15.0,0.0517210822004291,-0.7766358498008236,0.013174295503789275,7.788,7.75,7.75,7.75,Positive Gamma,-0.004879301489471022,low_expiry_influence,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=15，默认使用前月,medium,15.0,False,False,far_month
中证500ETF嘉实,9月,2026-09-23,202609,rule_fourth_wednesday,medium,15.0,11.0,198969053.99775803,26370326.057463,227157.0,100893.0,1,4,near,0.6773676061574393,0.6773676061574393,0.07682172847974397,0.6773676061574393,0.07682172847974397,15.0,0.10186000378366591,-0.6005458776776953,0.6773676061574393,3.162,3.3,3.2,3.2,Positive Gamma,0.012017710309930596,front_month_concentrated,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=15，默认使用前月,medium,15.0,True,False,primary_analysis
中证500ETF嘉实,10月,2026-10-28,202610,rule_fourth_wednesday,medium,50.0,36.0,22565511.70020756,1996458.0603922808,22260.0,12315.0,2,4,next,0.07682172847974397,0.6773676061574393,0.07682172847974397,0.6773676061574393,0.07682172847974397,15.0,0.10186000378366591,-0.6005458776776953,0.038410864239871986,3.162,3.2,2.9,3.1,Positive Gamma,-0.019607843137254832,low_expiry_influence,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=15，默认使用前月,medium,15.0,False,False,next_month
