trade_date,price_code,underlying,spot_name,underlying_price,prev_close,open_price,high_price,low_price,change,pct_change,turnover_rate,amount,market_value
2026-08-03,SH510050,上证50ETF华夏,上证50ETF华夏,2.99,3.033,3.018,3.029,2.98,-0.043,-0.000142,0.0351,1871447698.0,
2026-08-03,SH510300,沪深300ETF华泰柏瑞,沪深300ETF华泰柏瑞,4.599,4.653,4.624,4.638,4.591,-0.054,-0.00011599999999999999,0.009300000000000001,4269964026.0,
2026-08-03,SZ159919,沪深300ETF嘉实,沪深300ETF嘉实,4.801,4.851,4.825,4.839,4.79,-0.05,-0.000103,0.0388,778814460.449,
2026-08-03,SH510500,中证500ETF南方,中证500ETF南方,7.42,7.5,7.461,7.52,7.417,-0.08,-0.000107,0.0149,2232636377.0,
2026-08-03,SZ159922,中证500ETF嘉实,中证500ETF嘉实,3.01,3.047,3.026,3.048,3.008,-0.037,-0.000121,0.2796,399712701.589,
2026-08-03,SZ159901,深证100ETF易方达,深证100ETF易方达,3.54,3.578,3.555,3.578,3.529,-0.038,-0.000106,0.0464,344622932.779,
2026-08-03,SZ159915,创业板ETF易方达,创业板ETF易方达,3.325,3.368,3.323,3.365,3.3,-0.043,-0.000128,0.2888,6381406431.972,
2026-08-03,SH588000,科创50ETF华夏,科创50ETF华夏,1.636,1.728,1.698,1.71,1.635,-0.092,-0.0005319999999999999,0.071,10758159109.0,
2026-08-03,SH588080,科创50ETF易方达,科创50ETF易方达,1.586,1.676,1.641,1.658,1.586,-0.09,-0.0005369999999999999,0.0361,2622605038.0,
