trade_date,market_type,source_file,underlying,name,code,expiry,contract_month,raw_strike,strike,option_type,last_price,bid_price,ask_price,bid_volume,ask_volume,volume,open_interest,oi_change,amount,prev_settle,open_price,high_price,low_price,iv,delta,gamma,vega,theta,rho,theoretical_price,moneyness,leverage,real_leverage,parse_error
2026-07-10,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月3400,90007629,,7月,3400.0,3.4,call,0.4671,0.4565,0.4671,5.0,2.0,518.0,1002.0,-30.0,3066701.0,0.6437,0.6484,0.667,0.4671,1e-06,0.9023,0.4304,0.0013,-0.003,0.0011,0.4867,0.001359,8.27,7.46,
2026-07-10,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF沽7月3400,90007631,,7月,3400.0,3.4,put,0.007,0.007,0.0071,254.0,10.0,69730.0,46444.0,2326.0,2129477.0,0.0024,0.0023,0.007,0.0018,0.004301,-0.0516,0.3371,0.0008,-0.0012,-0.0001,0.0193,-0.001359,551.71,-28.44,
2026-07-10,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月3500,90007630,,7月,3500.0,3.5,call,0.3706,0.3654,0.3755,5.0,5.0,1406.0,1135.0,-311.0,6833575.0,0.5444,0.55,0.5762,0.3681,0.002959,0.9655,0.3537,0.0006,-0.001,0.0012,0.4016,0.001034,10.42,10.06,
2026-07-10,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF沽7月3500,90007632,,7月,3500.0,3.5,put,0.0127,0.0127,0.0128,8.0,28.0,43837.0,32314.0,5254.0,3094032.0,0.0051,0.0045,0.0131,0.004,0.004063000000000001,-0.0897,0.5469,0.0012,-0.0018,-0.0001,0.034,-0.001034,304.09,-27.27,
2026-07-10,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月3600,90007621,,7月,3600.0,3.6,call,0.2832,0.2802,0.2833,1.0,11.0,1283.0,2066.0,281.0,5122693.0,0.4464,0.4517,0.4836,0.2805,0.003378,0.8768,0.8278,0.0015,-0.0023,0.0011,0.3237,0.000728,13.64,11.96,
2026-07-10,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF沽7月3600,90007622,,7月,3600.0,3.6,put,0.0249,0.0249,0.025,76.0,53.0,97278.0,51588.0,3585.0,13563657.0,0.0097,0.0098,0.025,0.0081,0.003958,-0.1588,0.8394,0.0018,-0.0026,-0.0002,0.0559,-0.000728,155.1,-24.63,
2026-07-10,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月3700,90007565,,7月,3700.0,3.7,call,0.2018,0.2015,0.2019,1.0,5.0,14826.0,8870.0,1375.0,45460436.0,0.3526,0.3602,0.3934,0.2018,0.003348,0.7689,1.2478,0.0022,-0.0032,0.001,0.2544,0.00043799999999999997,19.14,14.72,
2026-07-10,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF沽7月3700,90007574,,7月,3700.0,3.7,put,0.046,0.046,0.0461,87.0,3.0,98366.0,65274.0,7248.0,28210298.0,0.02,0.019,0.047,0.0168,0.003876,-0.2597,1.1475,0.0024,-0.0034,-0.0004,0.0865,-0.00043799999999999997,83.96,-21.8,
2026-07-10,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月3800,90007566,,7月,3800.0,3.8,call,0.1394,0.1394,0.1404,14.0,5.0,43075.0,17594.0,1671.0,96496402.0,0.2703,0.278,0.308,0.1388,0.0035310000000000003,0.618,1.4817,0.0028,-0.0041,0.0008,0.1948,0.00016299999999999998,27.7,17.12,
2026-07-10,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF沽7月3800,90007575,,7月,3800.0,3.8,put,0.0826,0.0822,0.0826,3.0,63.0,137720.0,53507.0,5449.0,70414033.0,0.0377,0.034,0.0826,0.0312,0.003936,-0.391,1.3385,0.0028,-0.004,-0.0006,0.1267,-0.00016299999999999998,46.76,-18.28,
2026-07-10,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月3900,90007567,,7月,3900.0,3.9,call,0.0899,0.0898,0.0899,3.0,87.0,99984.0,39140.0,4444.0,162103311.0,0.1994,0.2036,0.2328,0.089,0.0035969999999999995,0.4655,1.5158,0.0029,-0.0042,0.0006,0.1451,-9.7e-05,42.96,20.0,
2026-07-10,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF沽7月3900,90007576,,7月,3900.0,3.9,put,0.1319,0.1319,0.132,45.0,3.0,187361.0,53874.0,3079.0,159660838.0,0.0653,0.06,0.1319,0.0558,0.003951,-0.5289,1.3817,0.0029,-0.0041,-0.0008,0.1769,9.7e-05,29.28,-15.49,
2026-07-10,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月4000,90007568,,7月,4000.0,4.0,call,0.056,0.0559,0.056,5.0,1.0,216201.0,67309.0,9943.0,255968898.0,0.1408,0.1416,0.17,0.056,0.0037020000000000004,0.3283,1.3394,0.0026,-0.0039,0.0004,0.1052,-0.00034500000000000004,68.96,22.64,
2026-07-10,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF沽7月4000,90007577,,7月,4000.0,4.0,put,0.2001,0.2001,0.2002,62.0,1.0,191132.0,54851.0,6489.0,241990598.0,0.1076,0.1,0.201,0.0928,0.00417,-0.6504,1.2181,0.0027,-0.004,-0.001,0.2368,0.00034500000000000004,19.3,-12.55,
2026-07-10,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月4100,90007569,,7月,4100.0,4.1,call,0.0357,0.0356,0.0357,52.0,30.0,214435.0,75280.0,12584.0,178875768.0,0.0966,0.1016,0.1221,0.0357,0.003898,0.2253,1.0565,0.0022,-0.0034,0.0003,0.0741,-0.00058,108.18,24.37,
2026-07-10,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF沽7月4100,90007578,,7月,4100.0,4.1,put,0.2805,0.2805,0.2806,6.0,5.0,95332.0,36738.0,7835.0,176622469.0,0.1639,0.1544,0.2808,0.1444,0.004484,-0.7407,0.9911,0.0024,-0.0037,-0.0011,0.3055,0.00058,13.77,-10.2,
2026-07-10,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月4200,90007570,,7月,4200.0,4.2,call,0.0233,0.0233,0.0234,124.0,8.0,184296.0,93699.0,16860.0,102614817.0,0.0654,0.0699,0.0863,0.0231,0.0041210000000000005,0.154,0.7901,0.0017,-0.0028,0.0002,0.0508,-0.000805,165.75,25.53,
2026-07-10,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF沽7月4200,90007579,,7月,4200.0,4.2,put,0.3663,0.3613,0.3663,5.0,9.0,30567.0,34368.0,1938.0,78801072.0,0.2328,0.222,0.367,0.2089,0.00475,-0.8087,0.7871,0.002,-0.0032,-0.0012,0.3821,0.000805,10.54,-8.53,
2026-07-10,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月4300,90007571,,7月,4300.0,4.3,call,0.0155,0.0154,0.0155,7.0,58.0,141852.0,104070.0,15625.0,54105252.0,0.0446,0.0456,0.0617,0.0155,0.004345000000000001,0.1057,0.5771,0.0013,-0.0023,0.0001,0.0339,-0.001019,249.16,26.34,
2026-07-10,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF沽7月4300,90007580,,7月,4300.0,4.3,put,0.4615,0.4611,0.4615,1.0,2.0,10333.0,30543.0,-100.0,36081025.0,0.3132,0.299,0.4615,0.2848,0.005304,-0.8431,0.6214,0.0018,-0.0031,-0.0013,0.465,0.001019,8.37,-7.06,
2026-07-10,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月4400,90007572,,7月,4400.0,4.4,call,0.0109,0.0109,0.011,7.0,121.0,95074.0,72732.0,11745.0,26329497.0,0.0306,0.0328,0.0448,0.0108,0.004604,0.075,0.422,0.001,-0.0019,0.0001,0.022,-0.0012230000000000001,354.31,26.59,
2026-07-10,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF沽7月4400,90007581,,7月,4400.0,4.4,put,0.5509,0.5509,0.5589,1.0,1.0,1540.0,11099.0,-292.0,6762585.0,0.4003,0.375,0.551,0.3697,0.005352,-0.8897,0.4831,0.0014,-0.0023,-0.0014,0.553,0.0012230000000000001,7.01,-6.24,
2026-07-10,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月4500,90007573,,7月,4500.0,4.5,call,0.0074,0.0074,0.0082,2.0,1.0,88685.0,76188.0,8315.0,17238759.0,0.0221,0.024,0.033,0.0074,0.004797999999999999,0.052,0.3044,0.0008,-0.0015,0.0001,0.0139,-0.001418,521.89,27.16,
2026-07-10,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF沽7月4500,90007582,,7月,4500.0,4.5,put,0.6482,0.6415,0.6575,5.0,1.0,394.0,7033.0,112.0,2127564.0,0.4933,0.4669,0.6489,0.4669,0.005803,-0.9077,0.3912,0.0012,-0.0022,-0.0015,0.6447,0.001418,5.96,-5.41,
2026-07-10,ETF,创业板ETF易方达期权_.xls,创业板ETF易方达,创业板ETF购7月4600,90007645,,7月,4600.0,4.6,call,0.0047,0.0046,0.0047,2.0,7.0,48713.0,45098.0,10482.0,6666021.0,0.0147,0.0165,0.0238,0.0047,0.004917,0.0343,0.2122,0.0006,-0.0011,0.0,0.0086,-0.001604,821.7,28.21,
