trade_date,market_type,source_file,exchange,commodity,underlying,name,code,expiry,contract_month,strike,option_type,last_price,bid_price,ask_price,bid_volume,ask_volume,last_volume,volume,open_interest,amount,prev_settle,settle_price,prev_close,open_price,high_price,low_price,outer_volume,inner_volume,parse_error
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购100000,lc2609-C-100000,,2609,100000.0,call,,,,,,,,53.0,,52140.0,51540.0,52140.0,,,,,,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购102000,lc2609-C-102000,,2609,102000.0,call,,,,,,,,1.0,,50140.0,49540.0,50140.0,,,,,,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购104000,lc2609-C-104000,,2609,104000.0,call,,,,,,,,1.0,,48140.0,47540.0,48140.0,,,,,,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购106000,lc2609-C-106000,,2609,106000.0,call,,,,,,,,2.0,,46140.0,45540.0,46140.0,,,,,,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购108000,lc2609-C-108000,,2609,108000.0,call,,,,,,,,1.0,,44150.0,43550.0,44150.0,,,,,,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购110000,lc2609-C-110000,,2609,110000.0,call,,,,,,,,3.0,,42170.0,41560.0,42170.0,,,,,,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购112000,lc2609-C-112000,,2609,112000.0,call,,,,,,,,5.0,,40190.0,39590.0,40190.0,,,,,,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购114000,lc2609-C-114000,,2609,114000.0,call,,37240.0,,1.0,,,,12.0,,38230.0,37620.0,38230.0,,,,,,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购116000,lc2609-C-116000,,2609,116000.0,call,,20000.0,,1.0,,,,13.0,,36280.0,35670.0,36280.0,,,,,,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购118000,lc2609-C-118000,,2609,118000.0,call,,18750.0,,1.0,,,,5.0,,34340.0,33740.0,34340.0,,,,,,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购120000,lc2609-C-120000,,2609,120000.0,call,,31570.0,,1.0,,,,14.0,,32430.0,31820.0,32430.0,,,,,,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购122000,lc2609-C-122000,,2609,122000.0,call,27210.0,29000.0,32530.0,1.0,1.0,,7.0,18.0,190220.0,30540.0,29930.0,30540.0,27040.0,27210.0,27040.0,0.0,7.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购124000,lc2609-C-124000,,2609,124000.0,call,,28340.0,,9.0,,,,60.0,,28690.0,28070.0,28690.0,,,,,,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购126000,lc2609-C-126000,,2609,126000.0,call,,11990.0,28890.0,1.0,1.0,,,4.0,,26860.0,26250.0,26860.0,,,,,,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购128000,lc2609-C-128000,,2609,128000.0,call,,10480.0,27620.0,1.0,1.0,,,7.0,,25080.0,24460.0,25080.0,,,,,,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购130000,lc2609-C-130000,,2609,130000.0,call,,22370.0,26000.0,1.0,1.0,,,33.0,,23340.0,22720.0,23340.0,,,,,,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购132000,lc2609-C-132000,,2609,132000.0,call,,20720.0,,1.0,,,,21.0,,21650.0,21040.0,21650.0,,,,,,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购134000,lc2609-C-134000,,2609,134000.0,call,,19690.0,,1.0,,,,15.0,,20020.0,19410.0,20020.0,,,,,,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购136000,lc2609-C-136000,,2609,136000.0,call,18460.0,5780.0,19940.0,1.0,8.0,,61.0,130.0,1089020.0,18440.0,17840.0,18440.0,15860.0,18960.0,15860.0,48.0,13.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购138000,lc2609-C-138000,,2609,138000.0,call,17020.0,8660.0,18230.0,1.0,16.0,,74.0,249.0,1224890.0,16930.0,16340.0,16590.0,14350.0,17880.0,14350.0,39.0,35.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购140000,lc2609-C-140000,,2609,140000.0,call,15550.0,13110.0,16360.0,1.0,1.0,,466.0,566.0,7117040.0,15490.0,14910.0,15100.0,12600.0,16370.0,12600.0,214.0,252.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购142000,lc2609-C-142000,,2609,142000.0,call,14050.0,13610.0,15200.0,1.0,27.0,,401.0,320.0,5511180.0,14120.0,13550.0,13640.0,11880.0,14910.0,11880.0,216.0,185.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购144000,lc2609-C-144000,,2609,144000.0,call,12550.0,12210.0,13030.0,1.0,1.0,,329.0,271.0,4079650.0,12830.0,12270.0,12410.0,10600.0,13380.0,10600.0,172.0,157.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购146000,lc2609-C-146000,,2609,146000.0,call,11340.0,10920.0,12430.0,1.0,14.0,,405.0,280.0,4497840.0,11610.0,11060.0,11100.0,9320.0,12040.0,9320.0,214.0,191.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购148000,lc2609-C-148000,,2609,148000.0,call,10000.0,9720.0,11440.0,1.0,2.0,,604.0,292.0,5923900.0,10470.0,9940.0,9980.0,8010.0,10760.0,8010.0,313.0,291.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购150000,lc2609-C-150000,,2609,150000.0,call,8950.0,8900.0,8920.0,1.0,1.0,,7893.0,2159.0,68304670.0,9400.0,8890.0,8370.0,8000.0,9630.0,6900.0,3479.0,4414.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购152000,lc2609-C-152000,,2609,152000.0,call,7840.0,7580.0,8200.0,1.0,1.0,,2915.0,935.0,22415810.0,8420.0,7930.0,7670.0,6930.0,8560.0,6050.0,1469.0,1446.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购154000,lc2609-C-154000,,2609,154000.0,call,6980.0,6800.0,7160.0,1.0,2.0,,1990.0,1086.0,13828880.0,7500.0,7040.0,6520.0,5200.0,7540.0,5200.0,941.0,1049.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购156000,lc2609-C-156000,,2609,156000.0,call,6080.0,5900.0,6080.0,1.0,4.0,,3217.0,1424.0,19309980.0,6670.0,6220.0,5540.0,5100.0,6630.0,4570.0,1562.0,1655.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购158000,lc2609-C-158000,,2609,158000.0,call,5200.0,5230.0,5350.0,4.0,1.0,,2090.0,920.0,11114440.0,5900.0,5480.0,5000.0,4050.0,5830.0,4050.0,993.0,1097.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购160000,lc2609-C-160000,,2609,160000.0,call,4650.0,4610.0,4650.0,1.0,2.0,,35172.0,9942.0,159783230.0,5200.0,4810.0,4340.0,4050.0,5120.0,3560.0,17230.0,17942.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购162000,lc2609-C-162000,,2609,162000.0,call,4070.0,3920.0,4100.0,1.0,1.0,,968.0,657.0,3879720.0,4570.0,4210.0,3730.0,3030.0,4460.0,2960.0,530.0,438.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购164000,lc2609-C-164000,,2609,164000.0,call,3490.0,3350.0,3650.0,1.0,2.0,,1342.0,1064.0,4625740.0,4000.0,3660.0,3250.0,2640.0,3880.0,2500.0,730.0,612.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购166000,lc2609-C-166000,,2609,166000.0,call,3080.0,2950.0,3060.0,1.0,1.0,,1383.0,1081.0,4221970.0,3490.0,3180.0,2820.0,2800.0,3360.0,2350.0,707.0,676.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购168000,lc2609-C-168000,,2609,168000.0,call,2630.0,2630.0,2800.0,2.0,5.0,,904.0,958.0,2420140.0,3040.0,2750.0,2510.0,2000.0,2930.0,2000.0,423.0,481.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购170000,lc2609-C-170000,,2609,170000.0,call,2350.0,2350.0,2360.0,11.0,5.0,,25501.0,17877.0,58568760.0,2630.0,2370.0,2150.0,2250.0,2630.0,1700.0,12742.0,12759.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购172000,lc2609-C-172000,,2609,172000.0,call,1980.0,1990.0,2050.0,2.0,1.0,,290.0,811.0,586730.0,2270.0,2030.0,2010.0,1500.0,2270.0,1500.0,158.0,132.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购174000,lc2609-C-174000,,2609,174000.0,call,1650.0,1720.0,1780.0,2.0,5.0,,381.0,804.0,671210.0,1960.0,1740.0,1750.0,1630.0,1920.0,1570.0,227.0,154.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购176000,lc2609-C-176000,,2609,176000.0,call,1560.0,1400.0,1610.0,1.0,6.0,,245.0,651.0,367610.0,1680.0,1480.0,1420.0,1250.0,1700.0,1150.0,132.0,113.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购178000,lc2609-C-178000,,2609,178000.0,call,1300.0,1300.0,1380.0,3.0,1.0,,289.0,618.0,375430.0,1430.0,1260.0,1340.0,1080.0,1470.0,1010.0,140.0,149.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购180000,lc2609-C-180000,,2609,180000.0,call,1190.0,1180.0,1190.0,8.0,8.0,,19659.0,23308.0,23069710.0,1220.0,1060.0,1110.0,1000.0,1330.0,930.0,9558.0,10101.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购182000,lc2609-C-182000,,2609,182000.0,call,1000.0,1000.0,1080.0,5.0,1.0,,261.0,789.0,261040.0,1040.0,900.0,990.0,790.0,1140.0,750.0,99.0,162.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购184000,lc2609-C-184000,,2609,184000.0,call,940.0,830.0,910.0,1.0,1.0,,187.0,485.0,164330.0,880.0,750.0,890.0,780.0,1000.0,780.0,88.0,99.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购186000,lc2609-C-186000,,2609,186000.0,call,830.0,710.0,830.0,1.0,1.0,,172.0,616.0,135870.0,740.0,630.0,750.0,720.0,880.0,690.0,78.0,94.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购188000,lc2609-C-188000,,2609,188000.0,call,680.0,640.0,710.0,1.0,1.0,,166.0,634.0,116150.0,620.0,530.0,680.0,640.0,770.0,600.0,76.0,90.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购190000,lc2609-C-190000,,2609,190000.0,call,600.0,590.0,600.0,5.0,1.0,,3714.0,9387.0,2225790.0,520.0,440.0,580.0,570.0,670.0,490.0,1969.0,1745.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购192000,lc2609-C-192000,,2609,192000.0,call,540.0,500.0,570.0,1.0,1.0,,72.0,580.0,38510.0,440.0,360.0,530.0,490.0,590.0,490.0,27.0,45.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购194000,lc2609-C-194000,,2609,194000.0,call,490.0,460.0,520.0,1.0,1.0,,26.0,290.0,12250.0,370.0,300.0,480.0,400.0,550.0,400.0,9.0,17.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购196000,lc2609-C-196000,,2609,196000.0,call,450.0,400.0,470.0,1.0,1.0,,19.0,372.0,8250.0,300.0,250.0,450.0,450.0,450.0,370.0,17.0,2.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购198000,lc2609-C-198000,,2609,198000.0,call,420.0,380.0,1900.0,1.0,1.0,,271.0,1294.0,107800.0,250.0,200.0,440.0,350.0,450.0,350.0,113.0,158.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购200000,lc2609-C-200000,,2609,200000.0,call,370.0,360.0,380.0,11.0,3.0,,4735.0,16368.0,1757870.0,210.0,170.0,380.0,350.0,420.0,310.0,2272.0,2463.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购202000,lc2609-C-202000,,2609,202000.0,call,370.0,300.0,2000.0,4.0,1.0,,46.0,465.0,15100.0,170.0,140.0,360.0,300.0,370.0,300.0,42.0,4.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购204000,lc2609-C-204000,,2609,204000.0,call,310.0,90.0,330.0,2.0,1.0,,17.0,216.0,5060.0,140.0,110.0,310.0,300.0,310.0,270.0,14.0,3.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购206000,lc2609-C-206000,,2609,206000.0,call,220.0,220.0,390.0,1.0,2.0,,9.0,274.0,2050.0,110.0,90.0,280.0,250.0,250.0,220.0,0.0,9.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购208000,lc2609-C-208000,,2609,208000.0,call,260.0,40.0,270.0,20.0,1.0,,11.0,300.0,2730.0,90.0,70.0,260.0,280.0,280.0,220.0,4.0,7.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购210000,lc2609-C-210000,,2609,210000.0,call,210.0,200.0,240.0,5.0,1.0,,176.0,2111.0,38850.0,80.0,60.0,210.0,210.0,260.0,180.0,60.0,116.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购212000,lc2609-C-212000,,2609,212000.0,call,220.0,110.0,220.0,3.0,2.0,,8.0,296.0,1670.0,60.0,50.0,230.0,180.0,220.0,180.0,7.0,1.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购214000,lc2609-C-214000,,2609,214000.0,call,180.0,160.0,170.0,6.0,1.0,,1268.0,7026.0,216990.0,50.0,40.0,190.0,160.0,200.0,140.0,614.0,654.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购216000,lc2609-C-216000,,2609,216000.0,call,170.0,150.0,200.0,21.0,1.0,,29.0,243.0,4950.0,40.0,30.0,180.0,150.0,190.0,150.0,19.0,10.0,
2026-07-13,COMMODITY,广商期权.xls,GFEX,lc,lc,碳酸锂2609购218000,lc2609-C-218000,,2609,218000.0,call,,90.0,200.0,12.0,1.0,,,301.0,,30.0,20.0,180.0,,,,,,
