underlying,contract_month,iv_surface_bias,delta_bias,normalized_net_gex,assumed_dealer_gamma_ratio,vega_risk_ratio,theta_burn_rate,rho_risk_ratio,atm_iv,call_25_delta_iv,put_25_delta_iv,option_market_value,total_time_value,trade_date
上证50ETF华夏,12月,0.28747680496338374,0.24533867523667022,0.33467726668701925,0.33467726668701925,0.057368054544092995,0.006876806485888154,0.0064168760887526165,0.21393030303030303,0.1532,0.2147,115282731.0,65634681.0,2026-08-05
上证50ETF华夏,3月,0.31357575517591163,0.1967928555040472,0.2488688520025269,0.2488688520025269,0.06803886590839964,0.00356829698777165,0.005525680155688508,0.22418825065274148,0.1494,0.21969999999999998,13091782.0,10619912.0,2026-08-05
上证50ETF华夏,8月,0.20676855771464833,0.2660909045206592,0.3159894626991683,0.3159894626991683,0.05399574424116809,0.049783648792721055,0.003544302213002706,0.16491869158878505,0.1464,0.1805,276098352.0,121157170.0,2026-08-05
上证50ETF华夏,9月,0.25200506682453644,0.13796428518035406,0.26103682948648366,0.26103682948648366,0.04962198400511631,0.023166184626846702,0.0016617576131262653,0.17579011627906976,0.1557,0.2,259286912.0,107345212.0,2026-08-05
中证500ETF南方,12月,0.3143875661712046,0.11473173742478072,0.3042082372885975,0.3042082372885975,0.030992758969140055,0.006558589879500267,-0.0014176723715916403,0.314579870967742,0.2229,0.3218,654710509.0,301786975.0,2026-08-05
中证500ETF南方,3月,0.43312973593570614,0.42734067031113493,0.33767722402484585,0.33767722402484585,0.030227149402097555,0.003544726914388095,0.007234418663703031,0.32992424242424245,0.1891,0.332,188876130.0,75946330.0,2026-08-05
中证500ETF南方,8月,0.15930576225711104,0.08857159327265955,0.13060821039299256,0.13060821039299256,0.02661952542366646,0.044275790577653504,0.0001109439885098577,0.2667825657894737,0.254,0.2965,1341758143.0,516679131.0,2026-08-05
中证500ETF南方,9月,0.24737306794279007,-0.02423219328257942,0.03409368216525805,0.03409368216525805,0.037483715284348504,0.02277172050675443,-0.001823556105864571,0.27488845315904137,0.2439,0.3119,837230615.0,416533744.0,2026-08-05
中证500ETF嘉实,12月,0.3694908413499953,0.25985305134784015,0.3184617449372771,0.3184617449372771,0.03565576377179325,0.007304115179730903,0.003238649214012912,0.27389041533546327,0.2231,0.3243,111095082.0,57101783.0,2026-08-05
中证500ETF嘉实,3月,0.45998816427266753,0.3251554770448542,0.3463237166826169,0.3463237166826169,0.04304865875414127,0.003493572567116535,0.006250705220154026,0.3295736972704714,0.17980000000000002,0.33140000000000003,31674506.0,22683084.0,2026-08-05
中证500ETF嘉实,8月,0.14134506841328326,0.36697907200992347,0.4329842441789499,0.4329842441789499,0.02613825825033529,0.045961416711635956,0.0024275003847591408,0.2709680672268907,0.2536,0.2919,113707500.0,42453043.0,2026-08-05
中证500ETF嘉实,9月,0.21755684069631348,0.08321283787786402,0.25604969375005326,0.25604969375005326,0.02810492317177662,0.02247527679821583,-0.0004035063355799067,0.2960145945945946,0.2493,0.31370000000000003,141958118.0,54366138.0,2026-08-05
创业板ETF易方达,12月,0.17539388322520852,0.17016000448014498,0.28989160011302034,0.28989160011302034,0.027342234903212605,0.006142407456712699,-0.000602529990847052,0.43159999999999993,0.358,0.4337,343874999.0,211340099.0,2026-08-05
创业板ETF易方达,3月,0.24821783335281072,0.2926087148375714,0.19330950271773145,0.19330950271773145,0.027251101130329608,0.0031093304867808543,0.0017246455192355898,0.42785,0.33759999999999996,0.44380000000000003,62282364.0,45925964.0,2026-08-05
创业板ETF易方达,8月,0.09363056635232712,0.0910383872031758,0.17167131259749654,0.17167131259749654,0.022517432181912968,0.04152155391197905,3.353016990371283e-05,0.40157826086956533,0.3899,0.4275,1169991089.0,593962549.0,2026-08-05
创业板ETF易方达,9月,0.1212721070810714,0.02555824184126653,0.019917762371984195,0.019917762371984195,0.029526265623598065,0.020929284829915334,-0.0011930323882392705,0.40075167464114836,0.3831,0.43170000000000003,657472511.0,383558591.0,2026-08-05
