trade_date,market_type,asset_class,option_product,underlying,commodity,exchange,contract_month,expiry,expiry_month,expiry_source,expiry_confidence,days_to_expiry,business_days_to_expiry_estimate,underlying_price,call_wall,put_wall,call_oi_wall,put_oi_wall,max_gamma_strike,gex_flip,price_wall,net_gex,total_abs_gex,total_oi,total_volume,total_amount,call_gex_total,put_gex_abs_total,gex_ratio,call_gex_share,put_gex_share,call_wall_distance,put_wall_distance,price_wall_distance,gamma_regime,adjusted_call_wall,adjusted_put_wall,adjusted_price_wall,adjusted_max_gamma_strike,adjusted_net_gex,adjusted_total_abs_gex,avg_liquidity_score,avg_pricing_quality_score,adjusted_call_wall_shift,adjusted_put_wall_shift,adjusted_price_wall_shift,adjusted_wall_available,adjusted_call_wall_distance,adjusted_put_wall_distance,adjusted_price_wall_distance,expiry_role,expiry_gex_share,near_gex_ratio,next_gex_ratio,front_month_concentration,next_month_concentration,expiry_pressure,expiry_structure_state,days_to_near_expiry,roll_progress,roll_shift_score,roll_state,expiry_date_quality,is_primary_analysis_month,is_expiring_microstructure,analysis_month_role,zero_gamma,zero_gamma_status,zero_gamma_confidence,zero_gamma_reason,zero_gamma_total_contracts,zero_gamma_valid_contracts,zero_gamma_coverage,zero_gamma_bracket_low,zero_gamma_bracket_high,zero_gamma_residual_ratio,zero_gamma_method,futures_code,futures_price,futures_volume,futures_open_interest,futures_oi_change,futures_amount,futures_pct_change,volume_wall,amount_wall,call_oi_wall_distance,put_oi_wall_distance,volume_wall_distance,amount_wall_distance,call_oi_total,put_oi_total,oi_bias,oi_wall_width,oi_wall_width_ratio,nearest_wall_type,nearest_wall,nearest_wall_distance,commodity_price_state,prev_close,open_price,high_price,low_price,pct_change,amount,iv_surface_bias,delta_bias,normalized_net_gex,assumed_dealer_gamma_ratio,vega_risk_ratio,theta_burn_rate,rho_risk_ratio,atm_iv,call_25_delta_iv,put_25_delta_iv,option_market_value,total_time_value,front_month,primary_month,expiring_month,next_month,far_month,primary_selection_reason,primary_selection_note,primary_selection_confidence,primary_selection_dte
2026-09-24,ETF,,,上证50ETF华夏,,,10月,2026-10-28,202610,rule_fourth_wednesday,medium,34.0,24.0,2.959,3.0,3.0,3.1,3.0,3.0,3.0,3.0,251124781.7191199,1226223082.8599157,618035.0,541168.0,,738673932.2895178,487549150.570398,1.515075826560915,0.6023976734858972,0.3976023265141028,0.013856032443392952,0.013856032443392952,0.013856032443392952,Positive Gamma,3.0,3.0,3.0,3.0,206485351.5675796,962566896.7929498,0.6108854702090576,0.6321055960112157,0.0,0.0,0.0,True,0.013856032443392952,0.013856032443392952,0.013856032443392952,near,0.774324002797055,0.774324002797055,0.037961022106828925,0.774324002797055,0.037961022106828925,0.774324002797055,front_month_concentrated,34.0,0.046733622980825944,-0.7363629806902261,front_month_dominant,rule_estimate,True,False,primary_analysis,2.8861605115912483,available,medium,,22.0,20.0,0.9090909090909091,2.878296666666667,2.8890308333333334,1.256765616177804e-17,bs_spot_repricing_constant_iv,,,,,,,,,,,,,,,,,,,,,,,3.0,2.992,2.992,2.956,-0.000137,1987877310.0,0.14332965821389188,0.06823255693858324,0.20479534697179436,0.20479534697179436,0.06498484575597427,0.025849932342088315,0.0003934343488724829,0.13605,0.1313,0.1508,248803899.0,129347031.0,10月,10月,,11月,3月,front_month_default,10月 DTE=34，默认使用前月,medium,34.0
2026-09-24,ETF,,,上证50ETF华夏,,,11月,2026-11-25,202611,rule_fourth_wednesday,medium,62.0,44.0,2.959,3.0,2.85,3.0,2.8,3.0,3.1,3.0,6811667.4792735865,60115250.70668547,40835.0,60273.0,,33463459.092979524,26651791.613705944,1.2555800967530684,0.5566550700462773,0.44334492995372266,0.013856032443392952,-0.03683676917877665,0.013856032443392952,Positive Gamma,3.0,2.95,3.0,3.0,2555742.738751542,38631091.10778197,0.6237446447719601,0.5769149034391489,0.0,0.10000000000000009,0.0,True,0.013856032443392952,-0.0030415680973301384,0.013856032443392952,next,0.037961022106828925,0.774324002797055,0.037961022106828925,0.774324002797055,0.037961022106828925,0.018980511053414462,low_expiry_influence,34.0,0.046733622980825944,-0.7363629806902261,front_month_dominant,rule_estimate,False,False,next_month,2.920760647085968,available,medium,,18.0,15.0,0.8333333333333334,2.910489166666667,2.921015,4.5219349211040066e-17,bs_spot_repricing_constant_iv,,,,,,,,,,,,,,,,,,,,,,,3.0,2.992,2.992,2.956,-0.000137,1987877310.0,0.29911206216275776,-0.061233327837518094,0.11331014009255479,0.11331014009255479,0.07456800127143146,0.013401875964448154,-0.003454400051575096,0.14576476683937825,0.1264,0.17,20506021.0,13548551.0,10月,10月,,11月,3月,front_month_default,10月 DTE=34，默认使用前月,medium,34.0
2026-09-24,ETF,,,上证50ETF华夏,,,12月,2026-12-23,202612,rule_fourth_wednesday,medium,90.0,64.0,2.959,3.0,2.7,3.5,2.7,3.0,3.1,3.0,52018703.85156939,266399384.70461297,280886.0,117034.0,,159209044.2780912,107190340.42652178,1.4852928318408305,0.5976329279237045,0.4023670720762955,0.013856032443392952,-0.08752957080094625,0.013856032443392952,Positive Gamma,3.0,2.8,3.0,3.0,33916843.14199136,123239082.72264448,0.47370763853460085,0.4300846198020749,0.0,0.09999999999999964,0.0,True,0.013856032443392952,-0.053734369719499964,0.013856032443392952,deferred,0.16822341773736935,0.774324002797055,0.037961022106828925,0.774324002797055,0.037961022106828925,0.08411170886868467,normal_expiry_structure,34.0,0.046733622980825944,-0.7363629806902261,front_month_dominant,rule_estimate,False,False,other_month,2.8889674860188013,available,medium,,24.0,21.0,0.875,2.878515,2.8894575000000007,3.966035089228442e-17,bs_spot_repricing_constant_iv,,,,,,,,,,,,,,,,,,,,,,,3.0,2.992,2.992,2.956,-0.000137,1987877310.0,0.31799766422828996,0.019154239657520396,0.19526585584740896,0.19526585584740896,0.05325547373274837,0.011745074168921501,-0.001964436053171817,0.18962403433476394,0.13119999999999998,0.19149999999999998,209869901.0,92656801.0,10月,10月,,11月,3月,front_month_default,10月 DTE=34，默认使用前月,medium,34.0
2026-09-24,ETF,,,上证50ETF华夏,,,3月,2027-03-24,202703,rule_fourth_wednesday,medium,181.0,129.0,2.959,3.1,2.8,3.5,2.8,3.0,3.1,3.0,7843447.347573971,30866920.65317202,37077.0,8892.0,,19355184.00037299,11511736.65279902,1.6813435352229742,0.6270526372828825,0.37294736271711715,0.047651233524839576,-0.053734369719499964,0.013856032443392952,Positive Gamma,3.0,2.75,3.0,3.0,793648.2840097743,9771583.191202912,0.3435278283115331,0.41157948213357193,-0.10000000000000009,-0.04999999999999982,0.0,True,0.013856032443392952,-0.07063197026022305,0.013856032443392952,far,0.01949155735874669,0.774324002797055,0.037961022106828925,0.774324002797055,0.037961022106828925,0.009745778679373346,low_expiry_influence,34.0,0.046733622980825944,-0.7363629806902261,front_month_dominant,rule_estimate,False,False,far_month,2.84081899828411,available,medium,,22.0,19.0,0.8636363636363636,2.83536,2.846094166666667,1.4854423214096133e-14,bs_spot_repricing_constant_iv,,,,,,,,,,,,,,,,,,,,,,,3.0,2.992,2.992,2.956,-0.000137,1987877310.0,0.37173352694530476,0.12896146408622283,0.2541052745657655,0.2541052745657655,0.07128541248963009,0.004759432650190905,0.0016888773621819208,0.2084826747720365,0.12689999999999999,0.20440000000000003,34555499.0,25097109.0,10月,10月,,11月,3月,front_month_default,10月 DTE=34，默认使用前月,medium,34.0
2026-09-24,ETF,,,中证500ETF南方,,,10月,2026-10-28,202610,rule_fourth_wednesday,medium,34.0,24.0,7.65,7.75,7.75,8.0,7.75,7.75,8.0,7.75,271979893.42807513,1677341167.7613757,556775.0,731539.0,,974660530.594725,702680637.16665,1.3870604639466837,0.5810747087877972,0.41892529121220246,0.013071895424836555,0.013071895424836555,0.013071895424836555,Positive Gamma,7.75,7.75,7.75,7.75,192589995.36796132,1343970485.0111935,0.6900190570197338,0.6022454258357646,0.0,0.0,0.0,True,0.013071895424836555,0.013071895424836555,0.013071895424836555,near,0.7203491795136129,0.7203491795136129,0.030733516817889113,0.7203491795136129,0.030733516817889113,0.7203491795136129,front_month_concentrated,34.0,0.04091895202485719,-0.6896156626957237,front_month_dominant,rule_estimate,True,False,primary_analysis,7.4561507475366735,available,medium,,22.0,19.0,0.8636363636363636,7.441750000000001,7.471500000000001,3.227939090951583e-13,bs_spot_repricing_constant_iv,,,,,,,,,,,,,,,,,,,,,,,7.818,7.797,7.807,7.65,-0.000215,3155163193.0,0.2530084192710947,-0.07341732824677749,0.16214941757559484,0.16214941757559484,0.0409296740028448,0.025628727059489622,-0.0019517206371953578,0.24900357142857144,0.1967,0.2597,890604919.0,468054811.0,10月,10月,,11月,3月,front_month_default,10月 DTE=34，默认使用前月,medium,34.0
2026-09-24,ETF,,,中证500ETF南方,,,11月,2026-11-25,202611,rule_fourth_wednesday,medium,62.0,44.0,7.65,8.0,7.75,8.0,6.75,7.75,8.0,7.75,12640843.028475009,71563339.63417502,28277.0,49301.0,,42102091.33132501,29461248.302850004,1.429066782864464,0.5883192643963641,0.41168073560363594,0.045751633986928164,0.013071895424836555,0.013071895424836555,Positive Gamma,8.0,7.25,7.75,8.0,8194043.654842169,57529751.266528,0.7895587123557376,0.5144377428279776,0.0,-0.5,0.0,True,0.045751633986928164,-0.05228758169934644,0.013071895424836555,next,0.030733516817889113,0.7203491795136129,0.030733516817889113,0.7203491795136129,0.030733516817889113,0.015366758408944556,low_expiry_influence,34.0,0.04091895202485719,-0.6896156626957237,front_month_dominant,rule_estimate,False,False,next_month,7.363745077593605,available,medium,,18.0,16.0,0.8888888888888888,7.344,7.3732500000000005,4.725667527474011e-16,bs_spot_repricing_constant_iv,,,,,,,,,,,,,,,,,,,,,,,7.818,7.797,7.807,7.65,-0.000215,3155163193.0,0.30399734371253073,-0.01935232040420054,0.17663852879272812,0.17663852879272812,0.0505501877097536,0.012863439540091571,-0.0021100385136949653,0.27105499999999993,0.2039,0.2863,57628332.0,43785412.0,10月,10月,,11月,3月,front_month_default,10月 DTE=34，默认使用前月,medium,34.0
2026-09-24,ETF,,,中证500ETF南方,,,12月,2026-12-23,202612,rule_fourth_wednesday,medium,90.0,64.0,7.65,7.75,6.5,9.823,6.25,7.75,8.5,7.75,108898761.050775,479065074.39247507,365223.0,206276.0,,293981917.72162503,185083156.67084998,1.5883774785862308,0.6136575873213829,0.386342412678617,0.013071895424836555,-0.15032679738562094,0.013071895424836555,Positive Gamma,9.823,6.5,7.75,7.75,39533136.93806265,209693414.22527114,0.44375021468117865,0.3415578398156185,2.0730000000000004,0.0,0.0,True,0.2840522875816993,-0.15032679738562094,0.013071895424836555,deferred,0.2057387846342669,0.7203491795136129,0.030733516817889113,0.7203491795136129,0.030733516817889113,0.10286939231713345,normal_expiry_structure,34.0,0.04091895202485719,-0.6896156626957237,front_month_dominant,rule_estimate,False,False,other_month,7.333860417446165,available,medium,,54.0,48.0,0.8888888888888888,7.32275,7.352500000000001,1.1129049494519713e-15,bs_spot_repricing_constant_iv,,,,,,,,,,,,,,,,,,,,,,,7.818,7.797,7.807,7.65,-0.000215,3155163193.0,0.35496673340782636,-0.0029288879888405626,0.2273151746427657,0.2273151746427657,0.03719748320812373,0.01148981611986102,-0.002658718981828554,0.2904497528830313,0.2051,0.30820000000000003,819199402.0,375292516.0,10月,10月,,11月,3月,front_month_default,10月 DTE=34，默认使用前月,medium,34.0
2026-09-24,ETF,,,中证500ETF南方,,,3月,2027-03-24,202703,rule_fourth_wednesday,medium,181.0,129.0,7.65,7.75,7.75,6.25,6.25,7.75,6.75,7.75,29610952.954425,100541667.28972502,73059.0,6677.0,,65076310.12207501,35465357.16765001,1.834926117181046,0.6472571211152529,0.35274287888474704,0.013071895424836555,0.013071895424836555,0.013071895424836555,Positive Gamma,7.5,8.5,7.75,7.75,6777767.950106904,29608899.834522277,0.3159425396292282,0.38552325280402333,-0.25,0.75,0.0,True,-0.019607843137254943,0.11111111111111116,0.013071895424836555,far,0.043178519034231165,0.7203491795136129,0.030733516817889113,0.7203491795136129,0.030733516817889113,0.021589259517115583,low_expiry_influence,34.0,0.04091895202485719,-0.6896156626957237,front_month_dominant,rule_estimate,False,False,far_month,7.005113735170491,available,medium,,26.0,22.0,0.8461538461538461,6.9955,7.02525,3.1263717489989136e-13,bs_spot_repricing_constant_iv,,,,,,,,,,,,,,,,,,,,,,,7.818,7.797,7.807,7.65,-0.000215,3155163193.0,0.5553639718922186,0.2230079866568919,0.2945142422305058,0.2945142422305058,0.029145736159402448,0.004635085043729749,0.000764950882820608,0.26613177570093455,0.17809999999999998,0.3259,434573000.0,172694566.0,10月,10月,,11月,3月,front_month_default,10月 DTE=34，默认使用前月,medium,34.0
2026-09-24,ETF,,,中证500ETF嘉实,,,10月,2026-10-28,202610,rule_fourth_wednesday,medium,34.0,24.0,3.103,3.3,3.2,3.3,2.9,3.2,3.2,3.2,31526751.285050105,121065403.84470282,97599.0,80128.0,,76296077.56487647,44769326.27982636,1.7042042823694774,0.6302054521103783,0.3697945478896218,0.06348694811472755,0.031260070899129966,0.031260070899129966,Positive Gamma,3.3,3.2,3.2,3.2,17745790.622926015,83857952.54088075,0.6126340692692912,0.6706624926296125,0.0,0.0,0.0,True,0.06348694811472755,0.031260070899129966,0.031260070899129966,near,0.5334686073131757,0.5334686073131757,0.03831776806639482,0.5334686073131757,0.03831776806639482,0.5334686073131757,near_month_pressure,34.0,0.0670141327536149,-0.4951508392467809,distributed_expiry,rule_estimate,True,False,primary_analysis,2.986917623655438,available,medium,,20.0,19.0,0.95,2.9809150000000004,2.9923125000000006,2.940047830650932e-16,bs_spot_repricing_constant_iv,,,,,,,,,,,,,,,,,,,,,,,3.171,3.166,3.167,3.102,-0.000214,606188423.85,0.20279504579319507,0.0453299143007678,0.26041090422075647,0.26041090422075647,0.04301604529895432,0.0264617322799703,-1.5823847930667596e-05,0.2278162162162162,0.2073,0.2535,60351945.0,32449085.0,10月,10月,,11月,3月,front_month_default,10月 DTE=34，默认使用前月,medium,34.0
2026-09-24,ETF,,,中证500ETF嘉实,,,11月,2026-11-25,202611,rule_fourth_wednesday,medium,62.0,44.0,3.103,3.3,2.9,3.3,2.9,3.3,3.2,3.0,2042700.2521714503,8695837.021694552,8144.0,12146.0,,5369268.636933001,3326568.3847615505,1.614056293424995,0.6174527677482501,0.38254723225174986,0.06348694811472755,-0.06542056074766367,-0.033193683532065754,Positive Gamma,3.3,2.9,3.0,3.3,1530285.9521819474,6854360.1305014165,0.8095948241038532,0.487843215968265,0.0,0.0,0.0,True,0.06348694811472755,-0.06542056074766367,-0.033193683532065754,next,0.03831776806639482,0.5334686073131757,0.03831776806639482,0.5334686073131757,0.03831776806639482,0.01915888403319741,low_expiry_influence,34.0,0.0670141327536149,-0.4951508392467809,distributed_expiry,rule_estimate,False,False,next_month,2.8886912045049145,available,medium,,18.0,18.0,1.0,2.8799175000000004,2.891106666666667,7.811100420421499e-15,bs_spot_repricing_constant_iv,,,,,,,,,,,,,,,,,,,,,,,3.171,3.166,3.167,3.102,-0.000214,606188423.85,0.3228731260877758,0.17215247432149475,0.23490553549650023,0.23490553549650023,0.04637683776171161,0.012745157613135171,0.0019711574220295336,0.24312955665024627,0.2065,0.285,7421528.0,5200328.0,10月,10月,,11月,3月,front_month_default,10月 DTE=34，默认使用前月,medium,34.0
